onset_type,onset_time,pitch
no_change,9.952,61
no_change,10.527,64
no_change,10.907,69
no_change,11.23,66
no_change,11.509,64
early,11.591,61
no_change,12.141,57
no_change,12.527,59
no_change,13.005,56
no_change,13.007,52
no_change,13.92,40
no_change,14.555,59
no_change,14.857,45
no_change,15.02,57
no_change,16.116,57
no_change,16.832,64
no_change,16.834,56
no_change,17.643,52
no_change,18.173,62
no_change,18.516,61
no_change,18.518,57
no_change,19.359,44
no_change,20.145,61
no_change,20.15,69
no_change,20.157,42
no_change,20.934,59
no_change,20.936,44
no_change,21.627,66
no_change,21.873,57
no_change,21.9,66
no_change,21.909,45
no_change,22.709,47
no_change,22.755,57
no_change,22.809,63
no_change,22.902,66
no_change,23.686,64
no_change,23.93,40
no_change,24.102,56
no_change,24.173,59
no_change,24.257,64
no_change,26.17,54
no_change,26.441,52
no_change,27.016,50
no_change,27.377,49
no_change,27.707,47
no_change,28.0,45
no_change,28.048,57
no_change,28.155,61
no_change,28.582,64
no_change,29.007,50
no_change,29.048,66
no_change,29.136,69
no_change,29.675,66
no_change,30.005,45
no_change,30.007,61
no_change,30.348,57
no_change,30.716,57
no_change,30.718,54
no_change,31.141,47
no_change,31.143,54
no_change,31.648,56
no_change,31.65,49
no_change,32.834,59
no_change,33.239,54
no_change,34.418,42
no_change,34.42,57
no_change,35.28,47
no_change,36.073,44
no_change,36.075,59
no_change,36.882,49
no_change,37.68,45
no_change,37.684,61
no_change,38.5,50
no_change,38.502,66
no_change,39.307,47
no_change,39.309,62
no_change,40.077,52
no_change,40.08,59
no_change,40.916,64
no_change,40.92,49
no_change,41.627,54
no_change,41.768,61
no_change,41.848,69
no_change,42.755,57
no_change,42.757,52
no_change,43.57,66
no_change,43.802,66
no_change,43.809,62
no_change,43.811,57
no_change,43.816,50
no_change,44.536,46
no_change,44.602,55
no_change,44.652,61
no_change,44.725,64
no_change,45.361,62
no_change,45.639,59
no_change,45.645,47
no_change,46.375,49
no_change,46.43,52
no_change,46.489,57
no_change,46.589,61
no_change,47.175,59
no_change,47.527,54
no_change,47.55,59
no_change,47.555,57
no_change,47.557,50
no_change,48.607,51
no_change,48.659,57
no_change,48.709,60
no_change,48.773,66
no_change,49.277,64
no_change,49.534,64
no_change,49.541,57
no_change,49.543,52
no_change,50.416,68
no_change,51.111,66
no_change,51.116,60
no_change,51.118,51
no_change,51.359,52
no_change,51.361,61
no_change,51.884,64
no_change,52.134,68
no_change,52.748,66
no_change,52.755,51
no_change,52.998,66
no_change,53.002,52
no_change,53.005,61
no_change,53.455,64
no_change,53.648,40
no_change,53.752,58
no_change,53.786,61
no_change,53.848,66
no_change,54.259,64
no_change,54.625,59
no_change,54.689,62
no_change,54.743,40
no_change,54.791,66
no_change,55.352,64
no_change,55.614,64
no_change,55.793,64
no_change,55.905,66
no_change,55.984,64
no_change,56.239,63
no_change,56.53,64
no_change,57.127,40
no_change,57.13,68
no_change,57.5,71
no_change,57.727,68
no_change,57.943,64
no_change,58.182,62
no_change,58.339,59
no_change,58.523,56
no_change,58.684,52
no_change,58.859,50
no_change,59.068,47
no_change,59.345,44
no_change,59.63,40
no_change,60.016,41
no_change,60.784,51
no_change,60.816,57
no_change,61.18,51
no_change,61.423,51
no_change,61.732,51
no_change,62.102,51
no_change,62.118,57
no_change,62.514,40
no_change,62.632,52
no_change,62.659,56
no_change,62.764,59
no_change,64.207,62
no_change,64.907,61
no_change,65.143,61
no_change,65.148,56
no_change,65.15,52
no_change,67.13,59
no_change,67.766,52
no_change,69.67,64
no_change,70.307,40
no_change,73.161,57
no_change,74.618,59
no_change,75.068,45
no_change,75.118,52
no_change,75.216,62
no_change,76.055,61
no_change,76.105,61
no_change,76.205,57
no_change,76.643,64
no_change,77.061,45
no_change,77.116,61
no_change,77.195,71
no_change,77.584,69
no_change,77.866,61
no_change,77.868,64
no_change,78.277,61
no_change,78.28,57
no_change,78.534,50
no_change,78.536,59
no_change,78.68,61
no_change,78.802,59
no_change,78.968,58
no_change,79.155,59
no_change,79.416,59
no_change,79.439,57
no_change,79.443,66
no_change,80.589,50
no_change,81.173,57
no_change,81.18,59
no_change,81.543,57
no_change,81.545,66
no_change,81.805,57
no_change,81.807,59
no_change,82.057,57
no_change,82.059,59
no_change,82.061,66
no_change,82.289,59
no_change,82.291,57
no_change,82.295,65
no_change,82.536,40
no_change,82.659,64
no_change,82.68,66
no_change,82.718,59
no_change,82.739,56
