onset_type,onset_time,pitch
no_change,1.745,47
no_change,2.655,54
no_change,2.966,55
no_change,3.55,54
no_change,4.175,47
early,4.85,54
no_change,5.432,55
no_change,6.091,54
no_change,6.43,47
no_change,6.764,62
no_change,7.643,54
no_change,7.948,55
no_change,8.527,54
no_change,9.159,47
no_change,9.161,55
no_change,9.541,61
no_change,9.925,62
no_change,10.25,55
no_change,10.339,64
no_change,10.655,61
no_change,10.868,47
no_change,11.05,62
no_change,11.37,47
no_change,12.155,50
no_change,12.434,56
no_change,12.961,50
no_change,13.53,57
no_change,14.339,50
no_change,14.564,59
no_change,14.566,58
no_change,15.139,50
no_change,15.57,40
no_change,15.798,67
no_change,16.568,47
no_change,16.884,62
no_change,17.398,47
no_change,17.932,45
no_change,18.277,61
no_change,18.575,64
no_change,18.78,47
no_change,18.925,55
no_change,19.448,49
no_change,19.7,67
no_change,19.968,66
no_change,19.973,50
no_change,19.975,61
no_change,20.786,50
no_change,21.05,57
no_change,21.666,50
no_change,22.343,42
no_change,22.436,55
no_change,22.807,62
no_change,23.168,55
no_change,23.47,66
no_change,24.014,47
no_change,24.252,62
no_change,24.741,66
no_change,24.745,55
no_change,24.748,40
no_change,25.555,47
no_change,25.807,64
no_change,25.809,55
no_change,26.341,47
no_change,26.9,41
no_change,27.286,55
no_change,27.607,59
no_change,27.941,50
no_change,28.527,41
no_change,28.757,61
no_change,29.032,55
no_change,29.034,59
no_change,29.043,42
no_change,29.825,49
no_change,30.13,52
no_change,30.655,49
no_change,30.973,42
no_change,31.218,58
no_change,31.955,49
no_change,32.275,50
no_change,32.759,49
no_change,32.8,62
no_change,33.414,47
no_change,34.27,54
no_change,34.575,55
no_change,35.141,54
no_change,35.691,47
no_change,35.693,55
no_change,36.043,61
no_change,36.436,62
no_change,36.82,55
no_change,36.836,64
no_change,37.17,61
no_change,37.395,47
no_change,37.584,66
no_change,37.859,47
no_change,37.861,61
no_change,38.691,50
no_change,38.939,56
no_change,39.493,50
no_change,40.036,57
no_change,40.791,50
no_change,41.07,58
no_change,41.632,50
no_change,42.12,40
no_change,42.391,67
no_change,43.127,47
no_change,43.42,62
