onset_type,onset_time,pitch
no_change,3.523,47
no_change,3.839,58
no_change,4.445,50
no_change,4.736,61
no_change,5.039,83
early,5.307,62
no_change,5.666,59
no_change,6.264,54
no_change,6.564,54
no_change,6.843,47
no_change,7.145,45
no_change,7.468,58
no_change,8.102,50
no_change,8.389,61
no_change,8.7,83
no_change,9.02,62
no_change,9.316,59
no_change,9.87,54
no_change,10.166,54
no_change,10.443,45
no_change,10.755,44
no_change,11.061,58
no_change,11.664,50
no_change,11.952,61
no_change,12.239,83
no_change,12.555,62
no_change,12.843,44
no_change,13.132,43
no_change,13.416,58
no_change,13.982,50
no_change,14.261,61
no_change,14.516,83
no_change,14.839,62
no_change,15.134,42
no_change,15.661,40
no_change,16.134,58
no_change,16.409,59
no_change,16.664,54
no_change,16.932,55
no_change,17.257,66
no_change,17.816,64
no_change,18.095,64
no_change,18.382,62
no_change,18.861,62
no_change,19.191,62
no_change,19.42,61
no_change,19.698,61
no_change,19.957,59
no_change,20.241,59
no_change,20.505,57
no_change,21.002,59
no_change,21.341,57
no_change,21.586,55
no_change,22.105,57
no_change,22.434,55
no_change,22.75,54
no_change,23.232,42
no_change,23.875,52
no_change,24.0,50
no_change,24.118,48
no_change,24.245,47
no_change,24.505,58
no_change,25.02,50
no_change,25.268,61
no_change,25.507,109
no_change,25.791,62
no_change,25.795,54
no_change,26.091,73
no_change,27.114,70
no_change,27.239,71
no_change,27.352,74
no_change,27.477,71
no_change,27.577,66
no_change,27.677,66
no_change,27.795,59
no_change,27.932,59
no_change,27.945,59
no_change,28.061,59
no_change,28.243,52
no_change,28.402,45
no_change,28.659,58
no_change,29.2,50
no_change,29.452,61
no_change,29.689,109
no_change,29.984,54
no_change,30.264,73
no_change,31.264,70
no_change,31.382,71
no_change,31.507,74
no_change,31.618,71
no_change,31.73,66
no_change,31.836,66
no_change,31.948,59
no_change,32.066,59
no_change,32.098,59
no_change,32.261,59
no_change,32.343,50
no_change,32.527,44
no_change,32.639,50
no_change,32.782,58
no_change,33.164,61
no_change,33.273,62
no_change,33.391,70
no_change,33.514,73
no_change,33.845,74
no_change,34.264,59
no_change,34.364,50
no_change,34.466,44
no_change,34.605,43
no_change,34.705,50
no_change,34.841,58
no_change,35.245,61
no_change,35.332,62
no_change,35.455,70
no_change,35.568,73
no_change,35.905,74
no_change,36.314,59
no_change,36.402,50
no_change,36.53,43
no_change,36.659,42
no_change,36.943,49
no_change,37.459,50
no_change,37.755,54
no_change,38.025,61
no_change,38.511,62
no_change,38.839,66
no_change,39.566,55
no_change,40.2,54
no_change,41.009,62
no_change,42.166,40
no_change,42.268,47
no_change,42.327,50
no_change,42.386,55
no_change,42.634,66
no_change,43.168,66
no_change,43.475,64
no_change,44.014,62
no_change,44.264,61
no_change,44.548,45
no_change,44.55,52
no_change,44.832,61
no_change,44.834,59
no_change,45.384,61
no_change,45.386,59
no_change,45.68,57
no_change,46.227,55
no_change,46.468,54
no_change,46.677,38
no_change,46.725,45
no_change,46.77,54
no_change,47.066,61
no_change,47.591,61
no_change,47.886,59
no_change,47.889,62
no_change,48.439,61
no_change,48.714,59
no_change,48.991,50
no_change,49.0,43
no_change,49.005,54
no_change,49.293,57
no_change,49.861,57
no_change,50.173,55
no_change,50.709,54
no_change,50.989,52
no_change,51.286,40
no_change,51.302,59
no_change,51.391,48
no_change,51.505,55
no_change,51.809,62
no_change,52.35,62
no_change,52.648,60
no_change,53.2,59
no_change,53.509,58
no_change,54.043,42
no_change,54.33,49
no_change,54.593,58
no_change,54.877,59
no_change,55.157,50
no_change,55.432,43
no_change,55.7,59
no_change,55.984,58
no_change,56.264,49
no_change,56.564,42
no_change,56.816,58
no_change,57.123,59
no_change,57.405,50
no_change,57.695,43
no_change,57.945,59
no_change,58.286,58
no_change,58.527,42
no_change,58.816,59
no_change,59.073,43
no_change,59.075,50
no_change,59.355,58
no_change,59.611,42
no_change,59.614,49
no_change,59.886,59
no_change,60.15,43
no_change,60.152,50
no_change,60.432,42
no_change,60.725,54
no_change,60.83,55
no_change,60.939,58
no_change,61.223,61
no_change,61.468,66
no_change,61.745,69
no_change,62.289,67
no_change,62.543,67
no_change,62.805,66
no_change,63.286,67
no_change,63.527,67
no_change,63.8,66
no_change,63.968,66
no_change,64.291,64
no_change,64.577,64
no_change,64.818,62
no_change,65.293,64
no_change,65.493,62
no_change,65.811,61
no_change,66.264,59
no_change,66.57,59
no_change,66.798,57
no_change,67.259,55
no_change,67.598,55
no_change,67.895,54
no_change,68.384,42
no_change,68.955,52
no_change,69.07,50
no_change,69.164,48
no_change,69.293,47
no_change,69.582,58
no_change,70.091,50
no_change,70.364,61
no_change,70.598,109
no_change,70.889,54
no_change,70.891,62
no_change,71.184,73
no_change,72.184,70
no_change,72.307,71
no_change,72.432,74
no_change,72.555,71
no_change,72.668,66
no_change,72.775,66
no_change,72.88,59
no_change,73.002,59
no_change,73.13,54
no_change,73.241,54
no_change,73.343,47
no_change,73.391,47
no_change,73.77,58
no_change,74.282,50
no_change,74.541,61
no_change,74.775,109
no_change,75.045,54
no_change,75.059,62
no_change,75.357,73
no_change,76.35,70
no_change,76.466,71
no_change,76.6,74
no_change,76.695,71
no_change,76.805,66
no_change,76.918,66
no_change,77.016,59
no_change,77.143,59
no_change,77.245,54
no_change,77.359,54
no_change,77.452,45
no_change,77.593,44
no_change,77.7,50
no_change,77.82,58
no_change,78.2,61
no_change,78.295,62
no_change,78.393,70
no_change,78.52,73
no_change,78.814,74
no_change,79.195,59
no_change,79.284,50
no_change,79.389,44
no_change,79.509,43
no_change,79.625,50
no_change,79.741,58
no_change,80.132,61
no_change,80.234,62
no_change,80.32,70
no_change,80.436,73
no_change,80.757,74
no_change,81.107,59
no_change,81.198,50
no_change,81.325,43
no_change,81.461,42
no_change,81.739,49
no_change,82.236,50
no_change,82.5,54
no_change,82.773,61
no_change,83.255,62
no_change,83.516,66
no_change,83.802,67
no_change,84.314,66
no_change,84.577,66
no_change,84.866,73
no_change,85.18,73
no_change,85.332,74
no_change,85.514,74
no_change,85.716,74
no_change,86.177,40
no_change,86.248,47
no_change,86.323,50
no_change,86.373,55
no_change,86.659,67
no_change,87.232,78
no_change,87.241,62
no_change,87.509,78
