onset_type,onset_time,pitch
no_change,10.736,43
no_change,11.482,47
late,11.848,55
no_change,12.139,47
no_change,12.327,55
no_change,12.393,59
no_change,12.634,43
no_change,12.636,59
no_change,13.161,47
no_change,13.405,55
no_change,13.648,47
no_change,13.925,59
no_change,14.382,43
no_change,14.47,52
no_change,14.534,55
no_change,14.632,60
no_change,15.1,62
no_change,15.232,60
no_change,15.382,50
no_change,15.95,48
no_change,16.543,43
no_change,16.55,59
no_change,17.261,47
no_change,17.266,50
no_change,17.575,55
no_change,17.839,55
no_change,17.841,47
no_change,18.075,62
no_change,18.323,40
no_change,18.843,52
no_change,18.845,55
no_change,19.05,59
no_change,19.284,52
no_change,19.502,62
no_change,19.723,40
no_change,19.725,64
no_change,20.232,52
no_change,20.234,55
no_change,20.507,59
no_change,20.78,59
no_change,20.782,52
no_change,21.041,62
no_change,21.389,66
no_change,21.391,47
no_change,21.786,64
no_change,22.107,54
no_change,22.109,59
no_change,22.111,62
no_change,22.75,61
no_change,22.752,42
no_change,22.755,52
no_change,23.484,47
no_change,23.586,54
no_change,23.734,59
no_change,23.891,62
no_change,25.018,54
no_change,25.402,54
no_change,25.786,59
no_change,26.22,43
no_change,27.032,47
no_change,27.034,50
no_change,27.314,55
no_change,27.561,55
no_change,27.564,47
no_change,27.566,50
no_change,27.802,59
no_change,28.027,43
no_change,28.53,47
no_change,28.532,50
no_change,28.752,55
no_change,28.989,47
no_change,28.991,55
no_change,28.993,50
no_change,29.234,59
no_change,29.6,43
no_change,29.686,52
no_change,29.709,55
no_change,29.8,60
no_change,30.105,62
no_change,30.255,60
no_change,30.445,59
no_change,30.448,50
no_change,31.064,48
no_change,31.698,43
no_change,32.357,47
no_change,32.359,50
no_change,32.645,55
no_change,32.918,47
no_change,32.92,50
no_change,33.166,62
no_change,33.466,40
no_change,33.47,64
no_change,34.168,52
no_change,34.17,55
no_change,34.416,59
no_change,34.643,59
no_change,34.645,52
no_change,34.87,62
no_change,35.07,64
no_change,35.073,40
no_change,35.552,52
no_change,35.555,55
no_change,35.791,59
no_change,36.034,52
no_change,36.27,62
no_change,36.58,47
no_change,36.582,66
no_change,36.905,64
no_change,37.211,54
no_change,37.85,61
no_change,37.855,52
no_change,37.857,42
no_change,38.57,47
no_change,38.682,54
no_change,38.766,59
no_change,38.911,62
no_change,40.055,59
no_change,40.568,59
no_change,40.984,62
no_change,41.418,62
no_change,41.425,42
no_change,42.145,48
no_change,42.466,57
no_change,42.761,48
no_change,42.764,54
no_change,43.007,62
no_change,43.277,62
no_change,43.28,47
no_change,43.798,50
no_change,43.8,55
no_change,44.036,59
no_change,44.27,50
no_change,44.273,55
no_change,44.516,62
no_change,44.814,43
no_change,44.816,67
no_change,45.411,53
no_change,45.67,62
no_change,45.92,53
no_change,46.152,67
no_change,46.466,48
no_change,46.952,52
no_change,46.955,55
no_change,47.177,64
no_change,47.418,55
no_change,47.425,60
no_change,47.43,64
no_change,47.686,67
no_change,48.041,69
no_change,48.05,45
no_change,48.657,55
no_change,48.9,64
no_change,49.166,55
no_change,49.17,61
no_change,49.473,67
no_change,49.789,50
no_change,49.861,57
no_change,49.927,60
no_change,50.014,67
no_change,50.298,66
no_change,50.616,55
no_change,51.414,54
no_change,52.416,43
no_change,52.527,59
no_change,53.014,47
no_change,53.434,50
no_change,53.757,55
no_change,54.027,50
no_change,54.03,47
no_change,54.266,59
no_change,54.48,59
no_change,54.482,43
no_change,54.741,47
no_change,55.002,50
no_change,55.23,55
no_change,55.473,47
no_change,55.477,50
no_change,55.702,59
no_change,56.041,43
no_change,56.145,52
no_change,56.17,55
no_change,56.289,60
no_change,56.684,62
no_change,56.83,60
no_change,57.0,59
no_change,57.005,50
no_change,57.63,48
no_change,57.634,57
no_change,58.275,43
no_change,58.277,59
no_change,58.582,47
no_change,58.83,50
no_change,59.077,55
no_change,59.348,47
no_change,59.35,50
no_change,59.352,55
no_change,59.593,62
no_change,59.92,40
no_change,60.386,52
no_change,60.645,55
no_change,60.895,59
no_change,61.193,52
no_change,61.459,62
no_change,61.773,40
no_change,62.177,52
no_change,62.495,55
no_change,62.78,59
no_change,63.132,52
no_change,63.166,55
no_change,63.175,59
no_change,63.561,62
no_change,63.882,50
no_change,63.948,55
no_change,64.002,59
no_change,64.075,67
no_change,64.545,62
no_change,65.005,57
no_change,66.107,48
no_change,67.864,43
no_change,68.007,47
no_change,68.161,50
no_change,68.33,55
