onset_type,onset_time,pitch
no_change,0.168,50
no_change,0.17,66
no_change,0.427,57
no_change,0.659,66
no_change,0.891,57
early,0.953,50
no_change,1.348,66
no_change,1.618,49
no_change,1.62,64
no_change,1.861,57
no_change,2.125,69
no_change,2.364,57
no_change,2.602,49
no_change,2.859,64
no_change,3.136,47
no_change,3.373,54
no_change,3.616,62
no_change,3.859,54
no_change,4.111,47
no_change,4.327,62
no_change,4.582,61
no_change,4.584,45
no_change,4.816,54
no_change,5.073,66
no_change,5.355,54
no_change,5.611,45
no_change,5.823,61
no_change,6.08,43
no_change,6.082,59
no_change,6.323,54
no_change,6.575,59
no_change,6.816,52
no_change,7.048,43
no_change,7.275,59
no_change,7.532,57
no_change,7.534,42
no_change,7.773,50
no_change,8.016,62
no_change,8.243,50
no_change,8.486,42
no_change,8.716,50
no_change,8.961,40
no_change,8.964,55
no_change,9.211,47
no_change,9.468,49
no_change,9.675,51
no_change,9.898,52
no_change,10.105,54
no_change,10.336,40
no_change,10.611,59
no_change,10.857,61
no_change,11.055,63
no_change,11.268,64
no_change,11.495,66
no_change,11.752,52
no_change,11.755,67
no_change,12.136,55
no_change,12.393,67
no_change,12.6,59
no_change,12.859,55
no_change,13.132,67
no_change,13.459,51
no_change,13.964,71
no_change,14.461,51
no_change,14.686,66
no_change,14.957,50
no_change,15.195,55
no_change,15.468,64
no_change,15.707,59
no_change,15.948,49
no_change,15.95,55
no_change,16.173,64
no_change,16.47,47
no_change,16.989,67
no_change,17.218,55
no_change,17.489,46
no_change,17.714,62
no_change,17.973,45
no_change,18.236,55
no_change,18.489,64
no_change,18.718,55
no_change,18.973,45
no_change,19.182,61
no_change,19.441,59
no_change,19.443,43
no_change,19.677,55
no_change,19.93,64
no_change,20.159,55
no_change,20.418,43
no_change,20.641,59
no_change,20.909,57
no_change,20.911,42
no_change,21.166,45
no_change,21.402,50
no_change,21.639,45
no_change,21.88,54
no_change,22.1,50
no_change,22.334,57
no_change,22.566,54
no_change,22.836,62
no_change,23.082,57
no_change,23.384,66
no_change,23.605,62
no_change,23.816,45
no_change,24.077,69
no_change,24.6,60
no_change,24.855,67
no_change,25.048,60
no_change,25.282,45
no_change,25.305,69
no_change,25.505,60
no_change,25.68,50
no_change,25.868,67
no_change,26.15,60
no_change,26.37,66
no_change,26.598,60
no_change,26.816,50
no_change,27.1,67
no_change,27.418,43
no_change,27.614,66
no_change,27.97,55
no_change,28.2,59
no_change,28.414,55
no_change,28.643,50
no_change,28.861,55
no_change,29.111,64
no_change,29.114,43
no_change,29.405,55
no_change,29.659,59
no_change,29.868,55
no_change,30.111,50
no_change,30.309,55
no_change,30.532,43
no_change,30.734,67
no_change,31.02,58
no_change,31.25,66
no_change,31.459,58
no_change,31.68,43
no_change,31.709,67
no_change,31.911,58
no_change,32.17,48
no_change,32.173,66
no_change,32.439,58
no_change,32.661,64
no_change,32.859,58
no_change,33.095,48
no_change,33.336,66
no_change,33.614,42
no_change,33.786,64
no_change,34.084,50
no_change,34.325,57
no_change,34.541,50
no_change,34.793,45
no_change,34.98,50
no_change,35.232,42
no_change,35.575,50
no_change,35.839,57
no_change,36.055,50
no_change,36.3,45
no_change,36.78,50
no_change,36.802,50
no_change,37.025,66
no_change,37.282,57
no_change,37.536,64
no_change,37.707,57
no_change,37.968,66
no_change,38.17,57
no_change,38.382,48
no_change,38.618,57
no_change,38.855,62
no_change,39.077,57
no_change,39.307,64
no_change,39.491,57
no_change,39.759,47
no_change,39.761,66
no_change,39.995,55
no_change,40.22,64
no_change,40.439,55
no_change,40.661,66
no_change,40.857,55
no_change,41.107,46
no_change,41.261,64
no_change,41.491,55
no_change,41.732,62
no_change,41.941,55
no_change,42.157,64
no_change,42.345,55
no_change,42.607,45
no_change,42.611,66
no_change,42.827,57
no_change,43.055,64
no_change,43.252,57
no_change,43.523,62
no_change,43.709,57
no_change,43.905,45
no_change,44.098,64
no_change,44.309,55
no_change,44.543,62
no_change,44.757,55
no_change,44.989,61
no_change,45.184,55
no_change,45.432,50
no_change,45.673,62
no_change,45.886,57
no_change,46.111,62
no_change,46.336,54
no_change,46.548,57
no_change,46.78,50
no_change,47.009,57
no_change,47.211,59
no_change,47.434,61
no_change,47.652,62
no_change,47.868,64
no_change,48.182,50
no_change,48.184,66
no_change,48.493,57
no_change,48.739,66
no_change,48.989,57
no_change,49.207,50
no_change,49.4,66
no_change,49.675,49
no_change,49.964,57
no_change,50.227,69
no_change,50.475,57
no_change,50.723,49
no_change,50.95,64
no_change,51.257,47
no_change,51.259,62
no_change,51.555,54
no_change,51.791,62
no_change,52.05,54
no_change,52.273,47
no_change,52.473,62
no_change,52.716,61
no_change,52.718,45
no_change,52.95,54
no_change,53.202,66
no_change,53.425,54
no_change,53.714,45
no_change,53.945,61
no_change,54.227,43
no_change,54.484,54
no_change,54.73,59
no_change,54.959,52
no_change,55.191,43
no_change,55.382,59
no_change,55.643,42
no_change,55.87,50
no_change,56.127,62
no_change,56.368,50
no_change,56.591,57
no_change,56.595,42
no_change,56.823,50
no_change,57.014,40
no_change,57.2,55
no_change,57.441,47
no_change,57.643,49
no_change,57.83,51
no_change,58.068,52
no_change,58.259,54
no_change,58.464,40
no_change,58.466,55
no_change,58.77,59
no_change,58.993,61
no_change,59.175,63
no_change,59.395,64
no_change,59.627,66
no_change,59.907,52
no_change,60.289,55
no_change,60.541,67
no_change,60.734,59
no_change,61.027,55
no_change,61.307,67
no_change,61.67,51
no_change,61.677,66
no_change,62.232,71
no_change,62.707,51
no_change,62.952,66
no_change,63.182,50
no_change,63.186,64
no_change,63.441,55
no_change,63.684,64
no_change,63.92,59
no_change,64.168,49
no_change,64.173,55
no_change,64.393,64
no_change,64.659,47
no_change,64.67,62
no_change,65.243,67
no_change,65.491,55
no_change,65.732,46
no_change,65.984,62
no_change,66.245,45
no_change,66.541,55
no_change,66.777,64
no_change,66.973,55
no_change,67.243,45
no_change,67.475,61
no_change,67.7,43
no_change,67.945,55
no_change,68.198,64
no_change,68.432,55
no_change,68.682,43
no_change,68.884,59
no_change,69.105,42
no_change,69.275,57
no_change,69.509,45
no_change,69.748,50
no_change,69.961,45
no_change,70.211,54
no_change,70.45,50
no_change,70.693,57
no_change,70.92,54
no_change,71.186,62
no_change,71.418,57
no_change,71.709,66
no_change,71.95,62
no_change,72.232,45
no_change,72.53,69
no_change,73.141,60
no_change,73.427,67
no_change,73.641,60
no_change,73.852,45
no_change,73.882,69
no_change,74.109,60
no_change,74.32,50
no_change,74.532,67
no_change,74.861,60
no_change,75.089,66
no_change,75.291,60
no_change,75.486,50
no_change,75.768,67
no_change,76.07,43
no_change,76.289,66
no_change,76.695,55
no_change,76.93,59
no_change,77.136,55
no_change,77.377,50
no_change,77.589,55
no_change,77.827,64
no_change,77.83,43
no_change,78.17,55
no_change,78.416,59
no_change,78.627,55
no_change,78.866,50
no_change,79.086,55
no_change,79.364,43
no_change,79.561,67
no_change,79.855,58
no_change,80.109,66
no_change,80.302,58
no_change,80.516,43
no_change,80.536,67
no_change,80.766,58
no_change,81.118,48
no_change,81.318,66
no_change,81.689,58
no_change,81.909,64
no_change,82.109,58
no_change,82.339,48
no_change,82.636,66
no_change,82.986,42
no_change,83.175,64
no_change,83.489,50
no_change,83.736,57
no_change,83.907,50
no_change,84.148,45
no_change,84.345,50
no_change,84.516,42
no_change,84.7,50
no_change,84.714,62
no_change,85.0,57
no_change,85.234,50
no_change,85.661,45
no_change,85.895,50
no_change,86.214,50
no_change,86.22,66
no_change,86.525,57
no_change,86.78,64
no_change,86.961,57
no_change,87.214,66
no_change,87.411,57
no_change,87.645,48
no_change,87.65,64
no_change,87.877,57
no_change,88.109,62
no_change,88.32,57
no_change,88.564,64
no_change,88.761,57
no_change,89.111,66
no_change,89.114,47
no_change,89.4,55
no_change,89.632,64
no_change,89.83,55
no_change,90.041,66
no_change,90.232,55
no_change,90.445,46
no_change,90.623,64
no_change,90.839,55
no_change,91.098,62
no_change,91.318,55
no_change,91.566,64
no_change,91.761,55
no_change,92.036,45
no_change,92.291,57
no_change,92.525,64
no_change,92.707,57
no_change,92.957,62
no_change,93.139,57
no_change,93.327,45
no_change,93.507,64
no_change,93.698,55
no_change,93.993,62
no_change,94.17,55
no_change,94.443,61
no_change,94.573,55
no_change,94.875,50
no_change,95.095,62
no_change,95.332,57
no_change,95.559,62
no_change,95.775,54
no_change,95.993,57
no_change,96.23,50
no_change,96.466,57
no_change,96.702,59
no_change,96.943,61
no_change,97.184,62
no_change,97.459,64
no_change,97.784,50
no_change,97.791,66
no_change,98.225,57
no_change,98.484,64
no_change,98.67,57
no_change,98.93,66
no_change,99.116,57
no_change,99.361,64
no_change,99.364,48
no_change,99.582,57
no_change,99.839,62
no_change,100.034,57
no_change,100.284,64
no_change,100.466,57
no_change,100.698,66
no_change,100.705,47
no_change,100.925,55
no_change,101.134,64
no_change,101.339,55
no_change,101.573,66
no_change,101.759,55
no_change,101.961,64
no_change,101.964,46
no_change,102.186,55
no_change,102.425,62
no_change,102.634,55
no_change,102.866,64
no_change,103.086,55
no_change,103.37,45
no_change,103.566,66
no_change,103.848,57
no_change,104.084,64
no_change,104.277,57
no_change,104.514,62
no_change,104.709,57
no_change,104.884,45
no_change,105.068,64
no_change,105.311,55
no_change,105.561,62
no_change,105.789,55
no_change,106.045,61
no_change,106.327,55
no_change,106.582,46
no_change,106.789,62
no_change,107.257,53
no_change,107.52,55
no_change,107.739,53
no_change,107.975,55
no_change,108.195,53
no_change,108.448,46
no_change,108.839,53
no_change,109.091,55
no_change,109.32,53
no_change,109.616,55
no_change,109.855,53
no_change,110.111,50
