onset_type,onset_time,pitch
no_change,10.041,66
no_change,10.323,47
no_change,10.334,54
no_change,10.382,59
no_change,10.42,62
early,10.434,71
no_change,10.525,66
no_change,10.839,66
no_change,11.105,47
no_change,11.107,54
no_change,11.123,59
no_change,11.161,62
no_change,11.168,71
no_change,11.173,66
no_change,11.557,66
no_change,11.875,58
no_change,11.88,61
no_change,11.882,67
no_change,12.232,67
no_change,12.389,66
no_change,12.58,64
no_change,12.905,52
no_change,12.907,58
no_change,13.236,50
no_change,13.241,59
no_change,13.595,52
no_change,13.598,64
no_change,13.6,61
no_change,13.914,54
no_change,13.945,62
no_change,14.3,61
no_change,14.63,47
no_change,14.634,64
no_change,14.8,62
no_change,14.984,61
no_change,15.132,62
no_change,15.318,59
no_change,15.652,62
no_change,15.811,61
no_change,15.984,62
no_change,16.32,47
no_change,16.323,54
no_change,16.693,47
no_change,16.695,55
no_change,17.02,62
no_change,17.368,45
no_change,17.37,55
no_change,17.375,61
no_change,17.714,61
no_change,17.88,59
no_change,18.061,61
no_change,18.375,69
no_change,18.543,64
no_change,18.72,61
no_change,19.064,45
no_change,19.398,45
no_change,19.752,61
no_change,20.086,43
no_change,20.089,54
no_change,20.448,59
no_change,20.616,57
no_change,20.798,59
no_change,21.13,71
no_change,21.314,67
no_change,21.495,64
no_change,21.83,67
no_change,22.0,64
no_change,22.161,61
no_change,22.48,64
no_change,22.661,61
no_change,22.839,57
no_change,22.843,55
no_change,23.164,59
no_change,23.33,61
no_change,23.498,62
no_change,23.632,64
no_change,23.814,66
no_change,23.991,67
no_change,24.168,69
no_change,24.509,42
no_change,24.832,43
no_change,24.841,59
no_change,25.186,57
no_change,25.189,45
no_change,25.516,57
no_change,25.518,47
no_change,25.52,62
no_change,25.689,61
no_change,25.875,62
no_change,26.209,71
no_change,26.532,40
no_change,26.564,56
no_change,26.566,62
no_change,26.9,45
no_change,27.036,59
no_change,27.245,61
no_change,27.57,69
no_change,27.9,50
no_change,27.907,54
no_change,27.911,60
no_change,28.266,43
no_change,28.268,59
no_change,28.575,54
no_change,28.6,62
no_change,28.92,52
no_change,28.923,61
no_change,29.08,62
no_change,29.259,50
no_change,29.261,64
no_change,29.595,49
no_change,29.598,55
no_change,29.934,55
no_change,30.098,54
no_change,30.295,55
no_change,30.639,64
no_change,30.784,54
no_change,30.973,49
no_change,30.975,55
no_change,31.318,64
no_change,31.475,54
no_change,31.668,47
no_change,31.67,55
no_change,31.982,64
no_change,32.155,54
no_change,32.332,45
no_change,32.336,55
no_change,32.675,61
no_change,33.016,69
no_change,33.968,74
no_change,34.132,73
no_change,34.293,71
no_change,34.461,69
no_change,34.636,67
no_change,34.782,71
no_change,34.957,69
no_change,35.118,67
no_change,35.259,66
no_change,35.427,64
no_change,35.589,62
no_change,35.766,57
no_change,35.916,55
no_change,36.116,45
no_change,36.123,61
no_change,36.473,50
no_change,36.475,54
no_change,36.477,62
no_change,37.716,66
no_change,37.998,47
no_change,38.011,54
no_change,38.061,59
no_change,38.091,62
no_change,38.109,66
no_change,38.507,66
no_change,38.805,47
no_change,38.809,54
no_change,38.816,59
no_change,38.852,62
no_change,38.864,71
no_change,38.868,66
no_change,39.245,66
no_change,39.584,58
no_change,39.586,61
no_change,39.589,67
no_change,39.943,67
no_change,40.102,66
no_change,40.28,64
no_change,40.605,52
no_change,40.607,58
no_change,40.609,67
no_change,40.945,50
no_change,40.95,59
no_change,41.298,52
no_change,41.3,64
no_change,41.302,61
no_change,41.627,54
no_change,41.645,62
no_change,42.002,61
no_change,42.341,47
no_change,42.345,64
no_change,42.507,62
no_change,42.698,61
no_change,42.848,62
no_change,43.025,59
no_change,43.361,62
no_change,43.523,61
no_change,43.695,62
no_change,44.025,47
no_change,44.03,54
no_change,44.402,47
no_change,44.407,55
no_change,44.732,62
no_change,45.068,45
no_change,45.073,55
no_change,45.075,61
no_change,45.414,61
no_change,45.582,59
no_change,45.764,61
no_change,46.084,69
no_change,46.252,64
no_change,46.43,61
no_change,46.775,45
no_change,47.109,45
no_change,47.466,61
no_change,47.795,43
