onset_type,onset_time,pitch
no_change,5.923,61
no_change,6.489,42
no_change,6.698,49
no_change,6.818,54
no_change,6.9,57
no_change,6.952,61
no_change,7.03,66
no_change,7.2,69
no_change,7.386,68
no_change,7.561,66
no_change,7.795,42
no_change,7.98,49
no_change,8.127,54
no_change,8.225,57
no_change,8.284,61
no_change,8.448,66
no_change,8.52,69
no_change,8.645,68
no_change,8.832,66
no_change,9.075,53
no_change,9.273,65
no_change,9.275,61
no_change,9.277,56
no_change,9.466,49
no_change,9.641,53
no_change,9.814,56
no_change,9.816,61
no_change,10.0,49
no_change,10.184,53
no_change,10.35,56
no_change,10.534,49
no_change,10.732,53
no_change,10.9,56
no_change,10.902,61
no_change,10.905,65
no_change,11.1,49
no_change,11.355,42
no_change,11.598,49
no_change,11.723,54
no_change,11.825,57
no_change,11.884,61
no_change,11.998,66
no_change,12.13,69
no_change,12.277,68
no_change,12.466,66
no_change,12.677,42
no_change,12.843,49
no_change,12.973,54
no_change,13.064,57
no_change,13.12,61
pitch,13.295,67
no_change,13.361,69
no_change,13.502,68
no_change,13.689,66
no_change,13.905,52
no_change,14.12,56
no_change,14.318,51
no_change,14.511,52
no_change,14.684,56
no_change,14.889,51
no_change,15.082,52
no_change,15.266,64
no_change,15.286,47
no_change,15.45,64
no_change,15.477,44
no_change,15.636,56
no_change,15.668,56
no_change,15.759,40
no_change,16.239,61
no_change,16.645,42
no_change,16.825,49
no_change,16.964,54
no_change,17.052,57
no_change,17.116,61
no_change,17.18,66
no_change,17.357,69
no_change,17.534,68
no_change,17.705,66
no_change,17.939,42
no_change,18.111,49
no_change,18.225,54
no_change,18.334,57
no_change,18.384,61
no_change,18.491,66
no_change,18.62,69
no_change,18.768,68
no_change,18.934,66
no_change,19.175,53
no_change,19.348,65
no_change,19.35,56
no_change,19.555,49
no_change,19.732,53
no_change,19.907,65
no_change,19.909,56
no_change,19.911,61
no_change,20.102,49
no_change,20.286,53
no_change,20.43,56
no_change,20.432,61
no_change,20.434,65
no_change,20.63,49
no_change,20.823,53
no_change,20.984,56
no_change,20.986,61
no_change,21.182,49
no_change,21.45,42
no_change,21.645,49
no_change,21.784,54
no_change,21.864,57
no_change,21.918,61
no_change,22.032,66
no_change,22.161,69
no_change,22.332,68
no_change,22.52,66
no_change,22.802,66
no_change,22.805,62
no_change,22.809,50
no_change,23.057,61
no_change,23.248,59
no_change,23.427,59
no_change,23.43,62
no_change,23.605,64
no_change,23.607,61
no_change,23.789,62
no_change,23.977,62
no_change,23.982,40
no_change,24.186,64
no_change,24.368,61
no_change,24.395,61
no_change,24.484,57
no_change,24.593,61
no_change,24.68,40
no_change,24.807,59
no_change,24.809,62
no_change,25.052,59
no_change,25.055,56
no_change,25.614,45
no_change,25.698,49
no_change,25.809,52
no_change,25.866,57
no_change,25.916,61
no_change,26.016,64
no_change,26.182,69
no_change,26.277,68
no_change,26.373,66
no_change,26.47,64
no_change,26.568,62
no_change,26.661,61
no_change,26.77,50
no_change,26.868,54
no_change,26.966,57
