onset_type,onset_time,pitch
no_change,6.998,48
no_change,7.261,51
no_change,7.264,60
no_change,7.711,52
early,7.716,56
no_change,7.784,60
no_change,7.975,43
no_change,7.977,59
no_change,7.98,53
no_change,8.723,47
no_change,9.034,48
no_change,9.273,51
no_change,9.275,57
no_change,9.707,56
no_change,9.714,52
no_change,9.966,43
no_change,9.968,53
no_change,9.97,59
no_change,9.98,55
no_change,10.255,53
no_change,10.257,45
no_change,10.259,59
no_change,10.261,55
no_change,10.698,47
no_change,10.97,48
no_change,11.225,51
no_change,11.68,52
no_change,11.691,60
no_change,11.693,56
no_change,11.948,43
no_change,11.95,53
no_change,11.959,55
no_change,12.641,47
no_change,12.893,48
no_change,13.164,60
no_change,13.166,51
no_change,13.598,60
no_change,13.6,56
no_change,13.602,52
no_change,13.875,43
no_change,13.877,59
no_change,14.202,53
no_change,14.205,45
no_change,14.207,55
no_change,14.607,47
no_change,14.918,48
no_change,14.92,52
no_change,15.466,60
no_change,16.091,64
no_change,17.55,71
no_change,18.052,69
no_change,18.282,67
no_change,18.511,65
no_change,18.725,64
no_change,18.986,47
no_change,19.0,62
no_change,19.507,55
no_change,19.509,53
no_change,19.743,53
no_change,19.745,55
no_change,19.95,53
no_change,19.984,45
no_change,20.091,55
no_change,20.443,46
no_change,20.445,55
no_change,20.886,47
no_change,20.889,53
no_change,20.891,62
no_change,21.252,71
no_change,21.655,69
no_change,21.909,67
no_change,22.105,65
no_change,22.341,64
no_change,22.545,62
no_change,22.807,45
no_change,22.809,55
no_change,23.282,60
no_change,23.284,52
no_change,23.505,52
no_change,23.507,55
no_change,23.723,52
no_change,23.734,43
no_change,24.207,60
no_change,24.209,55
no_change,24.211,44
no_change,24.216,52
no_change,24.655,55
no_change,24.659,45
no_change,24.961,69
no_change,25.364,67
no_change,25.577,65
no_change,25.773,64
no_change,26.014,62
no_change,26.198,60
no_change,26.495,43
no_change,26.498,50
no_change,26.975,57
no_change,26.977,50
no_change,27.191,59
no_change,27.193,50
no_change,27.445,42
no_change,27.502,50
no_change,27.907,41
no_change,28.377,40
no_change,28.618,55
no_change,28.639,50
no_change,28.652,59
no_change,28.655,67
no_change,29.109,65
no_change,29.345,50
no_change,29.366,64
no_change,29.666,62
no_change,29.848,61
no_change,30.011,60
no_change,30.25,50
no_change,30.252,41
no_change,30.259,55
