onset_type,onset_time,pitch
no_change,6.307,62
no_change,6.62,59
no_change,6.689,65
no_change,6.761,64
late,6.909,59
no_change,7.318,62
no_change,7.411,59
no_change,7.491,65
no_change,7.541,64
no_change,7.725,59
no_change,7.943,62
no_change,8.266,59
no_change,8.35,65
no_change,8.377,64
no_change,8.559,59
no_change,8.755,62
no_change,8.959,71
no_change,9.405,65
no_change,9.595,62
no_change,9.911,59
no_change,9.989,65
no_change,10.025,64
no_change,10.205,59
no_change,10.418,62
no_change,10.759,59
no_change,10.832,65
no_change,10.877,64
no_change,11.059,59
no_change,11.261,62
no_change,11.582,59
no_change,11.652,65
no_change,11.72,64
no_change,11.87,59
no_change,12.075,62
no_change,12.293,74
no_change,12.941,53
no_change,13.259,50
no_change,13.33,57
no_change,13.373,55
no_change,13.543,50
no_change,13.775,53
no_change,14.102,50
no_change,14.18,57
no_change,14.225,55
no_change,14.402,50
no_change,14.63,53
no_change,14.927,50
no_change,15.014,57
no_change,15.055,55
no_change,15.243,50
no_change,15.45,53
no_change,15.668,61
no_change,16.309,53
no_change,16.634,50
no_change,16.709,57
no_change,16.766,55
no_change,16.909,50
no_change,17.145,53
no_change,17.448,50
no_change,17.543,57
no_change,17.611,55
no_change,17.768,50
no_change,17.986,53
no_change,18.291,50
no_change,18.373,57
no_change,18.432,55
no_change,18.593,50
no_change,18.807,53
no_change,19.023,44
no_change,19.739,50
no_change,20.064,50
no_change,20.127,53
no_change,20.234,50
no_change,20.359,50
no_change,20.575,50
no_change,20.911,50
no_change,20.975,55
no_change,21.114,50
no_change,21.202,50
no_change,21.445,50
no_change,21.764,50
no_change,21.845,53
no_change,21.991,50
no_change,22.061,50
no_change,22.282,50
no_change,22.491,55
no_change,22.548,56
no_change,23.277,50
no_change,23.584,50
no_change,23.65,53
no_change,23.77,50
no_change,23.882,50
no_change,24.102,50
no_change,24.439,50
no_change,24.52,57
no_change,24.62,50
no_change,24.693,50
no_change,24.939,50
no_change,25.268,50
no_change,25.339,57
no_change,25.434,50
no_change,25.552,50
no_change,25.777,50
no_change,25.977,44
no_change,26.03,41
no_change,26.675,61
no_change,26.723,50
no_change,27.048,50
no_change,27.152,50
no_change,27.382,50
no_change,27.57,50
no_change,27.9,50
no_change,27.916,50
no_change,28.207,50
no_change,28.209,67
no_change,28.409,50
no_change,28.745,50
no_change,28.855,50
no_change,29.068,50
no_change,29.27,50
no_change,29.591,50
no_change,29.705,50
no_change,29.914,50
no_change,30.12,62
no_change,30.127,50
no_change,30.132,61
no_change,30.461,50
no_change,30.57,50
no_change,30.773,50
no_change,30.991,50
no_change,31.291,50
no_change,31.391,50
no_change,31.595,71
no_change,31.605,50
no_change,31.607,70
no_change,31.818,50
no_change,32.136,50
no_change,32.241,50
no_change,32.461,50
no_change,32.686,50
no_change,33.002,50
no_change,33.105,50
no_change,33.307,50
no_change,33.53,62
no_change,33.532,50
no_change,33.536,61
no_change,33.859,50
no_change,33.966,50
no_change,34.177,50
no_change,34.4,50
no_change,34.677,50
no_change,34.789,50
no_change,34.991,50
no_change,34.993,74
no_change,34.995,68
no_change,35.198,50
no_change,35.52,50
no_change,35.616,50
no_change,35.827,50
no_change,36.061,50
no_change,36.336,50
no_change,36.457,50
no_change,36.648,50
no_change,36.65,68
no_change,36.761,73
no_change,36.884,63
