onset_type,onset_time,pitch
no_change,1.216,57
no_change,1.861,66
no_change,2.27,50
no_change,2.555,57
late,2.809,66
no_change,3.289,45
no_change,3.532,55
no_change,3.544,64
no_change,3.75,64
no_change,4.02,62
no_change,4.257,50
no_change,4.527,54
no_change,4.766,66
no_change,5.061,57
no_change,5.323,50
no_change,5.618,54
no_change,5.909,57
no_change,6.223,59
no_change,6.511,43
no_change,6.775,55
no_change,7.014,59
no_change,7.264,64
no_change,7.525,44
no_change,7.77,52
no_change,8.018,62
no_change,8.298,62
no_change,8.575,45
no_change,8.836,52
no_change,9.125,61
no_change,9.398,64
no_change,9.673,45
no_change,10.034,52
no_change,10.48,57
no_change,10.898,66
no_change,11.277,50
no_change,11.55,57
no_change,11.8,66
no_change,12.075,64
no_change,12.32,45
no_change,12.55,55
no_change,12.784,64
no_change,13.055,62
no_change,13.32,47
no_change,13.552,54
no_change,13.777,62
no_change,14.032,63
no_change,14.314,45
no_change,14.598,54
no_change,14.875,63
no_change,15.177,64
no_change,15.452,43
no_change,15.743,52
no_change,15.745,55
no_change,16.041,59
no_change,16.327,61
no_change,16.616,45
no_change,16.916,52
no_change,16.918,55
no_change,17.198,64
no_change,17.545,54
no_change,17.893,50
no_change,18.234,57
no_change,18.607,54
no_change,19.089,50
no_change,20.541,66
no_change,20.966,64
no_change,21.366,49
no_change,21.648,57
no_change,21.905,64
no_change,22.182,63
no_change,22.459,48
no_change,22.689,57
no_change,22.934,63
no_change,23.191,64
no_change,23.439,49
no_change,23.67,57
no_change,23.891,64
no_change,24.148,61
no_change,24.4,45
no_change,24.625,57
no_change,24.866,61
no_change,25.105,62
no_change,25.345,47
no_change,25.598,54
no_change,25.836,62
no_change,26.1,59
no_change,26.357,52
no_change,26.63,56
no_change,26.875,64
no_change,27.159,62
no_change,27.42,52
no_change,27.73,56
no_change,28.034,52
no_change,28.361,57
no_change,28.366,61
no_change,28.693,52
no_change,29.075,45
no_change,29.53,64
no_change,29.966,64
no_change,30.389,49
no_change,30.666,57
no_change,30.918,64
no_change,31.198,65
no_change,31.484,49
no_change,31.709,57
no_change,31.916,65
no_change,32.182,66
no_change,32.416,50
no_change,32.643,57
no_change,32.877,66
no_change,33.125,59
no_change,33.409,51
no_change,33.657,57
no_change,33.868,60
no_change,34.125,61
no_change,34.366,52
no_change,34.609,57
no_change,34.868,61
no_change,35.13,40
no_change,35.414,52
no_change,35.695,59
no_change,35.97,59
no_change,35.973,56
no_change,36.298,45
no_change,36.6,57
no_change,36.907,52
no_change,37.225,49
no_change,37.682,45
no_change,39.209,69
no_change,39.693,69
no_change,40.107,54
no_change,40.42,57
no_change,40.684,69
no_change,40.964,60
no_change,41.252,52
no_change,41.502,57
no_change,41.734,60
no_change,41.986,59
no_change,42.264,51
no_change,42.518,57
no_change,42.761,59
no_change,43.066,66
no_change,43.384,51
no_change,43.659,57
no_change,43.905,66
no_change,44.198,67
no_change,44.47,52
no_change,44.727,55
no_change,44.945,67
no_change,45.22,58
no_change,45.486,50
no_change,45.725,55
no_change,45.948,58
no_change,46.202,57
no_change,46.457,49
no_change,46.739,55
no_change,47.002,57
no_change,47.318,64
no_change,47.664,49
no_change,48.03,55
no_change,48.414,64
no_change,48.802,65
no_change,49.139,50
no_change,49.461,53
no_change,49.734,62
no_change,50.014,61
no_change,50.302,52
no_change,50.557,55
no_change,50.818,64
no_change,51.089,62
no_change,51.402,53
no_change,51.657,57
no_change,51.911,64
no_change,52.182,65
no_change,52.423,50
no_change,52.668,57
no_change,52.916,64
no_change,53.209,62
no_change,53.491,46
no_change,53.743,57
no_change,53.998,62
no_change,54.305,64
no_change,54.6,46
no_change,54.891,56
no_change,55.175,64
no_change,55.495,61
no_change,55.814,45
no_change,56.464,57
no_change,57.03,52
no_change,57.343,49
no_change,57.993,52
no_change,58.225,45
no_change,58.523,57
no_change,59.03,66
no_change,59.452,50
no_change,59.805,57
no_change,60.08,66
no_change,60.373,64
no_change,60.67,45
no_change,60.93,55
no_change,61.168,64
no_change,61.436,62
no_change,61.675,50
no_change,61.941,54
no_change,62.189,66
no_change,62.482,57
no_change,62.764,50
no_change,63.043,54
no_change,63.332,62
no_change,63.618,59
no_change,63.877,43
no_change,64.139,55
no_change,64.389,59
no_change,64.657,64
no_change,64.918,44
no_change,65.186,52
no_change,65.425,62
no_change,65.714,62
no_change,66.0,45
no_change,66.277,52
no_change,66.568,61
no_change,66.87,64
no_change,67.173,45
no_change,67.548,52
no_change,68.02,57
no_change,68.375,66
no_change,68.65,50
no_change,68.927,57
no_change,69.202,67
no_change,69.289,66
no_change,69.464,64
no_change,69.761,46
no_change,70.02,55
no_change,70.348,66
no_change,70.477,64
no_change,70.77,62
no_change,70.98,47
no_change,71.28,54
no_change,71.557,59
no_change,71.927,64
no_change,71.93,55
no_change,72.334,40
no_change,72.818,43
no_change,73.332,66
no_change,73.448,64
no_change,73.655,62
no_change,73.941,45
no_change,74.225,57
no_change,74.227,54
no_change,74.486,62
no_change,74.786,61
no_change,75.075,45
no_change,75.427,52
no_change,75.43,55
no_change,75.802,61
no_change,76.209,54
no_change,76.618,50
no_change,77.084,57
no_change,78.157,54
no_change,79.164,50
