onset_type,onset_time,pitch
no_change,2.85,38
no_change,3.675,57
no_change,4.164,62
no_change,4.539,54
late,4.877,57
no_change,5.424,50
no_change,5.534,54
no_change,5.88,45
no_change,6.341,38
no_change,6.775,57
no_change,7.1,62
no_change,7.4,54
no_change,7.714,57
no_change,8.061,50
no_change,8.441,54
no_change,8.891,45
no_change,9.63,66
no_change,9.632,38
no_change,10.182,45
no_change,10.555,54
no_change,10.861,64
no_change,11.168,62
no_change,11.439,64
no_change,11.707,66
no_change,11.968,67
no_change,12.336,52
no_change,12.341,69
no_change,12.966,67
no_change,13.314,61
no_change,13.593,57
no_change,13.877,45
no_change,14.18,55
no_change,14.443,71
no_change,14.698,73
no_change,14.959,54
no_change,15.114,74
no_change,15.495,69
no_change,15.5,62
no_change,15.793,76
no_change,16.098,64
no_change,16.37,53
no_change,16.523,73
no_change,17.077,62
no_change,17.107,68
no_change,17.516,74
no_change,18.048,62
no_change,18.4,71
no_change,18.409,52
no_change,18.52,62
no_change,18.6,67
no_change,18.909,73
no_change,19.12,71
no_change,19.357,69
no_change,19.955,64
no_change,20.343,67
no_change,20.675,61
no_change,21.005,64
no_change,21.375,45
no_change,21.755,38
no_change,22.116,74
no_change,22.641,57
no_change,23.125,66
no_change,23.448,73
no_change,23.814,51
no_change,23.95,59
no_change,24.068,71
no_change,24.514,69
no_change,24.934,71
no_change,25.284,67
no_change,25.766,64
no_change,25.77,52
no_change,26.609,55
no_change,26.611,59
no_change,27.059,54
no_change,27.395,55
no_change,27.916,58
no_change,28.234,59
no_change,28.77,62
no_change,29.22,66
no_change,29.561,67
no_change,29.811,45
no_change,30.202,69
no_change,30.752,66
no_change,31.352,73
no_change,31.982,57
no_change,32.507,69
no_change,33.268,55
no_change,33.73,66
no_change,34.145,45
no_change,34.552,38
no_change,34.705,54
no_change,34.857,64
no_change,35.186,66
no_change,35.423,64
no_change,35.734,62
no_change,36.243,54
no_change,36.605,57
no_change,36.939,50
no_change,37.28,54
no_change,37.607,45
no_change,38.084,74
no_change,38.532,38
no_change,39.005,78
no_change,39.016,69
no_change,39.664,73
no_change,40.139,71
no_change,40.491,69
no_change,40.841,71
no_change,41.232,67
no_change,41.714,64
no_change,42.559,62
no_change,43.043,67
no_change,43.416,70
no_change,43.914,74
no_change,45.368,66
no_change,45.711,67
no_change,45.961,45
no_change,46.345,69
no_change,46.873,66
no_change,47.414,73
no_change,47.866,57
no_change,48.686,69
no_change,48.782,58
no_change,49.714,67
no_change,50.118,59
no_change,50.45,38
no_change,50.609,55
no_change,50.764,64
no_change,51.036,66
no_change,51.245,64
no_change,51.559,62
no_change,51.98,54
no_change,52.316,57
no_change,52.63,50
no_change,52.934,54
no_change,53.232,45
no_change,53.623,38
no_change,54.005,57
no_change,54.334,62
no_change,54.632,54
no_change,54.945,57
no_change,55.255,50
no_change,55.63,54
no_change,56.009,45
no_change,56.636,38
no_change,56.639,66
no_change,57.168,45
no_change,57.498,54
