onset_type,onset_time,pitch
no_change,0.825,64
no_change,0.827,48
no_change,1.057,52
no_change,1.277,53
late,1.491,55
no_change,1.714,60
no_change,1.861,57
no_change,1.939,55
no_change,2.17,53
no_change,2.391,52
no_change,2.62,50
no_change,2.855,52
no_change,3.089,53
no_change,3.309,52
no_change,3.536,50
no_change,3.748,52
no_change,3.97,50
no_change,4.2,48
no_change,4.43,62
no_change,4.434,47
no_change,4.661,50
no_change,4.87,52
no_change,5.1,53
no_change,5.307,55
no_change,5.309,59
no_change,5.541,57
no_change,5.766,55
no_change,5.977,53
no_change,6.211,52
no_change,6.214,60
no_change,6.441,53
no_change,6.675,55
no_change,6.898,53
no_change,7.13,52
no_change,7.348,53
no_change,7.582,52
no_change,7.802,50
no_change,8.045,48
no_change,8.273,52
no_change,8.489,53
no_change,8.711,55
no_change,8.943,57
no_change,9.177,56
no_change,9.405,57
no_change,9.623,55
no_change,9.848,62
no_change,9.85,54
no_change,10.084,50
no_change,10.311,52
no_change,10.525,54
no_change,10.741,55
no_change,10.743,59
no_change,10.989,51
no_change,11.207,52
no_change,11.209,67
no_change,11.455,47
no_change,11.677,48
no_change,11.68,67
no_change,11.916,45
no_change,12.134,47
no_change,12.341,48
no_change,12.577,50
no_change,12.809,48
no_change,13.018,47
no_change,13.241,45
no_change,13.48,67
no_change,13.484,43
no_change,13.716,47
no_change,13.945,50
no_change,14.177,54
no_change,14.42,55
no_change,15.486,64
no_change,15.493,48
no_change,15.723,52
no_change,15.961,53
no_change,16.166,55
no_change,16.391,60
no_change,16.393,57
no_change,16.636,55
no_change,16.857,53
no_change,17.086,52
no_change,17.309,50
no_change,17.545,52
no_change,17.777,53
no_change,18.007,52
no_change,18.234,50
no_change,18.448,52
no_change,18.664,50
no_change,18.889,48
no_change,19.114,62
no_change,19.116,47
no_change,19.357,50
no_change,19.57,52
no_change,19.789,53
no_change,20.018,55
no_change,20.023,59
no_change,20.255,57
no_change,20.489,55
no_change,20.707,53
no_change,20.934,52
no_change,20.936,60
no_change,21.157,53
no_change,21.391,55
no_change,21.625,53
no_change,21.857,52
no_change,22.075,53
no_change,22.314,52
no_change,22.532,50
no_change,22.757,48
no_change,22.986,52
no_change,23.223,53
no_change,23.441,55
no_change,23.666,57
no_change,23.898,56
no_change,24.139,57
no_change,24.345,55
no_change,24.573,62
no_change,24.575,54
no_change,24.809,50
no_change,25.034,52
no_change,25.243,54
no_change,25.459,55
no_change,25.464,59
no_change,25.695,51
no_change,25.92,52
no_change,25.923,67
no_change,26.166,47
no_change,26.384,48
no_change,26.623,45
no_change,26.848,47
no_change,27.064,48
no_change,27.291,50
no_change,27.298,66
no_change,27.498,48
no_change,27.741,47
no_change,27.957,45
no_change,28.198,67
no_change,28.202,43
no_change,28.432,47
no_change,28.686,50
no_change,28.884,54
no_change,29.136,55
no_change,30.175,47
no_change,30.177,55
no_change,30.418,59
no_change,30.659,60
no_change,30.88,62
