onset_type,onset_time,pitch
no_change,8.207,45
no_change,8.275,52
no_change,8.343,57
no_change,8.445,61
late,9.05,62
no_change,9.334,62
no_change,9.338,61
no_change,9.423,61
no_change,9.895,57
no_change,10.261,42
no_change,10.291,57
no_change,10.293,61
no_change,10.743,62
no_change,11.218,49
no_change,11.325,56
no_change,11.514,64
no_change,13.518,62
no_change,13.764,61
no_change,13.923,59
no_change,14.091,57
no_change,14.28,50
no_change,14.318,54
no_change,14.368,59
no_change,14.755,61
no_change,14.92,59
no_change,15.227,45
no_change,15.25,52
no_change,17.25,44
no_change,17.35,59
no_change,17.443,64
no_change,17.861,66
no_change,18.289,64
no_change,19.407,59
no_change,19.839,45
no_change,19.841,57
no_change,20.28,55
no_change,20.755,53
no_change,20.843,60
no_change,20.936,69
no_change,21.411,52
no_change,22.955,60
no_change,23.03,65
no_change,23.136,71
no_change,23.175,51
no_change,23.35,69
no_change,23.602,68
no_change,23.87,69
no_change,25.07,57
no_change,25.073,52
no_change,25.884,64
no_change,25.891,53
no_change,25.957,62
no_change,26.434,57
no_change,26.436,52
no_change,26.964,40
no_change,27.548,50
no_change,28.291,40
no_change,29.714,45
no_change,29.716,52
no_change,33.22,55
no_change,33.25,48
no_change,33.5,64
no_change,34.323,65
no_change,34.677,64
no_change,35.034,60
no_change,35.418,64
no_change,35.42,56
no_change,35.836,65
no_change,36.243,52
no_change,36.445,60
no_change,36.55,67
no_change,38.498,53
no_change,38.609,60
no_change,38.675,69
no_change,38.936,67
no_change,39.132,65
no_change,39.325,69
no_change,39.709,55
no_change,39.711,59
no_change,42.998,48
no_change,43.193,55
no_change,43.268,64
no_change,44.22,65
no_change,44.548,64
no_change,44.911,60
no_change,45.223,45
no_change,45.257,64
no_change,45.664,65
no_change,46.048,40
no_change,46.341,59
no_change,46.498,67
no_change,48.302,50
no_change,48.5,65
no_change,48.861,64
no_change,49.057,62
no_change,49.259,65
no_change,49.575,52
no_change,49.675,56
no_change,49.766,59
no_change,49.877,64
no_change,53.205,48
no_change,53.309,57
no_change,53.459,64
no_change,54.248,65
no_change,54.602,64
no_change,54.932,60
no_change,55.284,64
no_change,55.289,56
no_change,55.659,65
no_change,55.984,52
no_change,56.177,60
no_change,56.261,67
no_change,58.045,53
no_change,58.157,60
no_change,58.259,69
no_change,58.443,67
no_change,58.641,65
no_change,58.845,69
no_change,59.214,59
no_change,59.216,55
no_change,59.218,67
no_change,62.011,53
no_change,62.098,60
no_change,62.189,69
no_change,62.593,57
no_change,62.786,72
no_change,63.461,55
no_change,63.464,71
no_change,63.759,53
no_change,64.08,67
no_change,64.084,52
no_change,64.593,69
no_change,64.602,50
no_change,65.095,52
no_change,65.225,64
no_change,65.239,59
no_change,65.414,68
no_change,66.995,40
no_change,68.766,41
no_change,69.207,59
no_change,69.65,57
no_change,70.093,59
no_change,70.534,44
no_change,70.825,52
no_change,74.607,50
no_change,76.545,45
no_change,76.645,52
no_change,76.75,57
no_change,76.864,61
no_change,77.559,62
no_change,77.836,61
no_change,77.861,62
no_change,77.955,61
no_change,78.461,57
no_change,78.85,42
no_change,78.852,57
no_change,79.245,62
no_change,79.725,49
no_change,79.818,56
no_change,80.034,64
no_change,82.502,62
no_change,82.795,61
no_change,82.991,59
no_change,83.157,57
no_change,83.395,59
no_change,83.398,50
no_change,83.814,61
no_change,84.014,59
no_change,84.35,45
no_change,84.364,52
no_change,86.416,44
no_change,86.505,59
no_change,86.595,64
no_change,86.986,66
no_change,87.3,64
no_change,88.33,59
no_change,88.75,57
no_change,88.761,45
no_change,89.198,64
no_change,89.2,55
no_change,89.709,53
no_change,89.802,60
no_change,89.918,69
no_change,90.873,52
no_change,92.102,60
no_change,92.107,51
no_change,92.173,65
no_change,92.266,71
no_change,92.518,69
no_change,92.773,68
no_change,93.136,69
no_change,94.857,57
no_change,94.859,52
no_change,95.866,64
no_change,95.875,53
no_change,95.932,62
no_change,96.511,57
no_change,96.514,52
no_change,97.23,40
no_change,98.507,50
no_change,99.511,40
no_change,100.889,45
no_change,100.891,52
no_change,103.87,76
