onset_type,onset_time,pitch
no_change,0.4,40
no_change,0.602,59
no_change,1.052,52
no_change,1.382,55
no_change,1.634,52
no_change,1.986,64
no_change,2.268,52
no_change,2.514,55
no_change,2.73,52
no_change,2.914,45
no_change,3.0,60
no_change,3.232,52
no_change,3.48,57
no_change,3.682,52
no_change,3.936,48
no_change,4.207,52
no_change,4.5,57
no_change,4.755,52
no_change,5.018,47
no_change,5.155,59
no_change,5.423,51
no_change,5.67,57
no_change,5.882,51
no_change,6.118,66
no_change,6.352,51
no_change,6.582,57
no_change,6.795,51
no_change,7.007,40
no_change,7.116,59
no_change,7.391,52
no_change,7.632,55
no_change,7.83,52
no_change,8.091,43
no_change,8.343,52
no_change,8.595,55
no_change,8.839,52
no_change,9.08,40
no_change,9.202,59
no_change,9.489,52
no_change,9.741,55
no_change,9.955,52
no_change,10.202,67
no_change,10.455,52
no_change,10.673,55
no_change,10.873,52
no_change,11.05,45
no_change,11.134,60
no_change,11.373,52
pitch,11.616,74
no_change,11.809,52
no_change,12.064,66
no_change,12.293,52
no_change,12.511,57
no_change,12.73,52
no_change,12.911,46
no_change,13.025,61
no_change,13.257,52
no_change,13.489,55
no_change,13.684,52
no_change,13.95,64
no_change,14.189,52
no_change,14.434,55
no_change,14.641,52
no_change,14.87,47
no_change,14.991,63
no_change,15.284,57
no_change,15.536,54
no_change,15.757,57
no_change,16.073,66
no_change,16.361,63
no_change,16.691,57
no_change,17.084,63
no_change,17.464,40
no_change,17.655,59
no_change,18.057,52
no_change,18.389,55
no_change,18.632,52
no_change,18.911,64
no_change,19.166,52
no_change,19.402,55
no_change,19.618,52
no_change,19.839,45
no_change,19.916,60
no_change,20.223,52
no_change,20.482,57
no_change,20.711,52
no_change,20.948,48
no_change,21.168,52
no_change,21.405,57
no_change,21.616,52
no_change,21.866,47
no_change,21.977,59
no_change,22.277,51
no_change,22.516,57
no_change,22.725,51
no_change,22.98,66
no_change,23.205,51
no_change,23.407,57
no_change,23.609,51
no_change,23.798,40
no_change,23.898,59
no_change,24.159,52
no_change,24.407,55
no_change,24.632,52
no_change,24.866,43
no_change,25.093,52
no_change,25.32,55
no_change,25.525,52
no_change,25.855,59
no_change,25.93,40
no_change,26.164,52
no_change,26.411,55
no_change,26.595,52
no_change,26.905,67
no_change,27.15,52
no_change,27.389,55
no_change,27.561,52
no_change,27.836,60
no_change,27.907,45
no_change,28.068,52
no_change,28.289,57
no_change,28.464,52
no_change,28.727,66
no_change,28.964,52
no_change,29.166,57
no_change,29.352,52
no_change,29.532,46
no_change,29.652,61
no_change,29.884,52
no_change,30.116,55
no_change,30.314,52
no_change,30.598,64
no_change,30.843,52
no_change,31.102,55
no_change,31.302,52
no_change,31.534,47
no_change,31.677,63
no_change,31.98,57
no_change,32.218,54
no_change,32.443,57
no_change,32.752,66
no_change,33.064,63
no_change,33.364,57
no_change,33.659,63
no_change,33.907,40
no_change,34.175,71
no_change,34.555,59
no_change,34.807,55
no_change,35.05,59
no_change,35.359,76
no_change,35.668,59
no_change,35.884,55
no_change,36.077,59
no_change,36.293,45
no_change,36.375,72
no_change,36.641,64
no_change,36.841,60
no_change,37.034,64
no_change,37.277,57
no_change,37.486,64
no_change,37.698,60
no_change,37.911,71
no_change,38.186,54
no_change,38.273,69
no_change,38.527,63
no_change,38.73,59
no_change,38.923,63
no_change,39.193,72
no_change,39.405,63
no_change,39.614,59
no_change,39.827,71
no_change,40.039,40
no_change,40.189,67
no_change,40.443,59
no_change,40.659,55
no_change,40.87,59
no_change,41.1,52
no_change,41.359,59
no_change,41.614,55
no_change,41.866,59
no_change,42.152,45
no_change,42.282,65
no_change,42.627,60
no_change,42.893,57
no_change,43.116,60
no_change,43.361,67
no_change,43.591,60
no_change,43.805,57
no_change,43.998,65
no_change,44.3,46
no_change,44.307,64
no_change,44.548,61
no_change,44.752,55
no_change,44.945,61
no_change,45.182,66
no_change,45.416,61
no_change,45.639,55
no_change,45.857,64
no_change,46.136,47
no_change,46.207,66
no_change,46.47,63
no_change,46.72,57
no_change,46.932,63
no_change,47.198,54
no_change,47.459,67
no_change,47.677,66
no_change,47.895,63
no_change,48.161,40
no_change,48.277,64
no_change,48.605,59
no_change,48.902,55
no_change,49.109,59
no_change,49.411,67
no_change,49.65,59
no_change,49.875,55
no_change,50.075,71
no_change,50.291,45
no_change,50.395,69
no_change,50.661,64
no_change,50.88,60
no_change,51.095,64
no_change,51.336,57
no_change,51.541,64
no_change,51.784,60
no_change,52.039,71
no_change,52.357,52
no_change,52.432,67
no_change,52.677,59
no_change,52.92,55
no_change,53.118,59
no_change,53.339,51
no_change,53.439,66
no_change,53.691,59
no_change,53.941,57
no_change,54.177,67
no_change,54.52,40
no_change,54.559,64
no_change,54.841,59
no_change,55.084,55
no_change,55.3,59
no_change,55.539,52
no_change,55.743,59
no_change,55.989,55
no_change,56.186,59
no_change,56.605,71
no_change,56.664,40
no_change,56.916,59
no_change,57.132,55
no_change,57.336,59
no_change,57.605,76
no_change,57.88,59
no_change,58.089,55
no_change,58.282,59
no_change,58.582,72
no_change,58.641,45
no_change,58.864,64
no_change,59.073,60
no_change,59.27,64
no_change,59.502,57
no_change,59.691,64
no_change,59.911,60
no_change,60.109,71
no_change,60.366,54
no_change,60.45,69
no_change,60.68,63
no_change,60.889,59
no_change,61.08,63
no_change,61.327,72
no_change,61.548,63
no_change,61.759,59
no_change,61.964,71
no_change,62.159,40
no_change,62.311,67
no_change,62.555,59
no_change,62.77,55
no_change,62.984,59
no_change,63.241,52
no_change,63.518,59
no_change,63.78,55
no_change,64.059,59
no_change,64.343,45
no_change,64.477,65
no_change,64.809,60
no_change,65.073,57
no_change,65.295,60
no_change,65.548,67
no_change,65.752,60
no_change,65.977,57
no_change,66.168,65
no_change,66.43,46
no_change,66.502,64
no_change,66.714,61
no_change,66.932,55
no_change,67.118,61
no_change,67.345,66
no_change,67.573,61
no_change,67.802,55
no_change,67.98,64
no_change,68.23,47
no_change,68.318,66
no_change,68.573,63
no_change,68.805,57
no_change,69.002,63
no_change,69.261,54
no_change,69.525,67
no_change,69.745,66
no_change,69.991,63
no_change,70.25,40
no_change,70.402,64
no_change,70.761,59
no_change,71.043,55
no_change,71.284,59
no_change,71.523,67
no_change,71.757,59
no_change,71.975,55
no_change,72.175,71
no_change,72.418,45
no_change,72.498,69
no_change,72.759,64
no_change,72.97,60
no_change,73.175,64
no_change,73.425,57
no_change,73.625,64
no_change,73.866,60
no_change,74.136,71
no_change,74.432,52
no_change,74.543,67
no_change,74.818,59
no_change,75.041,55
no_change,75.264,59
no_change,75.475,51
no_change,75.591,66
no_change,75.85,59
no_change,76.116,57
no_change,76.361,67
no_change,76.666,40
no_change,76.768,64
no_change,77.061,59
no_change,77.332,55
no_change,77.527,59
no_change,77.786,52
no_change,78.066,59
no_change,78.427,55
no_change,78.775,59
no_change,79.098,40
no_change,79.275,59
no_change,79.652,52
no_change,79.955,55
no_change,80.214,52
no_change,80.536,64
no_change,80.807,52
no_change,81.052,55
no_change,81.266,52
no_change,81.477,45
no_change,81.559,60
no_change,81.825,52
no_change,82.125,57
no_change,82.336,52
no_change,82.591,48
no_change,82.818,52
no_change,83.052,57
no_change,83.275,52
no_change,83.539,47
no_change,83.641,59
no_change,83.918,51
no_change,84.155,57
no_change,84.364,51
no_change,84.618,66
no_change,84.843,51
no_change,85.082,57
no_change,85.286,51
no_change,85.507,40
no_change,85.616,59
no_change,85.923,52
no_change,86.173,55
no_change,86.393,52
no_change,86.652,43
no_change,86.88,52
no_change,87.145,55
no_change,87.416,52
no_change,87.707,40
no_change,87.782,59
no_change,88.075,52
no_change,88.327,55
no_change,88.539,52
no_change,88.773,67
no_change,89.007,52
no_change,89.245,55
no_change,89.42,52
no_change,89.695,60
no_change,89.766,45
no_change,89.939,52
no_change,90.155,57
no_change,90.357,52
no_change,90.607,66
no_change,90.843,52
no_change,91.064,57
no_change,91.282,52
no_change,91.468,46
no_change,91.607,61
no_change,91.859,52
no_change,92.082,55
no_change,92.273,52
no_change,92.545,64
no_change,92.789,52
no_change,93.02,55
no_change,93.23,52
no_change,93.445,47
no_change,93.591,63
no_change,93.875,57
no_change,94.127,54
no_change,94.33,57
no_change,94.616,66
no_change,94.909,63
no_change,95.198,57
no_change,95.493,63
no_change,95.7,40
no_change,95.964,71
no_change,96.334,59
no_change,96.607,55
no_change,96.845,59
no_change,97.114,76
no_change,97.427,59
no_change,97.661,55
no_change,97.85,59
no_change,98.073,45
no_change,98.168,72
no_change,98.441,64
no_change,98.664,60
no_change,98.868,64
no_change,99.089,57
no_change,99.314,64
no_change,99.545,60
no_change,99.757,71
no_change,100.03,54
no_change,100.111,69
no_change,100.35,63
no_change,100.566,59
no_change,100.761,63
no_change,101.011,72
no_change,101.236,63
no_change,101.45,59
no_change,101.67,71
no_change,101.877,40
no_change,102.009,67
no_change,102.275,59
no_change,102.527,55
no_change,102.732,59
no_change,102.959,52
no_change,103.184,59
no_change,103.445,55
no_change,103.675,59
no_change,103.941,45
no_change,104.095,65
no_change,104.441,60
no_change,104.695,57
no_change,104.907,60
no_change,105.155,67
no_change,105.375,60
no_change,105.584,57
no_change,105.768,65
no_change,106.061,46
no_change,106.095,64
no_change,106.334,61
no_change,106.555,55
no_change,106.745,61
no_change,106.968,66
no_change,107.18,61
no_change,107.405,55
no_change,107.611,64
no_change,107.859,47
no_change,107.957,66
no_change,108.209,63
no_change,108.434,57
no_change,108.641,63
no_change,108.907,54
no_change,109.193,67
no_change,109.441,66
no_change,109.668,63
no_change,109.911,40
no_change,110.068,64
no_change,110.434,59
no_change,110.745,55
no_change,110.98,59
no_change,111.245,67
no_change,111.498,59
no_change,111.709,55
no_change,111.914,71
no_change,112.18,45
no_change,112.284,69
no_change,112.566,64
no_change,112.798,60
no_change,113.007,64
no_change,113.259,57
no_change,113.475,64
no_change,113.755,60
no_change,114.009,71
no_change,114.311,52
no_change,114.409,67
no_change,114.711,59
no_change,114.993,55
no_change,115.216,59
no_change,115.441,51
no_change,115.543,66
no_change,115.809,59
no_change,116.15,57
no_change,116.459,67
no_change,116.752,40
no_change,116.875,64
no_change,117.268,59
no_change,117.75,55
no_change,118.943,59
no_change,119.784,40
