onset_type,onset_time,pitch
no_change,3.773,56
no_change,3.775,52
no_change,5.361,47
no_change,5.461,54
no_change,5.509,57
no_change,5.525,63
no_change,7.134,40
no_change,7.28,56
no_change,7.4,64
no_change,8.425,42
no_change,8.693,44
no_change,8.907,45
no_change,9.041,47
no_change,9.123,49
no_change,9.236,51
no_change,9.357,52
no_change,9.557,54
no_change,9.673,56
no_change,9.757,57
no_change,9.88,59
no_change,9.998,61
no_change,10.107,63
no_change,10.182,64
no_change,10.448,59
no_change,10.709,64
no_change,10.975,68
no_change,11.264,71
no_change,12.166,69
no_change,12.282,68
no_change,12.382,66
no_change,12.486,64
no_change,12.705,47
no_change,12.709,63
no_change,13.989,64
no_change,13.993,56
no_change,14.141,40
no_change,15.045,66
no_change,15.825,64
no_change,16.28,63
no_change,16.498,64
no_change,16.732,66
no_change,16.893,68
no_change,17.043,69
no_change,17.157,71
no_change,17.248,73
no_change,17.343,75
no_change,17.464,76
no_change,18.016,60
no_change,18.018,66
no_change,18.495,61
no_change,18.573,64
no_change,18.618,75
no_change,19.068,73
no_change,19.166,73
no_change,20.682,76
no_change,21.405,75
no_change,21.839,72
no_change,22.093,73
no_change,22.37,75
no_change,22.545,73
no_change,22.773,68
no_change,22.898,69
no_change,23.061,71
no_change,23.152,69
no_change,23.314,65
no_change,23.418,66
no_change,23.552,68
no_change,23.609,66
no_change,23.764,61
no_change,24.134,66
no_change,24.25,64
no_change,24.814,46
no_change,25.586,54
no_change,25.589,63
no_change,25.591,47
no_change,26.47,59
no_change,27.166,52
no_change,28.059,68
no_change,28.352,59
no_change,28.355,47
no_change,28.78,64
no_change,28.9,44
no_change,29.343,59
no_change,29.475,52
no_change,29.489,40
no_change,29.945,42
no_change,30.102,44
no_change,30.23,45
no_change,30.327,47
no_change,30.425,49
no_change,30.527,51
no_change,30.652,52
no_change,30.93,54
no_change,31.043,56
no_change,31.136,57
no_change,31.245,59
no_change,31.37,61
no_change,31.466,63
no_change,31.566,64
no_change,31.691,59
no_change,31.818,61
no_change,31.9,63
no_change,32.011,64
no_change,32.159,66
no_change,32.245,68
no_change,32.37,69
no_change,32.457,71
no_change,32.566,64
no_change,32.666,66
no_change,32.764,68
no_change,32.873,69
no_change,32.973,71
no_change,33.102,73
no_change,33.168,75
no_change,33.395,76
no_change,33.782,75
no_change,33.968,76
no_change,34.105,75
no_change,34.245,76
no_change,34.33,75
no_change,34.466,76
no_change,34.586,75
no_change,34.75,76
no_change,34.884,75
no_change,34.98,73
no_change,35.039,71
no_change,35.164,69
no_change,35.305,68
no_change,35.416,66
no_change,35.489,64
no_change,35.68,73
no_change,36.264,57
no_change,36.266,61
no_change,36.811,57
no_change,36.814,61
no_change,37.107,73
no_change,37.395,74
no_change,37.659,73
no_change,37.959,66
no_change,38.525,61
no_change,38.527,57
no_change,38.53,45
no_change,39.02,66
no_change,39.139,64
no_change,39.8,46
no_change,40.409,64
no_change,40.891,54
no_change,40.893,59
no_change,40.898,47
no_change,41.786,49
no_change,42.052,51
no_change,42.195,52
no_change,42.341,54
no_change,42.455,56
no_change,42.573,58
no_change,42.68,59
no_change,42.793,61
no_change,42.914,63
no_change,43.02,64
no_change,43.127,66
no_change,43.273,68
no_change,43.405,70
no_change,43.511,71
no_change,43.693,51
no_change,43.843,59
no_change,43.964,54
no_change,44.064,59
no_change,44.189,54
no_change,44.191,66
no_change,44.341,59
no_change,44.45,54
no_change,44.575,59
no_change,44.698,52
no_change,44.709,68
no_change,44.866,59
no_change,44.968,56
no_change,45.109,59
no_change,45.248,56
no_change,45.4,59
no_change,45.511,56
no_change,45.623,59
no_change,45.752,47
no_change,45.823,54
no_change,45.882,63
no_change,46.264,49
no_change,46.398,51
no_change,46.502,52
no_change,46.618,54
no_change,46.741,56
no_change,46.859,58
no_change,46.975,59
no_change,47.08,61
no_change,47.207,63
no_change,47.3,64
no_change,47.425,66
no_change,47.52,68
pitch,47.673,25
no_change,47.752,71
no_change,47.952,51
no_change,47.957,69
no_change,48.107,59
no_change,48.214,54
no_change,48.28,59
no_change,48.461,54
no_change,48.477,66
no_change,48.616,59
no_change,48.73,54
no_change,48.832,59
no_change,48.98,52
no_change,48.986,68
no_change,49.127,59
no_change,49.27,56
no_change,49.311,59
no_change,49.516,64
no_change,49.518,56
no_change,49.67,59
no_change,49.798,56
no_change,49.889,59
no_change,50.143,63
no_change,50.148,47
no_change,50.15,54
no_change,51.395,59
no_change,51.45,63
no_change,51.518,66
no_change,51.543,71
no_change,52.993,51
no_change,53.007,54
no_change,53.009,47
no_change,56.066,59
no_change,56.78,59
no_change,57.082,52
no_change,57.161,56
no_change,57.261,68
no_change,57.668,59
no_change,57.982,56
no_change,58.255,59
no_change,58.534,66
no_change,58.541,56
no_change,58.805,59
no_change,59.066,56
no_change,59.375,59
no_change,59.593,64
no_change,59.909,64
no_change,59.916,56
no_change,60.236,59
no_change,60.507,52
no_change,60.761,59
no_change,61.014,47
no_change,61.018,56
no_change,61.305,59
no_change,61.548,44
no_change,61.836,59
no_change,62.139,40
no_change,62.5,59
no_change,62.784,52
no_change,62.866,56
no_change,62.932,64
no_change,63.318,59
no_change,63.577,51
no_change,63.625,57
no_change,63.686,66
no_change,63.918,59
no_change,64.105,52
no_change,64.177,56
no_change,64.191,68
no_change,64.439,59
no_change,64.689,47
no_change,64.777,54
no_change,64.836,69
no_change,65.136,57
no_change,65.42,54
no_change,65.709,57
no_change,65.852,66
no_change,66.141,54
no_change,66.207,63
no_change,66.884,59
no_change,67.375,59
no_change,67.63,47
no_change,67.686,54
no_change,67.748,69
no_change,68.068,57
no_change,68.352,54
no_change,68.63,57
no_change,68.923,48
no_change,69.207,57
no_change,69.361,54
no_change,69.552,66
no_change,69.88,57
no_change,70.005,64
no_change,70.195,54
no_change,70.209,47
no_change,70.291,64
no_change,70.566,57
no_change,70.823,54
no_change,71.07,57
no_change,71.202,63
no_change,71.339,54
no_change,71.35,63
no_change,71.58,64
no_change,71.582,57
no_change,71.643,63
no_change,71.709,61
no_change,71.832,54
no_change,71.834,63
no_change,72.077,57
no_change,72.305,54
no_change,72.318,66
no_change,72.323,47
no_change,72.561,57
no_change,72.584,68
no_change,72.645,66
no_change,72.727,64
no_change,72.809,54
no_change,72.811,66
no_change,73.073,57
no_change,73.093,68
no_change,73.364,54
no_change,73.366,69
no_change,73.657,57
no_change,73.945,54
no_change,73.952,66
no_change,74.218,57
no_change,74.516,40
no_change,74.525,52
no_change,74.648,67
no_change,74.966,56
no_change,75.245,52
no_change,75.545,56
no_change,75.714,68
no_change,75.991,52
no_change,76.048,68
no_change,76.982,59
no_change,77.534,59
no_change,77.777,40
no_change,77.845,56
no_change,77.941,71
no_change,79.32,69
no_change,79.714,68
no_change,80.057,66
no_change,80.357,64
no_change,80.684,45
no_change,80.691,57
no_change,80.793,60
no_change,81.098,61
no_change,81.368,65
no_change,81.627,66
no_change,81.905,68
no_change,82.195,69
no_change,82.552,72
no_change,82.98,73
no_change,83.498,47
no_change,83.68,56
no_change,84.134,59
no_change,84.466,56
no_change,84.477,64
no_change,84.777,59
no_change,85.064,47
no_change,85.145,57
no_change,85.227,68
no_change,85.55,59
no_change,85.88,57
no_change,86.098,59
no_change,86.441,66
no_change,86.73,40
no_change,86.8,56
no_change,86.911,64
no_change,87.88,64
no_change,88.123,63
no_change,88.293,64
no_change,88.382,66
no_change,88.523,68
no_change,88.6,69
no_change,88.734,70
no_change,88.861,71
no_change,88.966,73
no_change,89.073,71
no_change,89.225,76
no_change,89.37,75
no_change,89.457,73
no_change,89.557,71
no_change,89.727,59
no_change,89.861,71
no_change,89.982,66
no_change,90.068,71
no_change,90.2,59
no_change,90.209,69
no_change,90.341,71
no_change,90.452,66
no_change,90.55,71
no_change,90.695,59
no_change,90.83,71
no_change,90.941,66
no_change,91.032,71
no_change,91.189,59
no_change,91.2,69
no_change,91.327,71
no_change,91.416,66
no_change,91.527,71
no_change,91.8,64
no_change,92.409,64
no_change,92.582,63
no_change,92.725,64
no_change,92.793,66
no_change,92.923,68
no_change,93.011,69
no_change,93.148,70
no_change,93.243,71
no_change,93.405,73
no_change,93.484,71
no_change,93.648,76
no_change,93.782,75
no_change,93.898,73
no_change,94.002,71
no_change,94.173,59
no_change,94.175,69
no_change,94.293,71
no_change,94.427,66
no_change,94.514,71
no_change,94.67,59
no_change,94.673,69
no_change,94.809,71
no_change,94.927,66
no_change,95.023,71
no_change,95.193,59
no_change,95.2,69
no_change,95.32,71
no_change,95.464,66
no_change,95.586,71
no_change,95.718,59
no_change,95.732,69
no_change,95.87,71
no_change,95.977,66
no_change,96.245,71
no_change,96.411,64
no_change,97.325,64
no_change,97.666,63
no_change,97.898,66
no_change,98.036,64
no_change,98.182,68
no_change,98.261,66
no_change,98.42,69
no_change,98.527,68
no_change,98.691,71
no_change,98.791,69
no_change,98.952,73
no_change,99.111,71
no_change,99.325,74
no_change,99.536,73
no_change,99.83,52
no_change,99.902,59
no_change,99.98,68
no_change,100.0,74
no_change,100.364,74
no_change,100.602,73
no_change,100.866,74
no_change,101.293,73
no_change,101.518,71
no_change,101.757,69
no_change,101.995,68
no_change,102.252,69
no_change,102.364,71
no_change,102.625,69
no_change,103.007,68
no_change,103.157,66
no_change,103.298,64
no_change,103.466,62
no_change,103.661,61
no_change,103.664,57
no_change,103.984,45
no_change,104.234,47
no_change,104.414,49
no_change,104.575,50
no_change,104.695,52
no_change,104.766,54
no_change,104.898,56
no_change,105.0,57
no_change,105.082,56
no_change,105.198,57
no_change,105.293,59
no_change,105.411,61
no_change,105.505,62
no_change,105.625,61
no_change,105.73,62
no_change,105.85,64
no_change,105.995,57
no_change,106.059,59
no_change,106.207,61
no_change,106.282,62
no_change,106.4,64
no_change,106.507,66
no_change,106.605,68
no_change,106.711,69
no_change,106.827,71
no_change,106.936,69
no_change,107.018,71
no_change,107.177,73
no_change,107.284,75
no_change,107.4,73
no_change,107.518,75
no_change,107.725,76
no_change,108.475,58
no_change,109.677,75
no_change,110.464,73
no_change,110.998,68
no_change,111.0,59
no_change,111.998,66
no_change,112.2,68
no_change,112.366,69
no_change,112.482,71
no_change,112.611,73
no_change,112.673,75
no_change,112.859,76
no_change,113.241,71
no_change,113.643,68
no_change,114.127,64
no_change,114.636,66
no_change,114.643,47
no_change,114.875,57
no_change,118.057,64
no_change,118.409,66
no_change,118.648,52
no_change,118.873,56
no_change,118.877,64
no_change,121.139,67
no_change,121.495,68
no_change,121.952,64
no_change,122.084,59
no_change,122.677,56
no_change,122.68,52
no_change,123.209,59
no_change,123.211,56
no_change,123.214,52
no_change,123.725,56
no_change,123.727,52
no_change,124.252,60
no_change,124.255,57
no_change,124.257,51
no_change,125.484,56
no_change,125.493,52
no_change,125.498,59
no_change,125.977,67
no_change,126.232,68
no_change,126.645,64
no_change,126.775,59
no_change,127.389,59
no_change,127.391,52
no_change,127.943,52
no_change,127.945,59
no_change,127.948,56
no_change,128.445,56
no_change,128.448,52
no_change,129.073,48
no_change,129.075,57
no_change,130.316,49
no_change,130.318,52
no_change,130.325,56
no_change,130.977,61
no_change,131.014,60
no_change,131.123,61
no_change,131.505,63
no_change,131.63,64
no_change,132.155,56
no_change,132.159,49
no_change,132.161,52
no_change,132.684,49
no_change,133.152,47
no_change,133.236,50
no_change,133.248,56
no_change,133.259,65
no_change,133.791,45
no_change,133.793,49
no_change,133.8,57
no_change,133.918,66
no_change,134.27,66
no_change,134.345,65
no_change,134.43,66
no_change,134.691,68
no_change,134.986,71
no_change,135.27,69
no_change,135.568,46
no_change,135.582,52
no_change,135.636,55
no_change,135.684,64
no_change,136.2,66
no_change,136.491,52
no_change,136.507,47
no_change,136.566,56
no_change,136.639,66
no_change,137.014,64
no_change,137.118,64
no_change,137.791,57
no_change,137.793,47
no_change,138.377,63
no_change,138.968,40
no_change,139.075,56
no_change,139.141,64
no_change,139.705,68
no_change,139.895,66
no_change,140.102,64
no_change,140.25,63
no_change,140.352,61
no_change,140.459,59
no_change,140.6,58
no_change,140.682,59
no_change,140.825,52
no_change,140.852,56
no_change,140.886,59
no_change,141.036,54
no_change,141.045,57
no_change,141.13,59
no_change,141.264,52
no_change,141.266,56
no_change,141.343,59
no_change,141.523,51
no_change,141.525,54
no_change,141.811,59
no_change,141.92,61
no_change,142.036,63
no_change,142.134,64
no_change,142.25,66
no_change,142.286,68
no_change,142.461,69
no_change,142.582,66
no_change,142.682,63
no_change,142.777,59
no_change,142.916,54
no_change,142.925,57
no_change,143.009,59
no_change,143.118,54
no_change,143.136,51
no_change,143.236,59
no_change,143.42,56
no_change,143.425,52
no_change,143.784,68
no_change,143.957,66
no_change,144.068,64
no_change,144.173,63
no_change,144.286,61
no_change,144.407,59
no_change,144.498,58
no_change,144.598,59
no_change,144.757,52
no_change,144.759,56
no_change,144.825,59
no_change,144.977,54
no_change,144.989,57
no_change,145.066,59
no_change,145.225,52
no_change,145.275,56
no_change,145.289,59
no_change,145.498,51
no_change,145.5,54
no_change,145.775,59
no_change,145.889,61
no_change,146.016,63
no_change,146.13,64
no_change,146.264,66
no_change,146.368,68
no_change,146.486,69
no_change,146.607,66
no_change,146.711,63
no_change,146.814,59
no_change,146.936,54
no_change,146.961,57
no_change,147.055,59
no_change,147.166,54
no_change,147.17,51
no_change,147.307,59
no_change,147.482,52
no_change,147.895,68
no_change,148.086,66
no_change,148.214,64
no_change,148.32,63
no_change,148.418,64
no_change,148.552,66
no_change,148.639,68
no_change,148.916,56
no_change,148.918,52
no_change,149.198,57
no_change,149.2,54
no_change,149.493,56
no_change,149.848,61
no_change,149.852,57
no_change,150.243,73
no_change,150.434,71
no_change,150.614,69
no_change,150.723,68
no_change,150.855,69
no_change,150.966,71
no_change,151.123,73
no_change,151.441,57
no_change,151.798,57
no_change,151.8,61
no_change,152.02,59
no_change,152.232,63
no_change,152.705,60
no_change,152.927,76
no_change,152.93,67
no_change,153.075,64
no_change,153.286,67
no_change,153.541,64
no_change,153.684,67
no_change,153.832,64
no_change,153.961,67
no_change,154.291,64
no_change,154.605,67
no_change,154.843,64
no_change,155.03,67
no_change,155.173,64
no_change,155.305,67
no_change,155.37,76
no_change,155.539,64
no_change,155.618,67
no_change,155.809,48
no_change,155.995,67
no_change,156.027,70
no_change,156.177,64
no_change,156.28,67
no_change,156.464,64
no_change,156.63,67
no_change,156.725,70
no_change,156.766,64
no_change,156.941,67
no_change,157.064,64
no_change,157.193,67
no_change,157.245,64
no_change,157.266,70
no_change,157.411,67
no_change,157.534,64
no_change,157.655,67
no_change,157.745,70
no_change,157.945,64
no_change,158.059,67
no_change,158.189,47
no_change,158.389,71
no_change,158.623,68
no_change,158.78,64
no_change,158.898,68
no_change,159.032,59
no_change,159.125,68
no_change,159.241,64
no_change,159.345,68
no_change,159.486,47
no_change,159.636,68
no_change,159.732,64
no_change,159.834,68
no_change,159.945,59
no_change,160.036,68
no_change,160.143,64
no_change,160.264,68
no_change,160.436,47
no_change,160.561,75
no_change,160.775,69
no_change,160.902,66
no_change,160.998,69
no_change,161.12,59
no_change,161.191,69
no_change,161.3,66
no_change,161.423,69
no_change,161.541,75
no_change,161.543,47
no_change,161.684,69
no_change,161.789,66
no_change,161.893,69
no_change,162.011,59
no_change,162.114,69
no_change,162.223,66
no_change,162.332,69
no_change,162.491,71
no_change,162.502,40
no_change,162.67,68
no_change,162.68,76
no_change,163.759,71
no_change,164.014,70
no_change,164.264,71
no_change,164.518,68
no_change,164.925,64
no_change,165.036,59
no_change,165.557,47
no_change,166.677,57
no_change,167.234,40
no_change,167.241,56
no_change,167.364,64
no_change,168.336,59
no_change,168.63,58
no_change,168.898,59
no_change,169.168,56
no_change,169.625,52
no_change,169.791,47
no_change,171.184,47
no_change,171.2,45
no_change,171.202,51
no_change,172.284,52
no_change,172.764,47
no_change,172.773,44
no_change,172.777,52
no_change,175.641,68
no_change,175.659,76
no_change,175.661,64
no_change,177.334,52
no_change,177.366,56
no_change,177.382,64
