onset_type,onset_time,pitch
no_change,6.148,45
no_change,6.784,57
no_change,6.791,52
no_change,7.352,57
no_change,7.355,60
no_change,7.884,52
no_change,8.441,57
no_change,8.443,60
no_change,9.005,52
no_change,9.591,41
no_change,10.182,53
no_change,10.184,57
no_change,10.691,57
no_change,10.695,60
no_change,11.205,53
no_change,11.848,57
no_change,11.852,60
no_change,12.4,53
no_change,12.97,38
no_change,13.564,53
no_change,14.064,57
no_change,14.068,59
no_change,14.591,53
no_change,15.227,57
no_change,15.232,59
no_change,15.886,53
no_change,15.889,57
no_change,16.491,40
no_change,17.161,52
no_change,17.718,56
no_change,17.723,59
no_change,18.25,52
no_change,18.945,56
no_change,18.948,59
no_change,19.625,52
no_change,20.0,45
no_change,20.052,64
no_change,20.968,65
no_change,21.245,64
no_change,21.248,57
no_change,21.598,60
no_change,21.668,69
no_change,22.18,57
no_change,22.795,60
no_change,23.273,57
no_change,23.28,64
no_change,24.089,41
no_change,24.093,62
no_change,24.491,64
no_change,24.714,50
no_change,24.859,62
no_change,25.298,69
no_change,25.302,59
no_change,25.836,50
no_change,26.405,57
no_change,26.409,59
no_change,26.861,53
no_change,26.864,62
no_change,27.211,40
no_change,27.377,64
no_change,27.884,52
no_change,28.523,56
no_change,29.03,52
no_change,29.032,62
no_change,29.514,56
no_change,29.516,62
no_change,29.859,60
no_change,30.109,52
no_change,30.111,59
no_change,30.432,45
no_change,30.609,60
no_change,31.093,52
no_change,31.586,57
no_change,32.145,52
no_change,32.657,57
no_change,33.257,52
no_change,33.943,52
no_change,34.409,76
no_change,35.089,64
no_change,35.595,68
no_change,36.023,64
no_change,36.027,74
no_change,36.498,74
no_change,36.502,68
no_change,36.895,72
no_change,37.405,64
no_change,37.409,71
no_change,37.809,45
no_change,38.191,72
no_change,38.848,64
no_change,39.332,69
no_change,39.818,64
no_change,40.295,60
no_change,40.907,57
no_change,41.345,45
no_change,41.505,64
no_change,41.902,65
no_change,42.175,57
no_change,42.225,64
no_change,42.77,60
no_change,42.839,64
no_change,42.945,72
no_change,43.402,57
no_change,43.991,60
no_change,44.518,57
no_change,45.359,62
no_change,45.377,41
no_change,45.734,64
no_change,45.948,50
no_change,46.095,62
no_change,46.63,65
no_change,46.632,71
no_change,46.634,57
no_change,47.118,50
no_change,47.655,57
no_change,47.657,59
no_change,48.091,69
no_change,48.093,50
no_change,48.507,43
no_change,48.659,67
no_change,49.2,50
no_change,49.741,55
no_change,49.743,59
no_change,50.164,50
no_change,50.166,65
no_change,50.543,55
no_change,50.63,59
no_change,50.684,65
no_change,50.982,64
no_change,51.361,50
no_change,51.364,62
no_change,51.768,48
no_change,51.873,64
no_change,52.336,52
no_change,52.877,55
no_change,53.427,52
no_change,53.925,55
no_change,53.93,60
no_change,54.468,52
no_change,54.47,69
no_change,54.984,43
no_change,55.107,67
no_change,55.686,50
no_change,56.157,55
no_change,56.161,59
no_change,56.784,65
no_change,56.93,50
no_change,57.309,55
no_change,57.318,59
no_change,57.659,64
no_change,57.941,50
no_change,57.955,62
no_change,58.266,48
no_change,58.364,64
no_change,58.83,52
no_change,59.366,55
no_change,59.368,60
no_change,59.907,52
no_change,60.527,55
no_change,61.116,52
no_change,61.757,52
no_change,61.955,64
no_change,62.555,64
no_change,62.857,68
no_change,63.27,62
no_change,63.43,72
no_change,63.85,68
no_change,64.307,64
no_change,64.72,68
no_change,64.886,71
no_change,65.264,45
no_change,65.573,69
no_change,66.041,60
no_change,66.289,64
no_change,66.684,60
no_change,66.686,57
no_change,67.157,52
no_change,67.832,48
no_change,68.398,57
no_change,68.405,45
no_change,68.868,41
no_change,69.18,65
pitch,69.47,29
no_change,69.55,65
no_change,69.739,64
no_change,69.857,57
no_change,70.118,65
no_change,70.75,60
no_change,70.936,69
no_change,71.593,57
no_change,72.068,60
no_change,72.45,57
no_change,72.57,65
no_change,73.17,48
no_change,73.339,64
no_change,73.909,52
no_change,74.568,55
no_change,75.048,52
no_change,75.527,55
no_change,76.089,52
no_change,76.807,74
no_change,76.809,55
no_change,77.016,76
no_change,77.236,74
no_change,77.318,73
no_change,77.609,59
no_change,77.793,74
no_change,78.414,67
no_change,78.545,77
no_change,79.089,59
no_change,79.752,65
no_change,80.232,59
no_change,80.4,74
no_change,80.902,48
no_change,81.241,72
no_change,81.734,60
no_change,82.277,64
no_change,82.28,67
no_change,82.745,60
no_change,83.375,64
no_change,83.377,67
no_change,83.986,60
no_change,84.45,52
no_change,84.675,64
no_change,85.191,64
no_change,85.464,68
no_change,85.814,62
no_change,85.964,72
no_change,86.364,68
no_change,86.8,64
no_change,87.22,68
no_change,87.361,71
no_change,87.793,45
no_change,87.898,69
no_change,89.175,61
no_change,89.418,64
no_change,89.7,57
no_change,89.702,61
no_change,90.161,52
no_change,90.745,49
no_change,91.443,57
no_change,91.445,45
no_change,91.825,38
no_change,92.08,66
no_change,92.58,68
no_change,92.605,66
no_change,92.67,65
no_change,92.884,57
no_change,92.998,66
no_change,93.345,62
no_change,93.395,69
no_change,93.923,57
no_change,94.468,62
no_change,94.873,57
no_change,95.02,66
no_change,95.357,45
no_change,95.48,64
no_change,96.075,52
no_change,96.586,57
no_change,96.589,61
no_change,97.114,52
no_change,97.773,57
no_change,98.305,52
no_change,98.918,52
no_change,99.084,71
no_change,99.327,73
no_change,99.464,71
no_change,99.614,70
no_change,99.889,64
no_change,100.005,71
no_change,100.448,68
no_change,100.55,74
no_change,101.139,64
no_change,101.668,62
no_change,102.245,64
no_change,102.425,68
no_change,102.691,45
no_change,102.707,69
no_change,103.28,52
no_change,103.984,57
no_change,103.986,61
no_change,104.468,52
no_change,105.077,64
no_change,105.114,57
no_change,105.739,52
no_change,106.07,45
no_change,106.252,65
no_change,106.573,62
no_change,106.918,57
no_change,107.932,62
no_change,108.502,57
no_change,109.139,65
no_change,109.166,69
no_change,109.552,57
no_change,109.895,65
no_change,110.284,45
no_change,110.516,61
no_change,110.648,64
no_change,111.077,52
no_change,111.702,57
no_change,112.166,64
no_change,112.17,61
no_change,112.175,52
no_change,112.677,64
no_change,112.68,57
no_change,112.682,61
no_change,113.184,52
no_change,113.189,61
no_change,113.78,40
no_change,113.914,62
no_change,114.02,64
no_change,114.464,52
no_change,114.986,56
no_change,115.468,64
no_change,115.473,56
no_change,115.475,52
no_change,115.955,56
no_change,116.023,59
no_change,116.098,64
no_change,116.643,64
no_change,116.655,52
no_change,116.657,62
no_change,117.018,45
no_change,117.139,61
no_change,117.25,64
no_change,117.67,52
no_change,118.241,57
no_change,118.782,52
no_change,119.257,57
no_change,119.323,61
no_change,119.409,64
no_change,119.882,52
no_change,120.223,38
no_change,120.607,62
no_change,120.748,66
no_change,121.245,57
no_change,121.786,62
no_change,122.395,57
no_change,122.882,66
no_change,123.055,69
no_change,123.489,57
no_change,123.823,62
no_change,123.825,66
no_change,124.15,64
no_change,124.161,45
no_change,124.53,61
no_change,125.193,52
no_change,125.88,57
no_change,126.405,52
no_change,126.409,64
no_change,126.411,61
no_change,126.855,57
no_change,126.932,61
no_change,127.011,64
no_change,127.58,52
no_change,127.582,64
no_change,127.589,61
no_change,128.118,40
no_change,128.316,62
no_change,128.459,64
no_change,129.009,52
no_change,129.78,56
no_change,130.223,52
no_change,130.893,56
no_change,130.945,59
no_change,131.02,64
no_change,131.58,64
no_change,131.586,52
no_change,131.591,62
no_change,131.914,45
no_change,132.05,61
no_change,132.159,64
no_change,132.611,52
no_change,133.177,57
no_change,133.757,52
no_change,134.4,57
no_change,135.314,53
no_change,135.97,45
no_change,136.007,64
no_change,136.459,65
no_change,136.716,57
no_change,137.007,60
no_change,137.125,69
no_change,137.748,57
no_change,138.316,60
no_change,138.725,57
no_change,138.73,64
no_change,139.418,41
no_change,139.736,62
no_change,140.168,64
no_change,140.38,50
no_change,140.548,62
no_change,140.955,59
no_change,141.05,69
no_change,141.559,50
no_change,142.293,57
no_change,142.298,59
no_change,142.727,53
no_change,142.73,62
no_change,143.143,40
no_change,143.3,64
no_change,143.807,52
no_change,144.452,56
no_change,144.909,52
no_change,145.35,62
no_change,145.352,56
no_change,145.705,60
no_change,145.95,52
no_change,145.993,59
no_change,146.464,45
no_change,146.718,60
no_change,147.225,52
no_change,147.752,57
no_change,148.305,52
no_change,148.989,57
no_change,150.28,52
no_change,150.823,52
no_change,150.861,76
no_change,151.595,64
no_change,152.17,68
no_change,152.561,64
no_change,152.566,74
no_change,153.08,74
no_change,153.082,68
no_change,153.418,72
no_change,153.725,64
no_change,153.757,71
no_change,154.58,45
no_change,154.641,72
no_change,155.3,64
