onset_type,onset_time,pitch
no_change,0.9,53
no_change,1.45,53
no_change,1.968,53
no_change,2.505,53
late,2.991,53
no_change,3.811,53
no_change,3.989,53
no_change,4.484,53
no_change,4.982,58
no_change,5.0,53
no_change,5.002,55
no_change,5.489,58
no_change,5.511,53
no_change,5.995,58
no_change,6.02,53
no_change,6.502,58
no_change,6.525,53
no_change,6.527,55
no_change,7.009,58
no_change,7.027,55
no_change,7.03,53
no_change,7.516,58
no_change,7.536,53
no_change,8.02,58
no_change,8.055,53
no_change,8.527,58
no_change,8.55,53
no_change,9.07,55
no_change,9.073,53
no_change,9.577,55
no_change,9.58,53
no_change,10.086,55
no_change,10.089,53
no_change,10.607,55
no_change,10.609,53
no_change,11.091,55
no_change,11.095,53
no_change,11.598,55
no_change,11.602,53
no_change,12.102,55
no_change,12.105,53
no_change,12.527,55
no_change,12.605,53
no_change,13.107,53
no_change,13.109,61
no_change,13.114,67
no_change,13.618,53
no_change,13.62,67
no_change,14.116,53
no_change,14.118,61
no_change,14.12,67
no_change,14.123,70
no_change,14.616,53
no_change,14.618,61
no_change,14.62,67
no_change,15.093,53
no_change,15.607,70
no_change,15.614,53
no_change,15.616,67
no_change,15.618,61
no_change,16.086,61
no_change,16.091,53
no_change,16.093,67
no_change,16.575,53
no_change,16.577,70
no_change,17.077,52
no_change,17.08,61
no_change,17.082,70
no_change,17.568,52
no_change,17.573,67
no_change,18.036,67
no_change,18.064,52
no_change,18.532,67
no_change,18.55,70
no_change,18.555,52
no_change,19.034,70
no_change,19.039,61
no_change,19.041,52
no_change,19.536,70
no_change,19.539,61
no_change,19.541,52
no_change,20.034,61
no_change,20.036,52
no_change,20.53,61
no_change,20.532,52
no_change,21.018,68
no_change,21.02,53
no_change,21.023,60
no_change,21.493,65
no_change,21.505,68
no_change,21.507,53
no_change,21.509,60
no_change,21.968,65
no_change,21.984,60
no_change,21.986,53
no_change,22.441,60
no_change,22.486,68
no_change,22.489,53
no_change,22.914,65
no_change,22.959,60
no_change,22.968,53
no_change,23.386,60
no_change,23.439,53
no_change,23.441,68
no_change,23.859,60
no_change,23.934,68
no_change,23.939,53
no_change,24.332,60
no_change,24.416,53
no_change,24.805,58
no_change,24.92,53
no_change,25.37,58
no_change,25.42,61
no_change,25.423,53
no_change,25.85,58
no_change,25.907,53
no_change,26.355,58
no_change,26.409,53
no_change,26.82,58
no_change,26.877,53
no_change,27.286,58
no_change,27.37,61
no_change,27.373,53
no_change,27.598,61
no_change,27.823,53
no_change,27.857,58
no_change,27.866,53
no_change,27.87,61
no_change,28.352,53
no_change,28.452,63
no_change,28.795,60
no_change,28.859,63
no_change,28.861,53
no_change,29.859,60
no_change,29.861,53
no_change,30.35,60
no_change,30.352,53
no_change,30.859,63
no_change,30.861,53
no_change,31.359,60
no_change,31.361,53
no_change,31.784,60
no_change,31.868,63
no_change,31.87,53
no_change,32.275,60
no_change,32.361,53
no_change,32.864,53
no_change,33.139,55
no_change,33.352,62
no_change,33.355,55
no_change,33.357,53
no_change,33.834,55
no_change,33.836,62
no_change,33.841,53
no_change,34.327,62
no_change,34.33,53
no_change,34.839,62
no_change,34.841,55
no_change,34.843,53
no_change,35.33,62
no_change,35.334,55
no_change,35.336,53
no_change,35.83,62
no_change,35.832,53
no_change,35.834,55
no_change,36.33,62
no_change,36.334,53
no_change,36.836,54
no_change,37.323,54
no_change,37.327,60
no_change,37.814,54
no_change,37.816,60
no_change,38.318,54
no_change,38.32,63
no_change,38.814,54
no_change,38.816,60
no_change,39.307,60
no_change,39.311,54
no_change,39.314,63
no_change,39.811,54
no_change,40.323,54
no_change,40.325,60
no_change,40.836,55
no_change,40.839,60
no_change,40.841,62
no_change,41.33,62
no_change,41.332,55
no_change,41.823,55
no_change,42.316,55
no_change,42.318,60
no_change,42.505,62
no_change,42.805,62
no_change,42.809,43
no_change,43.305,62
no_change,43.307,43
no_change,43.818,62
no_change,43.82,43
no_change,44.305,53
no_change,44.343,43
no_change,44.852,60
no_change,44.855,48
no_change,45.302,72
no_change,45.475,72
no_change,45.616,67
no_change,45.75,67
no_change,45.877,63
no_change,46.011,63
no_change,46.1,60
no_change,46.223,60
no_change,46.384,72
no_change,46.405,72
no_change,46.605,67
no_change,46.73,67
no_change,46.818,63
no_change,46.955,63
no_change,47.105,60
no_change,47.15,60
no_change,47.377,72
no_change,47.486,70
no_change,47.591,68
no_change,47.702,67
no_change,47.818,65
no_change,47.948,63
no_change,48.082,62
no_change,48.207,60
no_change,48.339,72
no_change,48.466,70
no_change,48.575,68
no_change,48.689,67
no_change,48.816,65
no_change,48.945,63
no_change,49.064,62
no_change,49.216,60
no_change,49.705,55
no_change,49.886,60
no_change,50.039,63
no_change,50.195,60
no_change,50.325,55
no_change,50.464,60
no_change,50.582,63
no_change,50.698,60
no_change,50.827,55
no_change,50.95,60
no_change,51.055,63
no_change,51.164,60
no_change,51.291,55
no_change,51.343,60
no_change,51.464,63
no_change,51.639,48
no_change,52.302,48
no_change,52.795,48
no_change,53.307,48
no_change,53.848,55
no_change,53.855,48
no_change,54.33,48
no_change,54.332,55
no_change,54.857,48
no_change,54.861,55
no_change,55.345,48
no_change,55.502,55
no_change,55.832,48
no_change,56.239,75
no_change,56.391,75
no_change,56.53,72
no_change,56.677,72
no_change,56.82,67
no_change,56.95,67
no_change,57.073,63
no_change,57.13,63
no_change,57.345,75
no_change,57.459,75
no_change,57.586,72
no_change,57.716,72
no_change,57.83,67
no_change,57.959,67
no_change,58.07,63
no_change,58.123,63
no_change,58.35,75
no_change,58.486,74
no_change,58.609,72
no_change,58.73,71
no_change,58.82,69
no_change,58.98,67
no_change,59.109,65
no_change,59.207,63
no_change,59.35,75
no_change,59.461,74
no_change,59.584,72
no_change,59.718,71
no_change,59.798,69
no_change,59.95,67
no_change,60.057,65
no_change,60.216,63
no_change,60.648,60
no_change,60.802,63
no_change,60.955,67
no_change,61.073,63
no_change,61.182,60
no_change,61.316,63
no_change,61.45,67
no_change,61.577,63
no_change,61.693,60
no_change,61.811,63
no_change,61.93,67
no_change,62.036,63
no_change,62.155,60
no_change,62.284,63
no_change,62.423,67
no_change,62.589,63
no_change,62.591,48
no_change,63.277,48
no_change,63.8,48
no_change,64.268,48
no_change,64.784,48
no_change,64.786,55
no_change,65.28,48
no_change,65.761,48
no_change,65.766,55
no_change,66.243,48
no_change,66.366,55
no_change,66.755,48
no_change,66.757,67
no_change,67.12,79
no_change,67.257,79
no_change,67.4,75
no_change,67.507,75
no_change,67.634,72
no_change,67.67,72
no_change,67.875,67
no_change,67.982,67
no_change,68.118,79
no_change,68.227,79
no_change,68.366,75
no_change,68.468,75
no_change,68.623,72
no_change,68.677,72
no_change,68.814,67
no_change,68.973,67
no_change,69.091,79
no_change,69.186,77
no_change,69.286,75
no_change,69.405,74
no_change,69.548,72
no_change,69.664,71
no_change,69.798,69
no_change,69.902,67
no_change,70.057,79
no_change,70.177,77
no_change,70.268,75
no_change,70.409,74
no_change,70.53,72
no_change,70.648,71
no_change,70.757,69
no_change,70.905,67
no_change,71.382,63
no_change,71.566,67
no_change,71.677,72
no_change,71.789,67
no_change,71.902,63
no_change,72.034,67
no_change,72.141,72
no_change,72.257,67
no_change,72.37,63
no_change,72.48,67
no_change,72.582,72
no_change,72.68,67
no_change,72.782,63
no_change,72.893,67
no_change,73.039,72
no_change,73.195,48
no_change,73.42,60
no_change,73.88,48
no_change,74.386,48
no_change,74.848,48
no_change,75.361,61
no_change,75.411,60
no_change,75.83,61
no_change,75.866,60
no_change,76.277,61
no_change,76.311,60
no_change,76.743,61
no_change,76.755,60
no_change,77.257,60
no_change,77.264,58
no_change,77.266,64
no_change,77.741,58
no_change,77.743,64
no_change,78.227,64
no_change,78.23,58
no_change,78.232,60
no_change,78.695,60
no_change,78.707,58
no_change,78.72,64
no_change,79.264,60
no_change,79.311,68
no_change,79.664,53
no_change,79.857,65
no_change,79.927,68
no_change,79.932,60
no_change,80.159,53
no_change,80.339,65
no_change,80.375,60
no_change,80.623,53
no_change,80.823,65
no_change,80.859,60
no_change,80.866,68
no_change,81.095,53
no_change,81.316,66
no_change,81.355,61
no_change,81.586,53
no_change,81.789,66
no_change,81.834,61
no_change,82.05,53
no_change,82.25,70
no_change,82.277,66
no_change,82.284,61
no_change,82.505,53
no_change,82.714,66
no_change,82.739,61
no_change,82.984,53
no_change,83.207,65
no_change,83.22,63
no_change,83.505,53
no_change,83.691,65
no_change,83.741,63
no_change,83.984,53
no_change,84.164,65
no_change,84.211,63
no_change,84.443,53
no_change,84.639,65
no_change,84.668,63
no_change,84.902,53
no_change,85.111,65
no_change,85.127,73
no_change,85.143,61
no_change,85.341,53
no_change,85.566,73
no_change,85.6,61
no_change,85.832,53
no_change,86.03,73
no_change,86.064,65
no_change,86.066,61
no_change,86.282,53
no_change,86.505,73
no_change,86.523,65
no_change,86.53,61
no_change,86.775,53
no_change,86.998,71
no_change,87.014,65
no_change,87.293,53
no_change,87.561,65
no_change,87.82,53
no_change,88.066,65
no_change,88.325,53
no_change,88.595,71
no_change,88.6,65
no_change,88.884,53
no_change,89.223,64
no_change,89.234,48
no_change,89.584,67
no_change,89.586,64
no_change,89.611,64
no_change,89.716,67
no_change,89.836,67
no_change,89.87,64
no_change,89.959,67
no_change,89.966,64
no_change,90.02,64
no_change,90.084,67
no_change,90.289,64
no_change,90.291,67
no_change,90.307,64
no_change,90.552,64
no_change,90.555,67
no_change,90.834,67
no_change,91.064,64
no_change,91.089,67
no_change,91.45,65
no_change,91.47,68
no_change,91.486,53
no_change,91.759,60
no_change,91.943,65
no_change,91.986,53
no_change,92.234,60
no_change,92.407,65
no_change,92.436,53
no_change,92.439,68
no_change,92.691,60
no_change,92.9,65
no_change,92.914,53
no_change,93.161,60
no_change,93.448,46
no_change,93.45,61
no_change,93.598,61
no_change,93.752,65
no_change,93.77,65
no_change,93.861,61
no_change,93.968,61
no_change,93.982,65
no_change,94.107,65
no_change,94.12,61
no_change,94.223,61
no_change,94.264,61
no_change,94.33,65
no_change,94.443,61
no_change,94.655,61
no_change,94.7,65
no_change,94.914,65
no_change,95.011,61
no_change,95.155,65
no_change,95.157,61
no_change,95.393,63
no_change,95.411,67
no_change,95.418,51
no_change,95.72,61
no_change,95.893,63
no_change,95.945,67
no_change,95.948,51
no_change,96.173,61
no_change,96.364,63
no_change,96.395,67
no_change,96.398,51
no_change,96.623,61
no_change,96.825,63
no_change,96.855,67
no_change,96.857,51
no_change,97.077,61
no_change,97.357,44
no_change,97.545,60
no_change,97.668,63
no_change,97.68,60
no_change,97.693,63
no_change,97.818,63
no_change,97.914,60
no_change,98.027,60
no_change,98.03,63
no_change,98.05,60
no_change,98.236,63
no_change,98.282,60
no_change,98.366,63
no_change,98.375,60
no_change,98.484,60
no_change,98.602,63
no_change,98.73,60
no_change,98.818,63
no_change,99.064,63
no_change,99.07,60
no_change,99.327,49
no_change,99.639,60
no_change,99.87,49
no_change,99.875,65
no_change,100.109,60
no_change,100.355,49
