onset_type,onset_time,pitch
no_change,4.023,45
no_change,4.15,76
no_change,4.307,74
no_change,4.45,73
late,4.582,71
no_change,4.794,69
no_change,4.843,68
no_change,4.982,66
no_change,5.1,64
no_change,5.241,47
no_change,5.255,74
no_change,5.393,73
no_change,5.53,71
no_change,5.668,69
no_change,5.786,68
no_change,5.918,66
no_change,6.03,64
no_change,6.168,62
no_change,6.293,49
no_change,6.295,73
no_change,6.402,71
no_change,6.541,69
no_change,6.67,68
no_change,6.795,66
no_change,6.923,64
no_change,7.052,62
no_change,7.164,61
no_change,7.293,50
no_change,7.302,71
no_change,7.427,69
no_change,7.566,68
no_change,7.695,66
no_change,7.827,64
no_change,7.966,62
no_change,8.084,61
no_change,8.22,59
no_change,8.309,52
no_change,8.352,69
no_change,8.473,68
no_change,8.611,66
no_change,8.741,64
no_change,8.857,62
no_change,8.998,61
no_change,9.102,59
no_change,9.239,57
no_change,9.343,40
no_change,9.348,71
no_change,9.498,69
no_change,9.623,68
no_change,9.732,66
no_change,9.843,44
no_change,9.845,64
no_change,10.009,62
no_change,10.12,61
no_change,10.243,59
no_change,10.364,57
no_change,10.368,45
no_change,10.518,56
no_change,10.652,54
no_change,10.775,52
no_change,10.902,50
no_change,11.011,49
no_change,11.125,47
no_change,11.243,45
no_change,11.423,44
no_change,11.427,69
no_change,11.575,68
no_change,11.705,66
no_change,11.832,64
no_change,11.952,63
no_change,12.084,61
no_change,12.209,59
no_change,12.336,57
no_change,12.443,56
no_change,12.45,49
no_change,12.568,54
no_change,12.72,52
no_change,12.864,51
no_change,12.998,49
no_change,13.111,52
no_change,13.243,56
no_change,13.37,59
no_change,13.495,51
no_change,13.623,54
no_change,13.748,57
no_change,13.88,59
no_change,14.002,58
no_change,14.123,59
no_change,14.266,61
no_change,14.395,63
no_change,14.516,64
no_change,14.523,40
no_change,14.666,66
no_change,14.793,68
no_change,14.914,69
no_change,15.05,71
no_change,15.17,69
no_change,15.295,68
no_change,15.423,66
no_change,15.555,64
no_change,15.67,63
no_change,15.814,64
no_change,15.923,63
no_change,16.064,62
no_change,16.186,61
no_change,16.327,59
no_change,16.45,57
no_change,16.63,56
no_change,16.761,59
no_change,16.891,64
no_change,17.007,59
no_change,17.136,52
no_change,17.259,62
no_change,17.389,64
no_change,17.516,62
no_change,17.639,57
no_change,17.766,61
no_change,17.891,64
no_change,18.0,69
no_change,18.12,40
no_change,18.127,73
no_change,18.259,76
no_change,18.398,78
no_change,18.507,76
no_change,18.68,40
no_change,18.698,74
no_change,18.814,73
no_change,18.966,71
no_change,19.068,69
no_change,19.207,68
no_change,19.334,66
no_change,19.441,64
no_change,19.582,62
no_change,19.714,49
no_change,19.832,59
no_change,19.977,57
no_change,20.116,56
no_change,20.223,54
no_change,20.361,52
no_change,20.486,50
no_change,20.609,49
no_change,20.757,50
no_change,20.88,54
no_change,21.03,57
no_change,21.155,59
no_change,21.284,61
no_change,21.393,62
no_change,21.525,64
no_change,21.664,66
no_change,21.805,51
no_change,21.93,54
no_change,22.055,57
no_change,22.177,59
no_change,22.302,61
no_change,22.42,63
no_change,22.557,64
no_change,22.695,66
no_change,22.843,40
no_change,22.857,68
no_change,23.009,71
no_change,23.141,68
no_change,23.27,66
no_change,23.395,64
no_change,23.516,68
no_change,23.652,64
no_change,23.766,61
no_change,23.905,59
no_change,24.027,64
no_change,24.17,59
no_change,24.282,57
no_change,24.405,56
no_change,24.545,59
no_change,24.67,56
no_change,24.798,54
no_change,24.911,52
no_change,25.045,56
no_change,25.157,59
no_change,25.28,64
no_change,25.402,68
no_change,25.539,69
no_change,25.673,71
no_change,25.8,72
no_change,25.948,40
no_change,25.966,74
no_change,26.109,77
no_change,26.23,74
no_change,26.35,72
no_change,26.491,71
no_change,26.632,74
no_change,26.757,71
no_change,26.882,69
no_change,27.009,68
no_change,27.107,71
no_change,27.252,68
no_change,27.382,65
no_change,27.482,64
no_change,27.641,59
no_change,27.743,56
no_change,27.877,52
no_change,28.007,53
no_change,28.134,57
no_change,28.273,60
no_change,28.382,63
no_change,28.532,64
no_change,28.65,55
no_change,28.8,57
no_change,28.941,58
no_change,29.025,64
no_change,29.152,56
no_change,29.305,57
no_change,29.441,59
no_change,29.548,64
no_change,29.666,57
no_change,29.809,59
no_change,29.932,60
no_change,30.084,59
no_change,30.184,60
no_change,30.323,62
