mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,288,288,251,20,17,0,0,173,120.00,125.00,5.00
tempo,a_lot_faster_tempo,304,303,221,38,44,1,0,132,120.00,99.00,21.00
tempo,slower_tempo,291,291,198,41,52,0,0,106,120.00,99.00,21.00
tempo,a_lot_slower_tempo,299,298,228,33,37,1,0,139,120.00,99.00,21.00
progressive_tempo,accelerando,329,278,135,99,44,51,0,37,120.00,117.00,3.00
progressive_tempo,ritardando,286,350,149,29,108,0,64,48,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,350,369,134,93,123,0,19,52,120.00,117.00,3.00
duration,note_held_too_long,279,276,179,54,43,3,0,91,120.00,117.00,3.00
duration,note_cut_too_soon,279,276,179,54,43,3,0,90,120.00,117.00,3.00
note,note_missing,279,278,218,30,30,1,0,153,120.00,117.00,3.00
note,note_not_expected,279,277,187,51,39,2,0,134,120.00,125.00,5.00
articulation,articulated_legato,280,276,176,52,48,4,0,72,120.00,117.00,3.00
articulation,articulated_staccato,288,286,194,52,40,2,0,61,120.00,117.00,3.00
articulation,articulated_accentuated,279,276,179,54,43,3,0,90,120.00,117.00,3.00
