mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,710,717,316,197,197,0,7,140,120.00,156.00,36.00
tempo,a_lot_faster_tempo,747,754,248,245,254,0,7,116,120.00,89.00,31.00
tempo,slower_tempo,710,717,234,236,240,0,7,108,120.00,104.00,16.00
tempo,a_lot_slower_tempo,713,703,229,241,233,10,0,102,120.00,110.00,10.00
progressive_tempo,accelerando,830,699,179,337,183,131,0,75,120.00,144.00,24.00
progressive_tempo,ritardando,704,885,171,162,371,0,181,62,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,1048,1137,202,443,403,0,89,100,120.00,124.00,4.00
duration,note_held_too_long,689,691,332,172,185,0,2,196,120.00,125.00,5.00
duration,note_cut_too_soon,695,697,326,178,191,0,2,189,120.00,125.00,5.00
note,note_missing,689,691,332,172,185,0,2,196,120.00,125.00,5.00
note,note_not_expected,689,692,332,173,184,0,3,191,120.00,125.00,5.00
articulation,articulated_legato,691,693,333,172,186,0,2,200,120.00,125.00,5.00
articulation,articulated_staccato,710,708,568,84,56,2,0,354,120.00,125.00,5.00
articulation,articulated_accentuated,689,691,332,172,185,0,2,196,120.00,125.00,5.00
