mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,2081,2129,1628,219,234,0,48,302,120.00,125.00,5.00
tempo,a_lot_faster_tempo,2096,2015,1553,252,210,81,0,360,120.00,110.00,10.00
tempo,slower_tempo,2075,2069,1595,234,240,6,0,339,120.00,156.00,36.00
tempo,a_lot_slower_tempo,2116,2105,1638,234,233,11,0,417,120.00,156.00,36.00
progressive_tempo,accelerando,2318,1921,1366,363,192,397,0,234,120.00,125.00,5.00
progressive_tempo,ritardando,2033,2468,1437,195,401,0,435,272,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,2522,2000,1104,561,335,522,0,251,120.00,156.00,36.00
duration,note_held_too_long,1949,1946,1701,132,113,3,0,717,120.00,125.00,5.00
duration,note_cut_too_soon,1949,1946,1701,132,113,3,0,718,120.00,125.00,5.00
note,note_missing,1949,1945,1709,128,108,4,0,755,120.00,125.00,5.00
note,note_not_expected,1949,1946,1701,132,113,3,0,718,120.00,125.00,5.00
articulation,articulated_legato,1949,1946,1701,132,113,3,0,718,120.00,125.00,5.00
articulation,articulated_staccato,2125,2123,1778,190,155,2,0,747,120.00,125.00,5.00
articulation,articulated_accentuated,1949,1946,1701,132,113,3,0,718,120.00,125.00,5.00
