onset_type,onset_time,pitch
no_change,1.091,64
no_change,1.102,40
no_change,1.439,59
no_change,1.718,55
no_change,2.005,67
no_change,2.27,59
no_change,2.505,55
no_change,2.739,67
no_change,2.957,59
no_change,3.15,55
no_change,3.384,45
no_change,3.391,67
no_change,3.6,60
no_change,3.791,57
no_change,3.982,66
no_change,4.211,60
no_change,4.427,57
no_change,4.661,66
no_change,4.952,60
no_change,5.261,57
no_change,5.575,47
no_change,5.786,63
no_change,5.97,57
no_change,6.164,67
no_change,6.389,63
no_change,6.607,57
no_change,6.814,66
no_change,7.098,63
no_change,7.364,57
no_change,7.63,40
no_change,7.773,71
no_change,8.182,59
no_change,8.416,55
no_change,8.623,71
no_change,8.83,59
no_change,9.043,55
no_change,9.252,71
no_change,9.518,59
no_change,9.755,55
no_change,10.03,40
no_change,10.216,64
no_change,10.461,59
no_change,10.682,55
no_change,10.889,67
no_change,11.093,59
no_change,11.275,55
no_change,11.459,67
no_change,11.648,59
no_change,11.839,55
no_change,12.055,67
no_change,12.261,60
no_change,12.434,57
no_change,12.639,66
no_change,12.852,60
no_change,13.052,57
no_change,13.282,66
no_change,13.561,60
no_change,13.802,57
no_change,14.111,47
no_change,14.114,69
no_change,14.33,63
no_change,14.509,57
no_change,14.698,67
no_change,14.925,63
no_change,15.161,57
no_change,15.398,66
no_change,15.657,63
no_change,15.907,57
no_change,16.198,40
no_change,16.202,64
no_change,16.92,55
no_change,17.023,59
no_change,17.123,64
no_change,18.805,64
no_change,18.809,40
no_change,19.189,59
no_change,19.436,55
no_change,19.675,67
no_change,19.927,59
no_change,20.139,55
no_change,20.343,67
no_change,20.541,59
no_change,20.725,55
no_change,20.945,45
no_change,20.95,67
no_change,21.143,60
no_change,21.32,57
no_change,21.516,66
no_change,21.723,60
no_change,21.934,57
no_change,22.159,66
no_change,22.423,60
no_change,22.689,57
no_change,23.075,47
no_change,23.082,69
no_change,23.282,63
no_change,23.461,57
no_change,23.661,67
no_change,23.857,63
no_change,24.05,57
no_change,24.261,66
no_change,24.541,63
no_change,24.798,57
no_change,25.118,40
no_change,25.27,71
no_change,25.711,59
no_change,25.934,55
no_change,26.157,71
no_change,26.384,59
no_change,26.591,55
no_change,26.827,71
no_change,27.166,59
no_change,27.411,55
no_change,27.705,40
no_change,27.884,64
no_change,28.127,59
no_change,28.37,55
no_change,28.593,67
no_change,28.816,59
no_change,29.005,55
no_change,29.198,67
no_change,29.384,59
no_change,29.561,55
no_change,29.775,45
no_change,29.786,67
no_change,29.986,60
no_change,30.157,57
no_change,30.348,66
no_change,30.561,60
no_change,30.77,57
no_change,30.998,66
no_change,31.282,60
no_change,31.493,57
no_change,31.905,47
no_change,31.907,69
no_change,32.102,63
no_change,32.284,57
no_change,32.493,67
no_change,32.745,63
no_change,32.952,57
no_change,33.189,66
no_change,33.434,63
no_change,33.693,57
no_change,34.016,40
no_change,34.023,64
no_change,34.857,55
no_change,34.923,59
no_change,35.048,64
no_change,37.034,64
no_change,37.036,40
no_change,37.323,59
no_change,37.559,55
no_change,37.775,67
no_change,38.0,59
no_change,38.218,55
no_change,38.43,71
no_change,38.655,59
no_change,38.845,55
no_change,39.064,45
no_change,39.2,71
no_change,39.407,64
no_change,39.58,60
no_change,39.775,69
no_change,39.975,64
no_change,40.161,60
no_change,40.373,72
missing,40.907,60
no_change,41.325,50
no_change,41.327,66
no_change,41.575,60
no_change,41.757,57
no_change,41.955,67
no_change,42.155,60
no_change,42.345,57
no_change,42.589,69
no_change,42.848,62
no_change,43.066,60
no_change,43.302,43
no_change,43.439,69
no_change,43.784,59
no_change,43.977,55
no_change,44.175,67
no_change,44.405,59
no_change,44.625,55
no_change,44.857,71
no_change,45.264,59
no_change,45.502,55
no_change,45.745,40
no_change,45.9,64
no_change,46.143,59
no_change,46.334,55
no_change,46.548,67
no_change,46.75,59
no_change,46.918,55
no_change,47.107,67
no_change,47.316,59
no_change,47.475,55
no_change,47.691,45
no_change,47.693,67
no_change,47.918,60
no_change,48.093,57
no_change,48.286,66
no_change,48.507,60
no_change,48.73,57
no_change,48.948,66
no_change,49.223,60
no_change,49.45,57
