mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,887,880,848,18,14,7,0,150,120.00,125.00,5.00
tempo,a_lot_faster_tempo,918,908,856,26,26,10,0,139,120.00,134.00,14.00
tempo,slower_tempo,895,902,857,17,21,0,7,144,120.00,144.00,24.00
tempo,a_lot_slower_tempo,920,923,873,22,25,0,3,159,120.00,134.00,14.00
progressive_tempo,accelerando,1015,852,768,67,17,163,0,97,120.00,125.00,5.00
progressive_tempo,ritardando,892,1049,798,26,68,0,157,98,120.00,99.00,21.00
progressive_tempo,tempo_fluctuation,1043,1031,850,95,86,12,0,113,120.00,156.00,36.00
duration,note_held_too_long,886,871,830,23,18,15,0,137,120.00,134.00,14.00
duration,note_cut_too_soon,912,897,847,27,23,15,0,141,120.00,134.00,14.00
note,note_missing,886,871,830,23,18,15,0,137,120.00,134.00,14.00
note,note_not_expected,886,871,830,23,18,15,0,137,120.00,134.00,14.00
articulation,articulated_legato,890,873,830,26,17,17,0,120,120.00,134.00,14.00
articulation,articulated_staccato,883,868,833,21,14,15,0,140,120.00,134.00,14.00
articulation,articulated_accentuated,886,871,830,23,18,15,0,137,120.00,134.00,14.00
