mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,1189,1189,786,247,156,0,0,412,120.00,144.00,24.00
tempo,a_lot_faster_tempo,1245,1244,660,321,263,1,0,302,120.00,104.00,16.00
tempo,slower_tempo,1198,1210,732,221,245,0,12,204,120.00,144.00,24.00
tempo,a_lot_slower_tempo,1230,1218,712,259,247,12,0,242,120.00,170.00,50.00
progressive_tempo,accelerando,1386,1161,557,373,231,225,0,160,120.00,156.00,36.00
progressive_tempo,ritardando,1194,1483,499,225,470,0,289,141,120.00,89.00,31.00
progressive_tempo,tempo_fluctuation,1596,1744,659,424,513,0,148,196,120.00,125.00,5.00
duration,note_held_too_long,1162,1165,940,92,130,0,3,737,120.00,117.00,3.00
duration,note_cut_too_soon,1168,1171,937,96,135,0,3,731,120.00,117.00,3.00
note,note_missing,1162,1165,940,92,130,0,3,738,120.00,117.00,3.00
note,note_not_expected,1162,1166,796,150,216,0,4,603,120.00,117.00,3.00
articulation,articulated_legato,1162,1165,940,92,130,0,3,735,120.00,117.00,3.00
articulation,articulated_staccato,1297,1295,811,238,246,2,0,316,120.00,117.00,3.00
articulation,articulated_accentuated,1162,1165,940,92,130,0,3,737,120.00,117.00,3.00
