mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,904,898,560,170,168,6,0,140,120.00,170.00,50.00
tempo,a_lot_faster_tempo,933,933,729,112,92,0,0,306,120.00,110.00,10.00
tempo,slower_tempo,904,902,561,171,170,2,0,119,120.00,117.00,3.00
tempo,a_lot_slower_tempo,940,931,571,197,163,9,0,158,120.00,99.00,21.00
progressive_tempo,accelerando,1047,882,416,312,154,165,0,107,120.00,117.00,3.00
progressive_tempo,ritardando,911,1106,401,135,375,0,195,104,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,1181,1345,489,282,410,0,164,109,120.00,156.00,36.00
duration,note_held_too_long,880,882,734,65,81,0,2,473,120.00,144.00,24.00
duration,note_cut_too_soon,881,883,733,65,83,0,2,471,120.00,144.00,24.00
note,note_missing,880,881,753,53,74,0,1,496,120.00,144.00,24.00
note,note_not_expected,880,883,726,70,84,0,3,478,120.00,144.00,24.00
articulation,articulated_legato,880,879,754,62,63,1,0,497,120.00,144.00,24.00
articulation,articulated_staccato,912,918,611,144,157,0,6,155,120.00,144.00,24.00
articulation,articulated_accentuated,880,882,734,65,81,0,2,474,120.00,144.00,24.00
