mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,167,169,88,37,42,0,2,58,120.00,125.00,5.00
tempo,a_lot_faster_tempo,167,172,70,46,51,0,5,50,120.00,156.00,36.00
tempo,slower_tempo,167,164,50,52,62,3,0,29,120.00,85.00,35.00
tempo,a_lot_slower_tempo,170,167,79,42,46,3,0,39,120.00,94.00,26.00
progressive_tempo,accelerando,189,162,33,76,53,27,0,26,120.00,125.00,5.00
progressive_tempo,ritardando,161,206,32,37,92,0,45,26,120.00,78.00,42.00
progressive_tempo,tempo_fluctuation,245,332,45,82,118,0,87,24,120.00,104.00,16.00
duration,note_held_too_long,159,161,111,23,25,0,2,82,120.00,110.00,10.00
duration,note_cut_too_soon,161,163,110,24,27,0,2,82,120.00,110.00,10.00
note,note_missing,159,160,137,10,12,0,1,100,120.00,104.00,16.00
note,note_not_expected,159,162,102,28,29,0,3,77,120.00,110.00,10.00
articulation,articulated_legato,159,161,111,23,25,0,2,83,120.00,110.00,10.00
articulation,articulated_staccato,163,164,105,31,27,0,1,43,120.00,110.00,10.00
articulation,articulated_accentuated,159,161,111,23,25,0,2,83,120.00,110.00,10.00
