mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,1423,1425,1208,114,101,0,2,494,120.00,134.00,14.00
tempo,a_lot_faster_tempo,1491,1480,990,248,242,11,0,302,120.00,99.00,21.00
tempo,slower_tempo,1406,1407,1153,142,111,0,1,568,120.00,170.00,50.00
tempo,a_lot_slower_tempo,1427,1409,1004,215,190,18,0,313,120.00,110.00,10.00
progressive_tempo,accelerando,1596,1336,769,407,160,260,0,227,120.00,144.00,24.00
progressive_tempo,ritardando,1387,1666,792,174,421,0,279,206,120.00,134.00,14.00
progressive_tempo,tempo_fluctuation,1644,1936,950,279,415,0,292,254,120.00,125.00,5.00
duration,note_held_too_long,1326,1329,1236,36,54,0,3,802,120.00,110.00,10.00
duration,note_cut_too_soon,1326,1329,1236,36,54,0,3,802,120.00,110.00,10.00
note,note_missing,1326,1328,1223,49,54,0,2,799,120.00,110.00,10.00
note,note_not_expected,1326,1329,1236,36,54,0,3,802,120.00,110.00,10.00
articulation,articulated_legato,1326,1328,1211,64,51,0,2,787,120.00,110.00,10.00
articulation,articulated_staccato,1506,1506,1149,193,164,0,0,483,120.00,110.00,10.00
articulation,articulated_accentuated,1326,1329,1236,36,54,0,3,802,120.00,110.00,10.00
