onset_type,onset_time,pitch
no_change,4.116,45
no_change,4.248,57
no_change,4.341,57
no_change,4.48,57
no_change,4.598,48
articulation,4.716,57
no_change,4.825,57
no_change,4.95,57
no_change,5.064,53
no_change,5.198,57
no_change,5.305,57
no_change,5.425,57
no_change,5.561,52
no_change,5.677,57
no_change,5.807,57
no_change,5.923,57
no_change,6.045,50
no_change,6.157,57
no_change,6.259,65
no_change,6.384,57
no_change,6.505,48
no_change,6.614,57
no_change,6.684,64
no_change,6.836,57
no_change,6.959,47
no_change,7.077,56
no_change,7.184,62
no_change,7.311,56
no_change,7.441,45
no_change,7.561,57
no_change,7.695,60
no_change,7.802,57
no_change,7.957,50
no_change,8.164,57
no_change,8.3,59
no_change,8.423,57
no_change,8.548,51
no_change,8.677,57
no_change,8.775,59
no_change,8.9,57
no_change,9.018,52
no_change,9.139,57
no_change,9.243,59
no_change,9.355,57
no_change,9.484,53
no_change,9.605,57
no_change,9.702,59
no_change,9.834,57
no_change,9.975,52
no_change,10.109,57
no_change,10.22,60
no_change,10.341,57
no_change,10.466,40
no_change,10.6,57
no_change,10.707,60
no_change,10.832,57
no_change,10.961,52
no_change,11.086,57
no_change,11.227,59
no_change,11.359,57
no_change,11.518,40
no_change,11.673,56
no_change,11.805,64
no_change,11.993,56
no_change,12.286,45
no_change,12.498,57
no_change,12.625,57
no_change,12.757,57
no_change,12.889,48
no_change,12.995,57
no_change,13.1,57
no_change,13.236,57
no_change,13.352,53
no_change,13.482,57
no_change,13.598,57
no_change,13.734,57
no_change,13.868,52
no_change,14.005,57
no_change,14.13,57
no_change,14.234,57
no_change,14.375,50
no_change,14.568,57
no_change,14.718,65
no_change,14.859,57
no_change,14.98,48
no_change,15.118,57
no_change,15.202,64
no_change,15.348,57
no_change,15.47,47
no_change,15.602,56
no_change,15.716,62
no_change,15.845,56
no_change,15.982,45
no_change,16.105,57
no_change,16.234,60
no_change,16.355,57
no_change,16.514,50
no_change,16.702,57
no_change,16.857,59
no_change,16.977,57
no_change,17.093,51
no_change,17.225,57
no_change,17.341,59
no_change,17.461,57
no_change,17.568,52
no_change,17.716,57
no_change,17.836,60
no_change,17.957,57
no_change,18.107,40
no_change,18.236,56
no_change,18.361,59
no_change,18.484,64
no_change,18.668,45
no_change,18.93,57
no_change,19.043,60
no_change,19.157,64
no_change,19.273,65
no_change,19.389,64
no_change,19.53,63
no_change,19.65,64
no_change,19.909,69
no_change,21.118,48
no_change,21.436,60
no_change,21.573,60
no_change,21.659,60
no_change,21.809,52
no_change,21.961,60
no_change,22.084,60
no_change,22.207,60
no_change,22.323,57
no_change,22.464,60
no_change,22.573,60
no_change,22.691,60
no_change,22.827,55
no_change,22.952,60
no_change,23.082,60
no_change,23.193,60
no_change,23.361,53
no_change,23.593,57
no_change,23.736,62
no_change,23.848,57
no_change,23.986,52
no_change,24.125,61
no_change,24.22,64
no_change,24.336,61
no_change,24.468,50
no_change,24.584,62
no_change,24.709,65
no_change,24.839,62
no_change,24.966,50
no_change,25.114,60
no_change,25.259,66
no_change,25.373,60
no_change,25.575,55
no_change,25.811,59
no_change,25.984,67
no_change,26.148,59
no_change,26.318,43
no_change,26.473,55
no_change,26.595,67
no_change,26.748,55
no_change,26.864,45
no_change,27.018,55
no_change,27.107,66
no_change,27.241,55
no_change,27.368,47
no_change,27.498,55
no_change,27.605,65
no_change,27.75,55
no_change,27.868,48
no_change,28.0,55
no_change,28.111,64
no_change,28.236,55
no_change,28.368,50
no_change,28.489,55
no_change,28.609,62
no_change,28.734,55
no_change,28.868,52
no_change,28.998,55
no_change,29.093,60
no_change,29.236,55
no_change,29.386,48
no_change,29.541,55
no_change,29.673,64
no_change,29.839,55
no_change,30.075,53
no_change,30.309,57
no_change,30.441,57
no_change,30.589,57
no_change,30.732,52
no_change,30.882,61
no_change,31.002,61
no_change,31.132,61
no_change,31.268,50
no_change,31.386,62
no_change,31.511,62
no_change,31.639,62
no_change,31.764,54
no_change,31.895,60
no_change,32.0,60
no_change,32.13,60
no_change,32.255,55
no_change,32.38,59
no_change,32.502,59
no_change,32.627,59
no_change,32.757,53
no_change,32.87,63
no_change,32.968,63
no_change,33.109,63
no_change,33.25,52
no_change,33.386,64
no_change,33.507,64
no_change,33.657,64
no_change,33.816,56
no_change,33.98,62
no_change,34.116,62
no_change,34.245,62
no_change,34.42,57
no_change,34.584,60
no_change,34.727,60
no_change,34.855,60
no_change,34.984,45
no_change,35.091,60
no_change,35.202,60
no_change,35.341,60
no_change,35.486,50
no_change,35.577,59
no_change,35.693,59
no_change,35.834,59
no_change,35.993,51
no_change,36.12,57
no_change,36.264,57
no_change,36.395,57
no_change,36.605,52
no_change,36.923,56
