onset_type,onset_time,pitch
no_change,4.934,57
no_change,5.434,59
no_change,5.959,61
no_change,6.516,62
no_change,7.205,66
no_change,8.345,52
no_change,8.455,59
no_change,8.557,62
no_change,8.7,67
no_change,9.273,59
no_change,9.275,45
no_change,9.882,66
no_change,10.67,57
no_change,10.739,50
no_change,10.743,71
no_change,11.243,57
no_change,11.245,73
no_change,11.723,57
no_change,11.757,71
no_change,12.261,57
no_change,12.275,74
no_change,12.814,71
no_change,12.827,57
no_change,13.477,52
no_change,13.584,59
no_change,13.65,62
no_change,13.752,67
no_change,14.28,45
no_change,14.286,59
no_change,14.877,57
no_change,14.882,61
no_change,15.618,57
no_change,15.625,50
no_change,15.627,71
no_change,16.107,57
no_change,16.13,73
no_change,16.623,57
no_change,16.632,71
no_change,17.127,57
no_change,17.136,74
no_change,17.495,57
no_change,17.677,71
no_change,18.393,57
no_change,18.459,62
no_change,18.464,60
no_change,18.561,65
no_change,19.098,57
no_change,19.102,43
no_change,19.709,55
no_change,19.711,59
no_change,19.714,64
no_change,20.489,48
no_change,20.498,55
no_change,20.509,69
no_change,20.966,55
no_change,21.002,71
no_change,21.495,55
no_change,21.5,69
no_change,22.011,55
no_change,22.032,72
no_change,22.5,55
no_change,22.568,69
no_change,23.191,62
no_change,23.211,57
no_change,23.284,60
no_change,23.345,65
no_change,23.866,43
no_change,23.87,57
no_change,24.457,55
no_change,24.459,59
no_change,24.461,64
no_change,25.198,48
no_change,25.2,55
no_change,25.695,71
no_change,25.698,55
no_change,26.205,55
no_change,26.211,69
no_change,26.734,72
no_change,26.805,55
no_change,27.291,69
no_change,27.661,55
no_change,27.875,48
no_change,27.955,55
no_change,28.055,58
no_change,28.177,63
no_change,28.852,55
no_change,28.857,41
no_change,29.466,53
no_change,30.248,46
no_change,30.25,67
no_change,30.752,53
no_change,31.227,53
no_change,31.241,67
no_change,31.748,53
no_change,31.773,70
no_change,32.302,53
no_change,32.843,48
no_change,32.911,55
no_change,32.991,58
no_change,33.052,63
no_change,33.677,55
no_change,33.682,41
no_change,34.273,62
no_change,34.275,53
no_change,35.041,53
no_change,35.045,67
no_change,35.048,46
no_change,35.532,69
no_change,35.534,53
no_change,36.011,53
no_change,36.041,67
no_change,36.564,53
no_change,37.109,53
no_change,37.116,67
no_change,37.748,50
no_change,37.845,57
