mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,204,205,154,23,27,0,1,91,120.00,125.00,5.00
tempo,a_lot_faster_tempo,209,213,118,41,50,0,4,45,120.00,156.00,36.00
tempo,slower_tempo,208,206,104,54,48,2,0,53,120.00,94.00,26.00
tempo,a_lot_slower_tempo,211,206,95,58,53,5,0,35,120.00,120.00,0.00
progressive_tempo,accelerando,237,207,63,91,53,30,0,30,120.00,125.00,5.00
progressive_tempo,ritardando,207,249,61,36,110,0,42,31,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,262,362,45,66,151,0,100,26,120.00,117.00,3.00
duration,note_held_too_long,204,203,127,42,34,1,0,76,120.00,110.00,10.00
duration,note_cut_too_soon,204,203,128,42,33,1,0,78,120.00,110.00,10.00
note,note_missing,203,202,128,41,33,1,0,77,120.00,110.00,10.00
note,note_not_expected,203,202,128,41,33,1,0,77,120.00,110.00,10.00
articulation,articulated_legato,203,199,115,48,36,4,0,66,120.00,110.00,10.00
articulation,articulated_staccato,204,203,130,39,34,1,0,42,120.00,117.00,3.00
articulation,articulated_accentuated,203,202,128,41,33,1,0,77,120.00,110.00,10.00
