mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,641,646,560,35,46,0,5,207,120.00,144.00,24.00
tempo,a_lot_faster_tempo,674,682,530,68,76,0,8,161,120.00,117.00,3.00
tempo,slower_tempo,647,642,546,53,43,5,0,177,120.00,188.00,68.00
tempo,a_lot_slower_tempo,656,643,536,66,41,13,0,135,120.00,117.00,3.00
progressive_tempo,accelerando,719,626,474,128,24,93,0,57,120.00,117.00,3.00
progressive_tempo,ritardando,627,750,444,19,164,0,123,75,120.00,170.00,50.00
progressive_tempo,tempo_fluctuation,766,780,236,140,390,0,14,77,120.00,125.00,5.00
duration,note_held_too_long,618,618,618,0,0,0,0,527,120.00,117.00,3.00
duration,note_cut_too_soon,619,619,618,0,1,0,0,528,120.00,117.00,3.00
note,note_missing,618,617,592,18,7,1,0,388,120.00,117.00,3.00
note,note_not_expected,618,618,618,0,0,0,0,527,120.00,117.00,3.00
articulation,articulated_legato,621,621,586,23,12,0,0,371,120.00,117.00,3.00
articulation,articulated_staccato,660,661,591,32,37,0,1,399,120.00,117.00,3.00
articulation,articulated_accentuated,618,618,618,0,0,0,0,528,120.00,117.00,3.00
