mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,1513,1526,1499,6,8,0,13,495,120.00,110.00,10.00
tempo,a_lot_faster_tempo,1545,1453,1430,14,9,92,0,230,120.00,104.00,16.00
tempo,slower_tempo,1499,1517,1486,6,7,0,18,408,120.00,110.00,10.00
tempo,a_lot_slower_tempo,1574,1538,1511,15,12,36,0,333,120.00,134.00,14.00
progressive_tempo,accelerando,1688,1443,1394,42,7,245,0,232,120.00,144.00,24.00
progressive_tempo,ritardando,1513,1598,1451,30,32,0,85,421,120.00,99.00,21.00
progressive_tempo,tempo_fluctuation,1562,1491,1454,20,17,71,0,245,120.00,156.00,36.00
duration,note_held_too_long,1496,1513,1486,3,7,0,17,573,120.00,134.00,14.00
duration,note_cut_too_soon,1496,1513,1486,3,7,0,17,573,120.00,134.00,14.00
note,note_missing,1496,1512,1486,3,7,0,16,577,120.00,134.00,14.00
note,note_not_expected,1496,1512,1488,3,5,0,16,536,120.00,134.00,14.00
articulation,articulated_legato,1496,1513,1486,3,7,0,17,573,120.00,134.00,14.00
articulation,articulated_staccato,1496,1513,1486,3,7,0,17,573,120.00,134.00,14.00
articulation,articulated_accentuated,1496,1513,1486,3,7,0,17,573,120.00,134.00,14.00
