mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,420,423,314,46,60,0,3,171,120.00,208.00,88.00
tempo,a_lot_faster_tempo,429,440,256,75,98,0,11,73,120.00,134.00,14.00
tempo,slower_tempo,421,421,320,51,50,0,0,195,120.00,144.00,24.00
tempo,a_lot_slower_tempo,421,415,253,90,72,6,0,68,120.00,94.00,26.00
progressive_tempo,accelerando,474,405,217,127,61,69,0,52,120.00,208.00,88.00
progressive_tempo,ritardando,408,501,200,44,164,0,93,51,120.00,134.00,14.00
progressive_tempo,tempo_fluctuation,483,604,122,88,273,0,121,42,120.00,188.00,68.00
duration,note_held_too_long,404,404,404,0,0,0,0,373,120.00,188.00,68.00
duration,note_cut_too_soon,404,404,404,0,0,0,0,373,120.00,188.00,68.00
note,note_missing,404,404,404,0,0,0,0,374,120.00,188.00,68.00
note,note_not_expected,404,404,404,0,0,0,0,374,120.00,188.00,68.00
articulation,articulated_legato,404,403,383,10,10,1,0,268,120.00,188.00,68.00
articulation,articulated_staccato,423,423,385,20,18,0,0,220,120.00,188.00,68.00
articulation,articulated_accentuated,404,404,404,0,0,0,0,374,120.00,188.00,68.00
