onset_type,onset_time,pitch
no_change,8.7,40
no_change,9.441,55
no_change,9.936,70
articulation,10.466,69
no_change,10.47,45
no_change,10.918,58
no_change,10.92,61
no_change,11.275,66
no_change,11.623,42
no_change,11.95,50
no_change,12.286,62
no_change,12.773,61
no_change,12.775,41
no_change,13.259,50
no_change,13.464,59
no_change,13.627,58
no_change,13.766,59
no_change,14.132,67
no_change,14.202,40
no_change,14.72,50
no_change,15.064,59
no_change,15.457,66
no_change,15.459,45
no_change,15.886,55
no_change,16.184,61
no_change,16.416,42
no_change,16.557,59
no_change,16.934,50
no_change,17.28,57
no_change,17.723,41
no_change,17.725,59
no_change,18.282,56
no_change,18.284,50
no_change,18.548,59
no_change,18.736,61
no_change,18.884,62
no_change,19.143,40
no_change,19.295,67
no_change,19.82,55
no_change,19.823,62
no_change,20.173,70
no_change,20.527,69
no_change,20.53,45
no_change,20.857,58
no_change,20.859,55
no_change,21.148,73
no_change,21.409,50
no_change,21.609,76
no_change,22.034,54
no_change,22.036,59
no_change,22.418,74
no_change,22.882,50
no_change,22.884,76
no_change,23.382,54
no_change,23.42,59
no_change,23.655,74
no_change,23.836,73
no_change,24.011,71
no_change,24.243,40
no_change,24.468,74
no_change,25.111,56
no_change,25.116,62
no_change,25.402,65
no_change,25.589,66
no_change,25.736,68
no_change,25.907,40
no_change,25.916,70
no_change,26.448,56
no_change,26.45,71
no_change,26.777,73
no_change,27.236,74
no_change,27.33,45
no_change,27.82,66
no_change,27.823,55
no_change,28.239,58
no_change,28.732,75
no_change,29.284,58
no_change,29.286,55
no_change,30.527,50
no_change,30.818,76
no_change,31.327,54
no_change,31.645,59
no_change,31.902,74
no_change,32.105,76
no_change,32.291,74
no_change,32.514,50
no_change,32.711,54
no_change,32.932,59
no_change,33.095,74
no_change,33.252,73
no_change,33.395,71
no_change,33.614,50
no_change,33.841,52
no_change,34.002,55
no_change,34.152,59
no_change,34.302,61
no_change,34.418,62
no_change,34.575,63
no_change,34.58,45
no_change,34.932,55
no_change,34.936,61
