onset_type,onset_time,pitch
no_change,10.468,47
no_change,10.545,62
no_change,10.641,66
no_change,11.334,54
no_change,11.991,47
no_change,12.036,67
no_change,12.691,49
no_change,12.705,62
no_change,13.407,46
no_change,13.411,61
no_change,14.134,54
no_change,14.736,47
no_change,14.827,59
no_change,14.905,62
no_change,15.602,49
no_change,16.323,50
no_change,16.325,66
no_change,16.986,57
no_change,17.555,45
no_change,17.616,66
no_change,17.707,74
no_change,18.298,57
no_change,18.3,69
no_change,19.005,49
no_change,19.007,71
no_change,19.661,57
no_change,20.255,50
no_change,20.359,66
no_change,20.436,69
no_change,21.143,51
no_change,21.841,50
no_change,21.848,55
no_change,21.955,59
no_change,22.307,61
no_change,22.645,64
no_change,22.648,67
no_change,22.964,66
no_change,22.966,69
no_change,23.282,64
no_change,23.284,67
no_change,23.968,64
no_change,23.973,46
no_change,24.548,47
no_change,24.623,62
no_change,24.709,66
no_change,25.345,49
no_change,26.057,50
no_change,26.061,59
no_change,26.782,54
no_change,27.425,40
no_change,27.536,55
no_change,27.609,59
no_change,27.948,59
no_change,27.955,62
no_change,28.291,61
no_change,28.623,62
no_change,28.625,66
no_change,28.986,61
no_change,29.668,62
no_change,29.67,59
no_change,29.675,41
no_change,30.255,42
no_change,30.339,58
no_change,30.416,61
no_change,31.28,54
no_change,31.982,58
no_change,31.995,64
no_change,32.009,66
no_change,33.718,47
no_change,33.723,62
no_change,34.466,54
no_change,35.125,47
no_change,35.18,64
no_change,35.818,49
no_change,35.832,66
no_change,35.834,62
no_change,36.534,64
no_change,36.536,46
no_change,36.539,61
no_change,37.23,54
no_change,37.841,47
no_change,37.932,59
no_change,38.011,62
no_change,38.657,49
no_change,39.232,50
no_change,39.314,66
no_change,39.4,69
no_change,40.036,57
no_change,40.616,45
no_change,40.682,66
no_change,40.77,74
no_change,41.373,57
no_change,41.377,69
no_change,41.973,49
no_change,42.057,67
no_change,42.161,71
no_change,42.855,57
no_change,43.425,50
no_change,43.509,66
no_change,43.63,69
no_change,44.493,51
no_change,45.28,50
no_change,45.3,55
no_change,45.452,59
no_change,45.989,61
no_change,46.364,64
no_change,46.366,67
no_change,46.689,66
no_change,47.02,64
no_change,47.023,67
no_change,47.718,46
no_change,47.723,61
no_change,48.3,47
no_change,48.377,62
no_change,48.455,66
no_change,49.166,49
no_change,49.857,50
no_change,49.859,62
no_change,50.657,54
no_change,51.423,40
no_change,51.557,55
no_change,51.659,59
no_change,52.068,59
no_change,52.073,62
no_change,52.443,61
no_change,52.445,64
no_change,52.805,62
no_change,52.809,66
no_change,53.234,64
no_change,53.236,61
no_change,54.007,41
no_change,54.009,59
no_change,54.725,42
no_change,54.814,58
no_change,54.934,61
no_change,55.155,66
no_change,57.491,66
no_change,58.682,62
no_change,59.041,59
no_change,59.393,68
no_change,59.557,71
no_change,60.175,71
no_change,60.895,68
no_change,60.911,64
no_change,60.916,59
no_change,61.668,59
no_change,61.675,61
no_change,62.432,66
no_change,62.434,59
no_change,64.098,57
no_change,64.105,61
no_change,64.107,64
no_change,64.852,57
no_change,64.857,61
no_change,65.525,55
no_change,65.584,59
no_change,65.675,62
no_change,66.334,54
no_change,66.339,64
no_change,66.68,62
no_change,67.07,52
no_change,67.073,61
no_change,67.823,50
no_change,67.827,59
no_change,68.584,49
no_change,68.673,54
no_change,68.716,58
no_change,69.773,42
no_change,70.936,66
no_change,71.682,66
no_change,72.4,69
no_change,72.509,74
no_change,73.789,73
no_change,74.189,71
no_change,74.648,69
no_change,75.425,67
no_change,76.25,66
no_change,76.27,46
no_change,76.273,61
no_change,76.275,64
no_change,77.205,49
no_change,78.093,59
no_change,78.355,62
no_change,79.045,62
no_change,79.598,40
no_change,79.675,62
no_change,79.78,55
no_change,79.852,59
no_change,80.682,61
no_change,81.043,59
no_change,81.418,61
no_change,82.257,42
no_change,83.098,47
no_change,83.173,50
no_change,83.277,59
no_change,85.109,66
no_change,85.818,62
no_change,86.161,59
no_change,86.543,68
no_change,86.707,71
no_change,87.348,71
no_change,87.941,64
no_change,87.945,68
no_change,88.064,59
no_change,88.661,61
no_change,88.752,59
no_change,88.823,64
no_change,89.384,62
no_change,89.495,59
no_change,89.557,66
no_change,90.925,57
no_change,90.927,61
no_change,91.661,57
no_change,91.666,61
no_change,92.286,55
no_change,92.345,59
no_change,92.434,62
no_change,93.009,54
no_change,93.077,58
no_change,93.145,64
no_change,93.464,62
no_change,93.83,52
no_change,93.834,61
no_change,94.584,55
no_change,94.586,50
no_change,95.466,49
no_change,96.568,42
no_change,97.48,66
no_change,98.207,66
no_change,98.95,69
no_change,99.036,74
no_change,100.002,73
no_change,100.325,71
no_change,100.766,69
no_change,101.586,67
no_change,102.53,66
no_change,102.534,64
no_change,102.536,46
no_change,103.768,49
no_change,104.709,59
no_change,104.991,62
no_change,105.675,62
no_change,106.232,40
no_change,106.302,62
no_change,106.375,55
no_change,106.43,59
no_change,107.355,61
no_change,107.689,59
no_change,108.125,61
no_change,108.848,64
no_change,108.864,58
no_change,108.868,54
no_change,109.666,59
no_change,109.67,62
no_change,110.602,54
no_change,111.759,47
no_change,114.675,47
no_change,114.684,62
no_change,115.561,54
no_change,116.305,47
no_change,116.35,67
no_change,116.352,64
no_change,117.036,49
no_change,117.052,62
no_change,117.764,46
no_change,117.766,61
no_change,117.768,64
no_change,118.539,54
no_change,119.093,47
no_change,119.198,59
no_change,119.268,62
no_change,119.95,49
no_change,120.527,50
no_change,120.645,66
no_change,120.718,69
no_change,121.357,57
no_change,121.864,45
no_change,121.948,66
no_change,122.025,74
no_change,122.618,69
no_change,122.62,57
no_change,122.623,73
no_change,123.334,49
no_change,124.105,57
no_change,124.675,50
no_change,124.77,66
no_change,124.893,69
no_change,125.748,51
no_change,126.48,50
no_change,126.495,55
no_change,126.632,59
no_change,127.0,61
no_change,127.002,64
no_change,127.355,64
no_change,127.357,67
no_change,127.661,66
no_change,127.664,69
no_change,128.007,64
no_change,128.641,64
no_change,128.645,46
no_change,129.186,47
no_change,129.257,62
no_change,129.345,66
no_change,129.977,49
no_change,130.705,59
no_change,130.707,50
no_change,131.436,54
no_change,132.077,40
no_change,132.164,55
no_change,132.273,59
no_change,132.684,59
no_change,132.689,62
no_change,133.05,61
