onset_type,onset_time,pitch
no_change,0.798,50
no_change,0.82,69
no_change,1.33,60
no_change,1.332,65
no_change,1.834,45
no_change,2.095,63
no_change,2.1,67
no_change,2.58,60
no_change,2.841,50
no_change,2.868,69
no_change,3.35,60
no_change,3.352,65
no_change,3.861,45
no_change,4.118,63
no_change,4.12,67
no_change,4.607,64
no_change,4.623,60
no_change,4.875,50
no_change,4.914,69
no_change,5.375,60
no_change,5.377,65
no_change,5.88,45
no_change,6.132,63
no_change,6.134,67
no_change,6.584,64
no_change,6.625,60
no_change,6.845,50
no_change,6.85,69
no_change,7.336,65
no_change,7.85,45
no_change,8.098,63
no_change,8.1,67
no_change,8.58,64
no_change,8.625,60
no_change,8.839,65
no_change,8.848,50
no_change,8.85,60
no_change,9.343,60
no_change,9.345,65
no_change,9.864,50
no_change,10.098,60
no_change,10.1,65
no_change,10.598,60
no_change,10.6,65
no_change,10.852,45
no_change,11.332,61
no_change,11.334,72
no_change,11.85,45
no_change,12.091,65
no_change,12.093,61
no_change,12.095,70
no_change,12.805,69
no_change,13.168,69
no_change,13.58,67
no_change,13.839,65
no_change,13.841,60
no_change,14.309,65
no_change,14.311,60
no_change,14.816,50
no_change,15.311,66
no_change,15.314,72
no_change,15.316,60
no_change,15.814,50
no_change,16.045,60
no_change,16.048,66
no_change,16.775,43
no_change,16.782,58
no_change,16.784,62
no_change,16.786,67
no_change,17.095,67
no_change,17.525,65
no_change,17.814,46
no_change,17.818,58
no_change,17.823,62
no_change,17.825,67
no_change,18.291,58
no_change,18.791,45
no_change,19.282,61
no_change,19.286,72
no_change,19.802,45
no_change,20.043,61
no_change,20.048,70
no_change,20.773,65
no_change,20.775,60
no_change,21.266,60
no_change,21.514,65
no_change,21.516,60
no_change,21.775,50
no_change,22.027,60
no_change,22.52,60
no_change,22.523,65
no_change,22.764,50
no_change,23.018,60
no_change,23.507,60
no_change,24.002,45
no_change,24.239,60
no_change,24.711,43
no_change,24.714,58
no_change,24.716,62
no_change,25.207,62
no_change,25.209,58
no_change,25.705,43
no_change,25.948,58
no_change,26.664,48
no_change,27.145,72
no_change,27.148,67
no_change,27.641,48
no_change,27.895,64
no_change,27.898,69
no_change,28.636,64
no_change,28.639,41
no_change,28.643,60
no_change,29.005,64
no_change,29.407,62
no_change,29.661,64
no_change,29.664,41
no_change,29.668,57
no_change,30.17,57
no_change,30.675,45
no_change,31.173,67
no_change,31.175,61
no_change,31.668,45
no_change,31.918,57
no_change,31.923,61
no_change,32.673,53
no_change,32.675,62
no_change,33.039,62
no_change,33.441,60
no_change,33.707,41
no_change,33.711,62
no_change,34.195,53
no_change,34.198,57
no_change,34.702,40
no_change,35.198,62
no_change,35.2,65
no_change,35.202,72
no_change,35.709,40
no_change,35.959,62
no_change,35.964,71
no_change,36.668,64
no_change,36.67,60
no_change,37.159,60
no_change,37.675,45
no_change,37.918,64
no_change,37.92,60
no_change,38.425,61
no_change,38.707,45
no_change,39.205,61
no_change,39.711,45
