mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,476,474,333,70,71,2,0,144,120.00,104.00,16.00
tempo,a_lot_faster_tempo,481,475,369,55,51,6,0,147,120.00,125.00,5.00
tempo,slower_tempo,478,474,324,73,77,4,0,143,120.00,67.00,53.00
tempo,a_lot_slower_tempo,485,471,232,131,108,14,0,73,120.00,156.00,36.00
progressive_tempo,accelerando,542,431,162,177,92,111,0,53,120.00,99.00,21.00
progressive_tempo,ritardando,466,587,180,90,196,0,121,57,120.00,156.00,36.00
progressive_tempo,tempo_fluctuation,633,635,180,245,208,0,2,89,120.00,89.00,31.00
duration,note_held_too_long,459,458,393,36,29,1,0,267,120.00,85.00,35.00
duration,note_cut_too_soon,463,462,392,38,32,1,0,267,120.00,85.00,35.00
note,note_missing,458,456,379,41,36,2,0,245,120.00,85.00,35.00
note,note_not_expected,458,458,377,35,46,0,0,215,120.00,85.00,35.00
articulation,articulated_legato,458,455,342,54,59,3,0,190,120.00,85.00,35.00
articulation,articulated_staccato,498,496,371,61,64,2,0,194,120.00,85.00,35.00
articulation,articulated_accentuated,458,457,394,34,29,1,0,269,120.00,85.00,35.00
