onset_type,onset_time,pitch
no_change,6.673,50
no_change,7.059,66
no_change,7.439,64
no_change,7.827,66
no_change,8.241,45
no_change,8.62,64
no_change,9.016,62
no_change,9.402,64
no_change,9.405,61
no_change,9.789,50
no_change,10.182,57
no_change,10.184,66
no_change,10.568,55
no_change,10.966,54
no_change,11.339,43
no_change,11.718,59
no_change,12.064,57
no_change,12.448,59
no_change,12.45,55
no_change,12.834,45
no_change,13.182,54
no_change,13.543,62
no_change,13.918,66
no_change,14.293,45
no_change,14.62,52
no_change,14.991,61
no_change,15.341,67
no_change,15.709,66
no_change,15.714,50
no_change,16.066,69
no_change,16.414,66
no_change,16.78,62
no_change,17.116,61
no_change,17.118,45
no_change,17.466,57
no_change,17.836,55
no_change,18.175,52
no_change,18.568,50
no_change,18.902,66
no_change,19.282,64
no_change,19.284,67
no_change,19.643,62
no_change,20.014,45
no_change,20.384,64
no_change,20.757,66
no_change,20.761,62
no_change,21.127,64
no_change,21.13,61
no_change,21.505,50
no_change,21.88,66
no_change,21.882,57
no_change,22.248,55
no_change,22.614,54
no_change,22.616,62
no_change,22.973,43
no_change,23.325,59
no_change,23.327,62
no_change,23.689,57
no_change,23.691,61
no_change,24.055,55
no_change,24.425,45
no_change,24.77,57
no_change,25.127,62
no_change,25.473,66
no_change,25.805,45
no_change,25.811,69
no_change,26.182,67
no_change,26.52,64
no_change,26.525,45
no_change,26.923,61
no_change,27.282,62
no_change,27.284,50
no_change,27.677,50
no_change,28.095,50
no_change,28.439,69
no_change,28.441,50
no_change,28.811,50
no_change,28.816,67
no_change,29.216,50
no_change,29.555,69
no_change,29.557,66
no_change,29.559,50
no_change,29.92,50
no_change,29.923,65
no_change,30.298,69
no_change,30.3,66
no_change,30.302,50
no_change,30.689,50
no_change,31.027,50
no_change,31.032,66
no_change,31.034,62
no_change,31.416,50
no_change,31.766,50
no_change,31.77,59
no_change,32.173,50
no_change,32.518,50
no_change,32.52,69
no_change,32.523,61
no_change,32.905,50
no_change,33.275,50
no_change,33.277,66
no_change,33.28,62
no_change,33.675,50
no_change,34.018,50
no_change,34.345,50
no_change,34.348,57
no_change,34.725,50
no_change,35.114,50
no_change,35.43,50
no_change,35.789,50
no_change,35.791,56
no_change,35.793,65
no_change,36.164,50
no_change,36.166,66
no_change,36.539,50
no_change,36.898,50
no_change,36.9,62
no_change,37.252,50
no_change,37.607,50
no_change,37.609,55
no_change,37.995,50
no_change,38.32,50
no_change,38.323,57
no_change,38.325,61
no_change,38.698,50
no_change,39.045,50
no_change,39.048,62
no_change,40.095,61
no_change,40.098,65
no_change,40.464,62
no_change,40.82,64
no_change,40.823,61
no_change,41.173,59
no_change,41.55,57
no_change,41.905,56
no_change,42.268,40
no_change,42.666,40
no_change,43.007,58
no_change,43.373,59
no_change,43.727,57
no_change,44.082,59
no_change,44.084,56
no_change,44.448,57
no_change,44.459,54
no_change,44.825,52
no_change,45.186,40
no_change,45.557,40
no_change,45.873,64
no_change,46.225,45
no_change,46.58,57
no_change,46.911,64
no_change,46.914,49
no_change,47.241,69
no_change,47.602,40
no_change,47.605,68
no_change,47.948,64
no_change,48.3,62
no_change,48.639,59
no_change,48.977,61
no_change,48.98,45
no_change,49.33,57
no_change,49.641,49
no_change,49.648,64
no_change,49.991,69
no_change,50.343,40
no_change,50.345,68
no_change,50.7,64
no_change,51.03,62
no_change,51.37,59
no_change,51.711,45
no_change,52.077,61
no_change,52.416,64
no_change,52.732,69
no_change,53.093,50
no_change,53.105,68
no_change,53.441,66
no_change,53.795,49
no_change,54.116,64
no_change,54.457,64
no_change,54.461,47
no_change,54.809,62
no_change,55.125,45
no_change,55.475,61
no_change,55.809,40
no_change,55.814,58
no_change,56.168,59
no_change,56.507,56
no_change,56.843,52
no_change,57.202,45
no_change,57.205,57
no_change,57.557,61
no_change,57.891,64
no_change,57.893,49
no_change,58.227,69
no_change,58.577,40
no_change,58.916,64
no_change,59.257,62
no_change,59.589,59
no_change,59.927,57
no_change,59.934,45
no_change,60.277,61
no_change,60.607,49
no_change,60.941,69
no_change,61.302,40
no_change,61.641,64
no_change,61.964,62
no_change,62.291,59
no_change,62.645,57
no_change,62.652,45
no_change,62.998,61
no_change,63.305,49
no_change,63.307,64
no_change,63.65,69
no_change,63.984,68
no_change,63.986,50
no_change,64.334,66
no_change,64.693,50
no_change,65.007,62
no_change,65.009,59
no_change,65.355,40
no_change,65.364,59
no_change,65.725,57
no_change,66.048,40
no_change,66.373,59
no_change,66.377,56
no_change,66.764,57
no_change,66.768,45
no_change,67.798,56
no_change,68.143,57
no_change,68.511,59
no_change,68.855,61
no_change,69.189,62
no_change,69.523,64
no_change,70.539,56
no_change,70.884,57
no_change,71.243,59
no_change,71.586,61
no_change,71.941,62
no_change,72.311,64
no_change,72.314,67
no_change,72.68,45
no_change,73.025,47
no_change,73.38,49
no_change,73.743,50
no_change,74.107,66
no_change,74.455,64
no_change,74.814,66
no_change,74.816,62
no_change,75.164,45
no_change,75.5,64
no_change,75.502,67
no_change,75.893,62
no_change,76.268,61
no_change,76.627,50
no_change,76.984,57
no_change,77.334,55
no_change,77.702,54
no_change,78.073,43
no_change,78.439,59
no_change,78.78,57
no_change,78.782,61
no_change,79.15,55
no_change,79.511,45
no_change,79.841,54
no_change,80.209,62
no_change,80.568,66
no_change,80.905,45
no_change,81.227,52
no_change,81.236,57
no_change,81.561,61
no_change,81.905,67
no_change,82.257,66
no_change,82.264,50
no_change,82.605,69
no_change,82.948,66
no_change,83.309,62
no_change,83.652,61
no_change,83.655,45
no_change,83.961,57
no_change,84.336,55
no_change,84.666,52
no_change,85.036,50
no_change,85.37,66
no_change,85.373,69
no_change,85.734,64
no_change,85.736,67
no_change,86.109,62
no_change,86.464,45
no_change,86.807,64
no_change,86.809,67
no_change,87.168,62
no_change,87.17,66
no_change,87.543,61
no_change,87.902,50
no_change,88.257,57
no_change,88.259,66
no_change,88.616,55
no_change,88.977,54
no_change,88.98,62
no_change,89.343,43
no_change,89.691,59
no_change,90.05,57
no_change,90.389,55
no_change,90.391,59
no_change,90.752,45
no_change,91.089,57
no_change,91.434,62
no_change,91.77,66
no_change,92.098,45
no_change,92.443,67
no_change,92.782,45
no_change,93.148,61
no_change,93.518,62
no_change,93.523,50
no_change,93.939,50
no_change,94.311,50
no_change,94.68,50
no_change,94.682,66
no_change,95.068,50
no_change,95.075,67
no_change,95.457,50
no_change,95.809,50
no_change,95.811,66
no_change,96.17,50
no_change,96.173,65
no_change,96.545,69
no_change,96.548,50
no_change,96.945,50
no_change,97.291,50
no_change,97.295,66
no_change,97.298,62
no_change,97.673,50
no_change,98.055,50
no_change,98.457,50
no_change,98.811,69
no_change,98.818,50
no_change,98.82,61
no_change,99.207,50
no_change,99.561,50
no_change,99.957,50
no_change,100.314,50
no_change,100.659,66
no_change,100.661,50
no_change,101.045,50
no_change,101.048,59
no_change,101.432,50
no_change,101.743,50
no_change,101.745,57
no_change,102.111,50
no_change,102.114,56
no_change,102.491,50
no_change,102.845,50
no_change,103.225,50
no_change,103.607,50
no_change,103.945,50
no_change,103.948,55
no_change,103.95,64
no_change,104.318,50
no_change,104.668,50
no_change,104.67,61
no_change,105.043,50
no_change,105.391,62
no_change,105.393,50
no_change,106.577,45
no_change,106.927,50
no_change,106.93,62
no_change,107.234,45
no_change,107.52,50
no_change,107.523,54
no_change,107.525,62
no_change,107.82,55
no_change,107.823,45
no_change,108.127,50
no_change,109.048,45
no_change,109.05,61
no_change,109.352,50
no_change,109.648,64
no_change,109.65,45
no_change,109.941,50
no_change,109.943,66
no_change,109.945,62
no_change,110.232,64
no_change,110.236,45
no_change,110.536,50
no_change,110.541,66
no_change,110.543,62
no_change,111.464,45
no_change,111.768,74
no_change,111.77,50
no_change,112.064,67
no_change,112.066,45
no_change,112.359,50
no_change,112.361,74
no_change,112.364,66
no_change,112.668,45
no_change,112.67,73
no_change,112.952,50
no_change,112.955,74
no_change,112.957,66
no_change,113.67,66
no_change,113.673,62
no_change,113.675,50
no_change,114.293,66
no_change,114.295,57
no_change,114.298,45
no_change,114.925,66
no_change,114.93,62
no_change,114.932,42
no_change,116.241,50
