mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,1829,1824,1503,169,152,5,0,531,120.00,117.00,3.00
tempo,a_lot_faster_tempo,1885,1723,1313,254,156,162,0,255,120.00,144.00,24.00
tempo,slower_tempo,1834,1936,1467,168,199,0,102,218,120.00,156.00,36.00
tempo,a_lot_slower_tempo,1916,1929,1453,225,238,0,13,276,120.00,104.00,16.00
progressive_tempo,accelerando,2095,1714,1202,349,163,381,0,166,120.00,104.00,16.00
progressive_tempo,ritardando,1825,2368,1262,161,402,0,543,161,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,2447,1366,695,576,95,1081,0,171,120.00,117.00,3.00
duration,note_held_too_long,1793,1800,1556,115,122,0,7,759,120.00,104.00,16.00
duration,note_cut_too_soon,1793,1800,1556,115,122,0,7,759,120.00,104.00,16.00
note,note_missing,1793,1800,1556,115,122,0,7,759,120.00,104.00,16.00
note,note_not_expected,1793,1801,1544,120,129,0,8,724,120.00,104.00,16.00
articulation,articulated_legato,1798,1803,1581,101,116,0,5,862,120.00,104.00,16.00
articulation,articulated_staccato,1909,1922,1506,191,212,0,13,471,120.00,104.00,16.00
articulation,articulated_accentuated,1793,1800,1556,115,122,0,7,759,120.00,104.00,16.00
