mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,984,985,781,87,116,0,1,281,120.00,144.00,24.00
tempo,a_lot_faster_tempo,1033,1032,769,138,125,1,0,259,120.00,134.00,14.00
tempo,slower_tempo,991,994,724,124,143,0,3,269,120.00,144.00,24.00
tempo,a_lot_slower_tempo,1001,1004,629,173,199,0,3,134,120.00,188.00,68.00
progressive_tempo,accelerando,1138,963,499,293,171,175,0,88,120.00,125.00,5.00
progressive_tempo,ritardando,970,1200,469,129,372,0,230,72,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,1191,1450,548,244,399,0,259,92,120.00,134.00,14.00
duration,note_held_too_long,961,961,961,0,0,0,0,728,120.00,125.00,5.00
duration,note_cut_too_soon,963,963,961,0,2,0,0,725,120.00,125.00,5.00
note,note_missing,961,960,899,34,27,1,0,612,120.00,125.00,5.00
note,note_not_expected,961,962,630,139,192,0,1,200,120.00,125.00,5.00
articulation,articulated_legato,961,961,961,0,0,0,0,727,120.00,125.00,5.00
articulation,articulated_staccato,999,999,927,36,36,0,0,485,120.00,125.00,5.00
articulation,articulated_accentuated,961,961,961,0,0,0,0,728,120.00,125.00,5.00
