mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,653,648,473,91,84,5,0,220,120.00,144.00,24.00
tempo,a_lot_faster_tempo,678,671,383,150,138,7,0,159,120.00,170.00,50.00
tempo,slower_tempo,657,660,434,106,117,0,3,174,120.00,99.00,21.00
tempo,a_lot_slower_tempo,656,655,518,64,73,1,0,222,120.00,124.00,4.00
progressive_tempo,accelerando,761,630,232,273,125,131,0,79,120.00,144.00,24.00
progressive_tempo,ritardando,649,811,236,105,308,0,162,76,120.00,99.00,21.00
progressive_tempo,tempo_fluctuation,741,1366,221,110,410,0,625,69,120.00,117.00,3.00
duration,note_held_too_long,635,634,530,62,42,1,0,272,120.00,125.00,5.00
duration,note_cut_too_soon,636,635,530,62,43,1,0,272,120.00,125.00,5.00
note,note_missing,635,634,530,62,42,1,0,271,120.00,125.00,5.00
note,note_not_expected,635,635,562,43,30,0,0,338,120.00,125.00,5.00
articulation,articulated_legato,635,634,530,62,42,1,0,271,120.00,125.00,5.00
articulation,articulated_staccato,655,653,428,110,115,2,0,158,120.00,125.00,5.00
articulation,articulated_accentuated,635,634,530,62,42,1,0,272,120.00,125.00,5.00
