onset_type,onset_time,pitch
no_change,3.65,68
no_change,3.655,59
no_change,3.961,71
no_change,4.175,64
no_change,4.339,68
no_change,4.507,40
no_change,4.675,63
no_change,5.15,52
no_change,5.152,63
no_change,5.155,56
no_change,5.636,56
no_change,5.639,47
no_change,5.643,52
no_change,6.118,56
no_change,6.207,52
no_change,6.473,40
no_change,6.566,52
no_change,6.664,56
no_change,6.73,59
no_change,7.175,44
no_change,7.398,42
no_change,7.655,40
no_change,7.752,59
no_change,7.784,64
no_change,7.839,68
no_change,8.061,71
no_change,8.225,64
no_change,8.373,68
no_change,8.714,63
no_change,8.741,40
no_change,9.157,52
no_change,9.159,56
no_change,9.614,44
no_change,9.616,53
no_change,10.107,53
no_change,10.109,61
no_change,10.111,59
no_change,10.618,57
no_change,10.62,42
no_change,11.123,54
no_change,11.125,61
no_change,11.634,69
no_change,11.966,73
no_change,12.13,66
no_change,12.295,69
no_change,12.534,47
no_change,12.536,63
no_change,12.98,63
no_change,12.982,57
no_change,12.984,54
no_change,13.432,53
no_change,13.434,47
no_change,13.905,53
no_change,13.909,47
no_change,14.398,47
no_change,14.4,54
no_change,14.898,57
no_change,14.902,54
no_change,15.409,69
no_change,15.73,73
no_change,15.93,66
no_change,16.089,69
no_change,16.33,45
no_change,16.545,66
no_change,16.743,44
no_change,16.957,64
no_change,17.182,42
no_change,17.439,63
no_change,17.691,41
no_change,17.695,57
no_change,18.0,61
no_change,18.355,40
no_change,18.468,56
no_change,18.566,59
no_change,19.077,52
no_change,19.501,55
no_change,19.559,59
no_change,19.82,71
no_change,20.011,64
no_change,20.175,68
no_change,20.366,40
no_change,20.486,63
no_change,20.945,52
no_change,20.95,63
no_change,20.952,56
no_change,21.4,52
no_change,21.411,47
no_change,21.414,61
no_change,21.882,52
no_change,21.916,56
no_change,21.918,61
no_change,22.259,40
no_change,22.377,52
no_change,22.475,56
no_change,22.527,59
no_change,22.993,52
no_change,23.189,54
no_change,23.382,56
no_change,23.566,59
no_change,23.741,64
no_change,23.918,66
no_change,24.166,49
no_change,24.609,56
no_change,24.764,68
no_change,25.059,47
no_change,25.066,68
no_change,25.518,52
no_change,25.52,59
no_change,25.939,45
no_change,25.941,52
no_change,26.052,57
no_change,26.127,61
no_change,26.139,68
no_change,26.543,57
no_change,26.598,52
no_change,26.607,61
no_change,26.793,65
no_change,26.973,52
no_change,26.975,61
no_change,27.168,68
no_change,27.341,53
no_change,27.345,57
no_change,27.35,61
no_change,27.575,72
no_change,27.83,45
no_change,27.834,75
no_change,28.284,59
no_change,28.286,73
no_change,28.289,65
no_change,28.732,57
no_change,28.734,63
no_change,29.177,55
no_change,29.18,61
no_change,29.698,59
no_change,29.7,68
no_change,29.702,47
no_change,30.18,59
no_change,30.384,61
no_change,30.55,64
no_change,30.714,68
no_change,30.889,71
no_change,31.05,69
no_change,31.307,42
no_change,31.314,58
no_change,31.761,58
no_change,31.764,68
no_change,31.766,61
no_change,32.184,47
no_change,32.186,57
no_change,32.65,57
no_change,32.652,63
no_change,33.089,64
no_change,33.091,40
no_change,33.095,59
no_change,33.161,56
no_change,33.636,78
no_change,34.148,83
no_change,34.668,56
no_change,35.116,49
no_change,35.395,68
no_change,36.08,64
no_change,36.084,56
no_change,36.086,61
no_change,36.425,66
no_change,36.605,64
no_change,36.78,63
no_change,36.975,61
no_change,37.136,59
no_change,37.416,55
no_change,37.418,46
no_change,37.87,55
no_change,37.877,61
no_change,38.059,55
no_change,38.064,64
no_change,38.066,61
no_change,38.261,55
no_change,38.268,61
no_change,38.714,54
no_change,38.716,45
no_change,39.182,44
no_change,39.184,53
no_change,39.664,53
no_change,40.007,59
no_change,40.211,57
no_change,40.386,56
no_change,40.555,54
no_change,40.714,53
no_change,40.907,45
no_change,41.082,56
no_change,41.536,57
no_change,41.539,61
no_change,42.03,57
no_change,42.034,66
no_change,42.036,54
no_change,42.039,61
no_change,43.02,63
no_change,43.023,44
no_change,43.568,63
no_change,43.575,60
no_change,43.836,60
no_change,44.014,61
no_change,44.191,63
no_change,44.357,64
no_change,44.5,66
no_change,44.686,49
no_change,44.843,69
no_change,45.141,68
no_change,45.345,64
no_change,45.552,61
no_change,45.711,56
no_change,45.898,52
no_change,46.075,49
no_change,46.243,50
no_change,46.425,51
no_change,46.618,55
no_change,46.805,58
no_change,47.0,61
no_change,47.173,64
no_change,47.382,67
no_change,47.584,71
no_change,47.816,70
no_change,48.07,44
no_change,48.141,60
no_change,48.2,63
no_change,48.209,70
no_change,48.648,60
no_change,48.652,63
no_change,49.116,60
no_change,49.118,68
no_change,49.586,56
no_change,49.895,49
no_change,50.141,68
no_change,50.764,56
no_change,50.766,64
no_change,51.08,66
no_change,51.273,64
no_change,51.439,63
no_change,51.623,61
no_change,51.814,59
no_change,52.059,46
no_change,52.152,55
no_change,52.159,63
no_change,52.161,61
no_change,52.593,55
no_change,52.6,61
no_change,52.793,55
no_change,52.8,61
no_change,52.998,63
no_change,53.0,55
no_change,53.005,61
no_change,53.393,62
no_change,53.395,45
no_change,53.857,44
no_change,53.861,59
no_change,54.355,53
no_change,54.664,59
no_change,54.864,57
no_change,55.045,56
no_change,55.189,54
no_change,55.364,53
no_change,55.541,45
no_change,55.7,56
no_change,56.145,57
no_change,56.148,61
no_change,56.6,66
no_change,56.602,54
no_change,56.605,61
no_change,57.593,53
no_change,57.855,57
no_change,58.014,60
no_change,58.182,65
no_change,58.368,67
no_change,58.582,69
no_change,58.832,71
no_change,59.052,72
no_change,59.407,44
no_change,59.582,68
no_change,59.723,64
no_change,59.877,61
no_change,60.064,56
no_change,60.234,52
no_change,60.409,49
no_change,60.607,44
no_change,60.802,45
no_change,61.03,46
no_change,61.23,55
no_change,61.425,61
no_change,61.595,63
no_change,61.866,44
no_change,61.87,60
no_change,62.305,63
no_change,62.307,54
no_change,62.309,60
no_change,62.768,49
no_change,62.773,61
no_change,63.202,61
no_change,63.234,64
no_change,63.236,68
no_change,63.861,73
no_change,65.118,56
no_change,65.466,49
no_change,65.734,68
no_change,66.311,64
no_change,66.316,56
no_change,66.607,66
no_change,66.789,64
no_change,66.959,63
no_change,67.132,61
no_change,67.302,59
no_change,67.566,55
no_change,67.568,46
no_change,67.57,61
no_change,68.025,63
no_change,68.027,55
no_change,68.03,61
no_change,68.086,55
no_change,68.214,64
no_change,68.216,61
no_change,68.411,55
no_change,68.414,63
no_change,68.416,61
no_change,68.866,45
no_change,68.868,54
no_change,68.873,60
no_change,69.343,44
no_change,69.345,53
no_change,69.348,59
no_change,69.839,59
no_change,69.841,53
no_change,70.143,59
no_change,70.37,57
no_change,70.589,56
no_change,70.75,54
no_change,70.941,53
no_change,71.145,45
no_change,71.307,56
no_change,71.757,57
no_change,71.759,61
no_change,72.264,57
no_change,72.266,66
no_change,72.268,54
no_change,73.252,63
no_change,73.255,44
no_change,73.257,60
no_change,73.811,63
no_change,73.814,60
no_change,74.114,60
no_change,74.32,61
no_change,74.5,63
no_change,74.664,64
no_change,74.852,66
no_change,75.009,49
no_change,75.2,69
no_change,75.461,68
no_change,75.666,64
no_change,75.85,61
no_change,76.023,56
no_change,76.205,52
no_change,76.373,49
no_change,76.55,50
no_change,76.725,51
no_change,76.905,55
no_change,77.102,58
no_change,77.284,61
no_change,77.461,64
no_change,77.652,67
no_change,77.859,71
no_change,78.109,70
no_change,78.4,44
no_change,78.486,60
no_change,78.539,63
no_change,78.561,70
no_change,79.005,63
no_change,79.009,60
no_change,79.455,63
no_change,79.457,60
no_change,79.927,56
no_change,80.318,49
no_change,80.557,68
no_change,81.102,64
no_change,81.107,56
no_change,81.375,66
no_change,81.555,64
no_change,81.732,63
no_change,81.898,61
no_change,82.057,59
no_change,82.32,46
no_change,82.425,55
no_change,82.432,63
no_change,82.434,61
no_change,82.868,55
no_change,82.87,63
no_change,82.873,61
no_change,83.059,55
no_change,83.061,61
no_change,83.257,63
no_change,83.259,55
no_change,83.261,61
no_change,83.711,45
no_change,83.716,60
no_change,84.182,44
no_change,84.184,53
no_change,84.186,59
no_change,84.659,53
no_change,84.661,59
no_change,84.959,59
no_change,85.182,57
no_change,85.35,56
no_change,85.523,54
no_change,85.691,53
no_change,85.884,45
no_change,86.036,56
no_change,86.518,57
no_change,86.523,61
no_change,86.995,66
no_change,87.002,54
no_change,87.95,53
no_change,88.189,57
no_change,88.409,60
no_change,88.58,65
no_change,88.786,67
no_change,89.002,69
no_change,89.23,71
no_change,89.495,72
no_change,89.852,44
no_change,89.855,73
no_change,90.034,68
no_change,90.184,64
no_change,90.364,61
no_change,90.541,56
no_change,90.72,52
no_change,90.916,49
no_change,91.102,44
no_change,91.298,45
no_change,91.518,46
no_change,91.736,55
no_change,91.909,61
no_change,92.109,63
no_change,92.368,64
no_change,92.37,44
no_change,92.373,60
no_change,92.841,54
no_change,92.843,60
no_change,93.32,49
no_change,93.325,61
no_change,93.982,60
no_change,93.984,64
no_change,93.986,68
no_change,94.582,49
no_change,94.641,59
no_change,94.691,64
no_change,94.723,68
no_change,95.025,71
no_change,95.25,64
no_change,95.255,48
no_change,95.48,68
no_change,95.759,47
no_change,95.764,53
no_change,95.766,57
no_change,96.268,53
no_change,96.72,46
no_change,96.723,61
no_change,97.211,52
no_change,97.214,61
no_change,97.711,40
no_change,97.782,52
no_change,97.85,56
no_change,97.891,59
no_change,98.355,44
no_change,98.557,42
no_change,98.816,40
no_change,98.916,59
no_change,98.957,64
no_change,99.02,68
no_change,99.275,71
no_change,99.436,64
no_change,99.586,68
no_change,99.927,63
no_change,99.973,40
no_change,100.391,52
no_change,100.395,56
no_change,100.87,44
no_change,101.361,53
no_change,101.855,57
no_change,101.857,42
no_change,102.377,57
no_change,102.38,54
no_change,102.384,61
no_change,102.909,69
no_change,103.236,73
no_change,103.402,66
no_change,103.568,69
no_change,103.818,47
no_change,103.823,63
no_change,104.261,63
no_change,104.264,54
no_change,104.736,53
no_change,104.739,47
no_change,105.227,62
no_change,105.23,53
no_change,105.232,47
no_change,105.7,47
no_change,105.702,54
no_change,106.22,54
no_change,106.72,69
no_change,107.045,73
no_change,107.23,66
no_change,107.386,69
no_change,107.607,45
no_change,107.609,63
no_change,107.814,66
no_change,108.02,61
no_change,108.025,44
no_change,108.239,64
no_change,108.48,59
no_change,108.484,42
no_change,108.72,63
no_change,108.975,41
no_change,108.977,57
no_change,109.3,61
no_change,109.686,40
no_change,109.795,56
no_change,109.907,59
no_change,110.355,52
no_change,110.807,59
no_change,110.809,68
no_change,111.082,71
no_change,111.264,64
no_change,111.425,68
no_change,111.593,40
no_change,111.766,63
no_change,112.218,52
no_change,112.22,63
no_change,112.223,56
no_change,112.675,47
no_change,112.677,61
no_change,113.155,56
no_change,113.157,52
no_change,113.523,40
no_change,113.616,52
no_change,113.7,56
no_change,113.764,59
no_change,114.264,52
no_change,114.455,54
no_change,114.666,56
no_change,114.866,59
no_change,115.045,64
no_change,115.248,66
no_change,115.489,49
no_change,115.493,68
no_change,115.945,56
no_change,115.948,59
no_change,116.398,47
no_change,116.868,68
no_change,116.87,52
no_change,116.873,59
no_change,117.364,45
no_change,117.366,52
no_change,117.47,57
no_change,117.523,61
no_change,117.534,68
no_change,117.964,57
no_change,118.018,52
no_change,118.02,61
no_change,118.216,65
no_change,118.398,52
no_change,118.402,57
no_change,118.616,68
no_change,118.789,61
no_change,118.798,53
no_change,118.8,69
no_change,119.02,72
no_change,119.25,45
no_change,119.255,75
no_change,119.727,59
no_change,120.186,57
no_change,120.189,66
no_change,120.639,64
no_change,120.641,55
no_change,120.643,61
no_change,121.168,47
no_change,121.17,59
no_change,121.173,68
no_change,121.682,59
no_change,121.889,61
no_change,122.075,64
no_change,122.259,68
no_change,122.452,71
no_change,122.639,69
no_change,122.9,58
no_change,122.909,42
no_change,122.914,61
no_change,123.377,68
no_change,123.38,58
no_change,123.382,61
no_change,123.836,47
no_change,123.839,57
no_change,124.309,57
no_change,124.314,63
no_change,124.316,68
no_change,124.773,64
no_change,124.775,40
no_change,124.832,56
no_change,125.248,78
no_change,125.789,83
no_change,126.348,52
no_change,127.018,61
no_change,127.073,61
no_change,127.416,64
no_change,127.418,67
no_change,127.495,45
no_change,127.636,67
no_change,127.639,70
no_change,127.841,64
no_change,128.075,59
no_change,128.077,40
no_change,128.516,57
no_change,128.873,45
no_change,129.032,61
no_change,129.334,64
no_change,129.336,67
no_change,129.527,67
no_change,129.53,70
no_change,129.72,64
no_change,129.727,67
no_change,129.959,40
no_change,129.973,59
no_change,130.382,57
no_change,130.75,45
no_change,131.211,64
no_change,131.216,67
no_change,131.393,67
no_change,131.398,70
no_change,131.577,64
no_change,131.58,67
no_change,131.807,59
no_change,131.811,40
no_change,132.248,57
no_change,132.67,45
no_change,132.873,57
no_change,133.02,62
no_change,133.082,62
no_change,133.086,71
no_change,133.273,66
no_change,133.275,62
no_change,133.47,40
no_change,133.923,66
no_change,133.925,62
no_change,134.414,45
no_change,134.625,57
no_change,134.8,66
no_change,134.802,57
no_change,135.005,69
no_change,135.007,57
no_change,135.193,57
no_change,135.202,61
no_change,135.205,68
no_change,135.682,57
no_change,135.686,61
no_change,136.089,45
no_change,136.305,61
no_change,136.618,65
no_change,136.623,68
no_change,136.839,68
no_change,137.032,65
no_change,137.034,68
no_change,137.241,40
no_change,137.427,59
no_change,138.027,62
no_change,139.975,45
no_change,139.977,54
no_change,140.35,63
no_change,140.352,60
no_change,140.582,63
no_change,140.586,60
no_change,140.773,63
no_change,140.775,60
no_change,140.964,63
no_change,140.966,60
no_change,141.157,63
no_change,141.159,68
no_change,141.164,60
no_change,141.343,60
no_change,141.543,60
no_change,142.139,54
no_change,142.575,56
no_change,143.018,54
no_change,143.464,40
no_change,143.47,47
no_change,143.505,54
no_change,143.841,57
no_change,144.023,66
no_change,144.027,57
no_change,144.03,61
no_change,144.205,57
no_change,144.357,68
no_change,144.361,57
no_change,144.814,66
no_change,144.816,57
no_change,145.186,40
no_change,145.191,47
no_change,145.198,54
no_change,145.302,57
no_change,145.305,61
no_change,145.75,54
no_change,145.752,57
no_change,145.755,61
no_change,146.193,56
no_change,146.611,57
no_change,146.982,40
no_change,147.168,59
no_change,147.482,66
no_change,147.484,62
no_change,147.659,66
no_change,147.661,62
no_change,147.848,62
no_change,147.85,66
no_change,147.861,74
no_change,148.018,66
no_change,148.02,73
no_change,148.023,62
no_change,148.411,66
no_change,148.414,59
no_change,148.761,40
no_change,148.966,62
no_change,149.27,64
no_change,149.273,68
no_change,149.464,64
no_change,149.657,64
no_change,149.659,68
no_change,149.911,68
no_change,149.914,76
no_change,149.916,61
no_change,150.33,59
no_change,150.67,40
no_change,150.859,62
no_change,151.177,64
no_change,151.18,68
no_change,151.207,64
no_change,151.364,76
no_change,151.366,68
no_change,151.552,64
no_change,151.555,68
no_change,151.782,61
no_change,151.784,64
no_change,151.786,68
no_change,152.225,59
