mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,476,476,429,23,24,0,0,141,120.00,144.00,24.00
tempo,a_lot_faster_tempo,484,479,430,24,25,5,0,136,120.00,117.00,3.00
tempo,slower_tempo,478,481,432,24,22,0,3,126,120.00,188.00,68.00
tempo,a_lot_slower_tempo,488,493,444,19,25,0,5,102,120.00,125.00,5.00
progressive_tempo,accelerando,537,464,381,57,26,73,0,63,120.00,134.00,14.00
progressive_tempo,ritardando,473,534,363,39,71,0,61,85,120.00,144.00,24.00
progressive_tempo,tempo_fluctuation,558,589,368,91,99,0,31,89,120.00,125.00,5.00
duration,note_held_too_long,458,456,440,8,8,2,0,176,120.00,117.00,3.00
duration,note_cut_too_soon,458,456,440,8,8,2,0,176,120.00,117.00,3.00
note,note_missing,458,455,439,8,8,3,0,166,120.00,117.00,3.00
note,note_not_expected,458,456,440,8,8,2,0,176,120.00,117.00,3.00
articulation,articulated_legato,458,455,442,6,7,3,0,176,120.00,117.00,3.00
articulation,articulated_staccato,543,541,456,40,45,2,0,188,120.00,117.00,3.00
articulation,articulated_accentuated,458,456,440,8,8,2,0,176,120.00,117.00,3.00
