onset_type,onset_time,pitch
no_change,1.111,64
no_change,1.532,65
no_change,1.914,64
no_change,2.061,63
no_change,2.293,64
articulation,2.668,51
no_change,2.88,72
no_change,3.225,63
no_change,3.452,66
no_change,3.673,72
no_change,3.886,63
no_change,4.127,66
no_change,4.38,50
no_change,4.775,71
no_change,5.127,74
no_change,5.55,73
no_change,5.786,72
no_change,6.0,68
no_change,6.286,48
no_change,6.514,71
no_change,7.052,64
no_change,7.055,60
no_change,7.591,60
no_change,8.075,45
no_change,8.148,60
no_change,8.202,64
no_change,8.257,69
no_change,8.634,60
no_change,8.857,62
no_change,9.077,60
no_change,9.284,59
no_change,9.502,60
no_change,9.716,53
no_change,9.898,69
no_change,10.266,57
no_change,10.507,60
no_change,10.757,65
no_change,11.114,52
no_change,11.245,50
no_change,11.38,48
no_change,11.566,47
no_change,11.745,46
no_change,12.1,67
no_change,12.35,69
no_change,12.589,67
no_change,12.839,65
no_change,13.041,64
no_change,13.245,45
no_change,13.457,67
no_change,14.011,57
no_change,14.016,60
no_change,14.525,60
no_change,14.705,57
no_change,14.982,53
no_change,15.232,65
no_change,15.543,57
no_change,15.839,60
no_change,16.055,65
no_change,16.264,60
no_change,16.745,56
no_change,17.059,47
no_change,17.239,56
no_change,17.298,62
no_change,17.375,65
no_change,17.786,53
no_change,17.977,62
no_change,17.98,56
no_change,18.448,53
no_change,18.52,56
no_change,19.064,40
no_change,19.432,64
no_change,19.673,63
no_change,19.902,64
no_change,20.109,66
no_change,20.3,68
no_change,20.516,45
no_change,20.766,71
no_change,21.398,60
no_change,21.945,57
no_change,22.311,56
no_change,22.589,55
no_change,22.95,69
no_change,23.227,68
no_change,23.455,69
no_change,23.693,71
no_change,23.925,72
no_change,24.261,54
no_change,24.48,76
no_change,24.927,66
no_change,25.098,69
no_change,25.75,52
no_change,26.114,51
no_change,26.311,50
no_change,26.505,49
no_change,26.748,48
no_change,27.177,74
no_change,27.468,72
no_change,27.698,69
no_change,27.945,66
no_change,28.175,62
no_change,28.393,47
no_change,28.623,69
no_change,29.209,65
no_change,29.211,59
no_change,29.755,65
no_change,29.757,59
no_change,30.32,50
no_change,30.511,67
no_change,31.002,59
no_change,31.148,65
no_change,31.461,67
no_change,31.736,69
no_change,31.959,71
no_change,32.227,48
no_change,32.498,74
no_change,32.911,64
no_change,33.077,67
no_change,33.33,72
no_change,33.591,74
no_change,33.707,72
no_change,33.85,67
no_change,33.995,64
no_change,34.161,62
no_change,34.43,60
no_change,34.67,59
no_change,34.914,60
no_change,35.175,62
no_change,35.452,64
no_change,35.709,50
no_change,35.877,67
no_change,36.341,59
no_change,36.509,65
no_change,37.164,66
no_change,37.502,67
no_change,37.714,40
no_change,37.895,68
no_change,38.455,59
no_change,38.586,62
no_change,39.03,64
no_change,39.332,66
no_change,39.525,68
no_change,39.741,45
no_change,39.995,71
no_change,40.539,60
no_change,40.67,64
no_change,40.936,69
no_change,41.282,71
no_change,41.391,69
no_change,41.552,64
no_change,41.73,60
no_change,41.923,59
no_change,42.307,57
no_change,42.577,56
no_change,42.807,57
no_change,43.093,59
no_change,43.375,60
no_change,43.641,47
no_change,43.85,65
no_change,44.436,56
no_change,45.009,62
no_change,45.011,56
no_change,45.518,46
no_change,45.636,64
no_change,46.184,62
no_change,46.748,61
no_change,47.216,41
no_change,47.384,57
no_change,47.398,64
no_change,47.825,53
no_change,48.064,57
no_change,48.439,62
no_change,48.761,60
no_change,48.977,57
no_change,49.27,42
no_change,49.423,54
no_change,49.757,57
no_change,50.005,60
no_change,50.214,62
no_change,50.45,66
no_change,50.757,69
no_change,51.018,43
no_change,51.198,69
no_change,51.559,60
no_change,51.773,64
no_change,52.027,67
no_change,52.341,66
no_change,52.566,67
no_change,52.786,45
no_change,52.986,65
no_change,53.445,61
no_change,53.582,64
no_change,54.309,76
no_change,54.932,60
no_change,55.082,76
no_change,55.48,66
no_change,55.698,69
no_change,55.918,76
no_change,56.136,66
no_change,56.386,69
no_change,56.709,59
no_change,56.973,76
no_change,57.25,65
no_change,57.509,68
no_change,57.727,76
no_change,57.932,65
no_change,58.207,68
no_change,58.582,48
no_change,58.691,72
no_change,58.986,67
no_change,59.225,64
no_change,59.47,60
no_change,59.734,55
no_change,60.064,52
no_change,60.411,48
no_change,60.875,64
no_change,61.168,65
no_change,61.425,64
no_change,61.8,63
no_change,62.032,64
no_change,62.53,51
no_change,62.77,72
no_change,63.193,63
no_change,63.45,66
no_change,63.67,72
no_change,63.907,63
no_change,64.155,66
no_change,64.409,50
no_change,64.782,71
no_change,65.148,74
no_change,65.502,73
no_change,65.732,72
no_change,65.959,68
no_change,66.259,48
no_change,66.489,71
no_change,67.084,60
no_change,67.62,64
no_change,67.623,60
no_change,68.177,45
no_change,68.241,60
no_change,68.295,64
no_change,68.352,69
no_change,68.786,60
no_change,69.068,62
no_change,69.284,60
no_change,69.495,59
no_change,69.698,60
no_change,69.984,53
no_change,70.184,69
no_change,70.595,57
no_change,70.884,60
no_change,71.157,65
no_change,71.525,52
no_change,71.693,50
no_change,71.836,48
no_change,72.002,47
no_change,72.207,46
no_change,72.6,67
no_change,72.832,69
no_change,73.066,67
no_change,73.311,65
no_change,73.527,64
no_change,73.827,45
no_change,74.039,67
no_change,74.618,57
no_change,74.62,60
no_change,75.193,57
no_change,75.202,60
no_change,75.689,53
no_change,75.866,65
no_change,76.277,57
no_change,76.545,60
no_change,76.832,65
no_change,77.082,60
no_change,77.42,56
no_change,77.886,47
no_change,78.05,56
no_change,78.12,62
no_change,78.22,65
no_change,78.648,53
no_change,78.78,56
no_change,78.782,62
no_change,79.35,56
no_change,79.352,62
no_change,79.357,53
no_change,80.014,40
no_change,80.43,64
no_change,80.693,63
no_change,80.893,64
