mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,290,288,276,6,6,2,0,165,120.00,117.00,3.00
tempo,a_lot_faster_tempo,311,309,267,24,18,2,0,152,120.00,99.00,21.00
tempo,slower_tempo,289,289,276,6,7,0,0,157,120.00,156.00,36.00
tempo,a_lot_slower_tempo,292,290,270,11,9,2,0,76,120.00,99.00,21.00
progressive_tempo,accelerando,338,290,207,66,17,48,0,39,120.00,117.00,3.00
progressive_tempo,ritardando,294,356,191,15,88,0,62,50,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,357,497,140,48,169,0,140,59,120.00,156.00,36.00
duration,note_held_too_long,281,281,280,0,1,0,0,228,120.00,99.00,21.00
duration,note_cut_too_soon,281,281,280,0,1,0,0,228,120.00,99.00,21.00
note,note_missing,283,282,269,7,6,1,0,117,120.00,99.00,21.00
note,note_not_expected,281,282,275,2,4,0,1,185,120.00,99.00,21.00
articulation,articulated_legato,282,280,260,9,11,2,0,50,120.00,99.00,21.00
articulation,articulated_staccato,298,296,276,11,9,2,0,105,120.00,99.00,21.00
articulation,articulated_accentuated,281,281,280,0,1,0,0,228,120.00,99.00,21.00
