onset_type,onset_time,pitch
no_change,9.38,64
no_change,10.052,61
no_change,10.523,64
no_change,10.977,59
no_change,11.452,64
no_change,11.907,64
no_change,11.911,54
no_change,12.441,62
no_change,12.943,52
no_change,13.416,61
no_change,13.902,61
no_change,14.091,59
no_change,14.334,58
no_change,14.53,59
no_change,14.761,68
no_change,14.968,66
no_change,15.175,62
no_change,15.366,59
no_change,15.593,57
no_change,16.143,52
no_change,16.73,40
no_change,16.736,56
no_change,17.5,64
no_change,18.139,57
no_change,18.143,61
no_change,18.6,64
no_change,19.043,59
no_change,19.045,56
no_change,19.518,64
no_change,19.957,54
no_change,20.12,64
no_change,20.355,63
no_change,20.575,61
no_change,20.789,59
no_change,21.032,59
no_change,21.589,51
no_change,21.82,57
no_change,22.045,56
no_change,22.261,59
no_change,22.489,64
no_change,22.495,40
no_change,22.72,68
no_change,22.961,68
no_change,22.968,45
no_change,23.239,66
no_change,23.514,66
no_change,23.516,47
no_change,23.636,64
no_change,23.768,63
no_change,24.023,40
no_change,24.03,64
no_change,24.602,59
no_change,25.216,52
no_change,25.218,56
no_change,26.114,64
no_change,27.025,57
no_change,27.03,61
no_change,27.541,64
no_change,28.016,56
no_change,28.018,59
no_change,28.495,64
no_change,28.957,64
no_change,28.964,54
no_change,29.484,62
no_change,29.966,52
no_change,30.457,61
no_change,30.916,61
no_change,30.92,50
no_change,31.132,59
no_change,31.364,58
no_change,31.568,59
no_change,31.852,68
no_change,32.095,66
no_change,32.295,62
no_change,32.482,59
no_change,32.7,57
no_change,33.195,52
no_change,33.745,40
no_change,33.752,56
no_change,34.518,64
no_change,35.191,61
no_change,35.193,57
no_change,35.689,64
no_change,36.155,59
no_change,36.623,64
no_change,37.105,54
no_change,37.32,64
no_change,37.614,63
no_change,37.805,61
no_change,38.009,59
no_change,38.25,59
no_change,38.775,51
no_change,38.984,57
no_change,39.22,52
no_change,39.223,56
no_change,39.47,59
no_change,39.7,64
no_change,39.709,40
no_change,39.943,68
no_change,40.166,68
no_change,40.17,45
no_change,40.414,66
no_change,40.675,66
no_change,40.684,47
no_change,40.766,64
no_change,40.914,63
no_change,41.186,40
no_change,41.755,59
no_change,41.757,56
no_change,42.345,52
no_change,42.348,56
no_change,43.15,64
no_change,43.734,58
no_change,44.382,67
no_change,44.832,66
no_change,45.295,64
no_change,45.298,61
no_change,45.3,46
no_change,45.766,64
no_change,45.77,47
no_change,46.023,63
no_change,46.277,62
no_change,46.811,44
no_change,47.345,59
no_change,47.836,61
no_change,48.309,64
no_change,48.311,49
no_change,48.793,54
no_change,49.25,51
no_change,49.252,59
no_change,49.745,52
no_change,50.064,56
no_change,50.236,59
no_change,50.573,56
no_change,50.805,52
no_change,51.505,64
no_change,51.982,45
no_change,51.984,61
no_change,52.464,64
no_change,52.927,49
no_change,53.42,69
no_change,53.932,50
no_change,53.934,59
no_change,54.33,65
no_change,54.505,68
no_change,55.102,50
no_change,55.502,66
no_change,55.734,62
no_change,55.941,59
no_change,56.189,57
no_change,56.545,61
no_change,56.698,64
no_change,57.268,40
no_change,57.743,56
no_change,58.252,57
no_change,58.257,45
no_change,58.745,52
no_change,59.277,45
no_change,60.03,64
no_change,60.614,42
no_change,61.205,67
no_change,61.677,66
no_change,62.136,46
no_change,62.655,47
no_change,62.75,64
no_change,62.995,63
no_change,63.245,62
no_change,63.768,44
no_change,64.268,59
no_change,64.716,45
no_change,65.168,49
no_change,65.641,50
no_change,66.102,51
no_change,66.605,52
no_change,66.939,56
no_change,67.116,59
no_change,67.491,56
no_change,67.727,52
no_change,68.275,64
no_change,68.734,45
no_change,69.216,64
no_change,69.691,64
no_change,69.693,49
no_change,70.202,69
no_change,70.734,50
no_change,70.741,59
no_change,71.136,65
no_change,71.277,68
no_change,71.875,50
no_change,72.227,66
no_change,72.464,62
no_change,72.661,59
no_change,72.914,52
no_change,73.298,61
no_change,73.461,64
no_change,74.055,40
no_change,74.573,56
no_change,75.095,57
no_change,75.105,45
no_change,75.641,52
no_change,76.393,45
no_change,77.527,64
no_change,77.927,45
no_change,78.005,60
no_change,78.082,64
no_change,78.766,72
no_change,79.234,71
no_change,79.691,69
no_change,80.145,67
no_change,80.614,57
no_change,81.12,59
no_change,81.623,65
no_change,82.195,56
no_change,82.202,64
no_change,82.793,52
