mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,789,787,595,105,87,2,0,322,120.00,82.00,38.00
tempo,a_lot_faster_tempo,829,828,637,111,80,1,0,391,120.00,104.00,16.00
tempo,slower_tempo,790,787,544,124,119,3,0,213,120.00,110.00,10.00
tempo,a_lot_slower_tempo,805,804,639,92,73,1,0,342,120.00,104.00,16.00
progressive_tempo,accelerando,935,782,409,253,120,153,0,105,120.00,156.00,36.00
progressive_tempo,ritardando,790,992,379,81,330,0,202,101,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,1029,1381,278,250,501,0,352,91,120.00,75.00,45.00
duration,note_held_too_long,783,784,715,32,36,0,1,573,120.00,134.00,14.00
duration,note_cut_too_soon,785,786,713,33,39,0,1,571,120.00,134.00,14.00
note,note_missing,783,784,715,32,36,0,1,573,120.00,134.00,14.00
note,note_not_expected,783,785,708,34,41,0,2,559,120.00,134.00,14.00
articulation,articulated_legato,783,784,716,32,35,0,1,573,120.00,134.00,14.00
articulation,articulated_staccato,846,844,633,107,104,2,0,264,120.00,134.00,14.00
articulation,articulated_accentuated,783,784,715,32,36,0,1,574,120.00,134.00,14.00
