onset_type,onset_time,pitch
no_change,1.65,69
no_change,2.018,50
no_change,2.02,65
no_change,3.118,50
articulation,3.65,70
no_change,3.864,69
no_change,4.168,50
no_change,4.207,67
no_change,5.032,67
no_change,5.318,67
no_change,5.341,49
no_change,6.205,69
no_change,6.514,50
no_change,6.532,65
no_change,7.066,62
no_change,7.502,62
no_change,7.568,47
no_change,7.586,67
no_change,8.1,67
no_change,8.286,65
no_change,8.575,48
no_change,8.58,64
no_change,9.057,45
no_change,9.084,65
no_change,9.568,46
no_change,9.584,58
no_change,9.591,62
no_change,10.098,55
no_change,10.35,64
no_change,10.611,57
no_change,10.614,61
no_change,11.152,45
no_change,11.414,61
no_change,11.709,47
no_change,12.264,49
no_change,12.798,50
no_change,12.805,65
no_change,13.293,64
no_change,13.495,62
no_change,13.827,52
no_change,13.832,60
no_change,14.602,58
no_change,14.861,60
no_change,15.375,53
no_change,15.877,45
no_change,15.911,65
no_change,16.673,64
no_change,16.943,65
no_change,17.405,46
no_change,17.418,58
no_change,17.957,55
no_change,17.959,70
no_change,17.961,62
no_change,18.757,70
no_change,19.03,60
no_change,20.014,69
no_change,20.018,53
no_change,20.78,69
no_change,21.073,58
no_change,21.075,62
no_change,22.073,70
no_change,22.309,69
no_change,22.561,67
no_change,22.786,65
no_change,23.03,64
no_change,23.582,58
no_change,24.08,57
no_change,24.084,65
no_change,24.836,65
no_change,25.127,55
no_change,25.132,67
no_change,25.605,53
no_change,25.614,69
no_change,25.836,70
no_change,26.164,48
no_change,26.173,67
no_change,27.005,65
no_change,27.289,65
no_change,27.291,53
no_change,27.293,60
no_change,28.109,55
no_change,28.436,53
no_change,28.93,52
no_change,29.182,69
no_change,29.495,69
no_change,29.5,50
no_change,30.505,50
no_change,31.011,70
no_change,31.234,69
no_change,31.561,50
no_change,31.564,67
no_change,32.409,67
no_change,32.707,49
no_change,32.709,67
no_change,33.489,69
no_change,33.791,50
no_change,33.793,65
no_change,34.311,62
no_change,34.777,62
no_change,34.786,47
no_change,34.793,67
no_change,35.316,67
no_change,35.548,65
no_change,35.816,48
no_change,35.82,64
no_change,36.289,45
no_change,36.302,65
no_change,36.786,46
no_change,36.791,58
no_change,36.793,62
no_change,37.305,55
no_change,37.545,64
no_change,37.816,57
no_change,37.82,61
no_change,38.32,45
no_change,38.584,61
no_change,38.877,47
no_change,38.88,62
no_change,39.409,49
no_change,39.411,64
no_change,39.952,50
no_change,39.957,65
no_change,40.464,64
no_change,40.698,62
no_change,40.998,52
no_change,41.002,60
no_change,41.77,58
no_change,42.068,60
no_change,42.577,53
no_change,42.58,57
no_change,43.109,45
no_change,43.141,65
no_change,43.92,64
no_change,44.209,65
no_change,44.709,46
no_change,44.72,58
no_change,44.723,62
no_change,45.259,55
no_change,45.261,62
no_change,46.107,70
no_change,46.382,60
no_change,47.398,53
no_change,48.177,69
no_change,48.464,58
no_change,48.468,62
no_change,49.395,70
no_change,49.648,69
no_change,49.891,67
no_change,50.107,65
no_change,50.359,64
no_change,50.873,58
no_change,51.38,57
no_change,52.157,65
no_change,52.452,55
no_change,52.505,67
no_change,52.959,53
no_change,52.961,69
no_change,53.193,70
no_change,53.507,48
no_change,53.514,67
no_change,54.348,65
no_change,54.593,57
no_change,54.68,41
no_change,54.682,60
no_change,54.684,65
no_change,56.416,69
no_change,56.727,69
no_change,56.732,53
no_change,56.734,60
no_change,57.727,53
no_change,57.986,69
no_change,58.227,67
no_change,58.48,65
