mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,203,206,62,70,71,0,3,26,120.00,99.00,21.00
tempo,a_lot_faster_tempo,201,201,79,63,59,0,0,59,120.00,94.00,26.00
tempo,slower_tempo,196,192,70,60,62,4,0,49,120.00,99.00,21.00
tempo,a_lot_slower_tempo,197,196,87,62,47,1,0,47,120.00,117.00,3.00
progressive_tempo,accelerando,222,191,54,87,50,31,0,47,120.00,104.00,16.00
progressive_tempo,ritardando,194,232,47,60,87,0,38,27,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,268,295,54,103,111,0,27,25,120.00,170.00,50.00
duration,note_held_too_long,187,186,131,28,27,1,0,109,120.00,125.00,5.00
duration,note_cut_too_soon,187,186,131,28,27,1,0,108,120.00,125.00,5.00
note,note_missing,187,185,97,47,41,2,0,87,120.00,125.00,5.00
note,note_not_expected,187,187,127,29,31,0,0,105,120.00,125.00,5.00
articulation,articulated_legato,187,186,131,28,27,1,0,109,120.00,125.00,5.00
articulation,articulated_staccato,192,189,88,53,48,3,0,33,120.00,117.00,3.00
articulation,articulated_accentuated,187,186,131,28,27,1,0,109,120.00,125.00,5.00
