mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,507,510,291,109,107,0,3,110,120.00,125.00,5.00
tempo,a_lot_faster_tempo,525,521,292,129,100,4,0,134,120.00,156.00,36.00
tempo,slower_tempo,509,510,317,92,100,0,1,115,120.00,82.00,38.00
tempo,a_lot_slower_tempo,517,520,322,104,91,0,3,115,120.00,170.00,50.00
progressive_tempo,accelerando,593,503,228,185,90,90,0,68,120.00,117.00,3.00
progressive_tempo,ritardando,508,632,223,75,210,0,124,45,120.00,94.00,26.00
progressive_tempo,tempo_fluctuation,707,612,188,264,160,95,0,61,120.00,117.00,3.00
duration,note_held_too_long,498,500,327,79,92,0,2,222,120.00,104.00,16.00
duration,note_cut_too_soon,498,500,327,79,92,0,2,222,120.00,104.00,16.00
note,note_missing,498,499,361,65,72,0,1,212,120.00,104.00,16.00
note,note_not_expected,498,501,317,85,96,0,3,150,120.00,104.00,16.00
articulation,articulated_legato,498,500,327,79,92,0,2,222,120.00,104.00,16.00
articulation,articulated_staccato,561,561,340,105,116,0,0,200,120.00,104.00,16.00
articulation,articulated_accentuated,498,500,327,79,92,0,2,222,120.00,104.00,16.00
