mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,234,234,230,3,1,0,0,141,120.00,117.00,3.00
tempo,a_lot_faster_tempo,239,239,227,1,11,0,0,116,120.00,144.00,24.00
tempo,slower_tempo,238,237,207,20,10,1,0,112,120.00,117.00,3.00
tempo,a_lot_slower_tempo,240,233,163,42,28,7,0,44,120.00,144.00,24.00
progressive_tempo,accelerando,267,230,133,70,27,37,0,24,120.00,170.00,50.00
progressive_tempo,ritardando,234,280,134,20,80,0,46,22,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,312,279,127,72,80,33,0,34,120.00,156.00,36.00
duration,note_held_too_long,230,230,230,0,0,0,0,210,120.00,144.00,24.00
duration,note_cut_too_soon,230,230,230,0,0,0,0,209,120.00,144.00,24.00
note,note_missing,230,229,199,16,14,1,0,115,120.00,144.00,24.00
note,note_not_expected,230,230,230,0,0,0,0,207,120.00,144.00,24.00
articulation,articulated_legato,230,228,194,19,15,2,0,141,120.00,144.00,24.00
articulation,articulated_staccato,233,233,228,2,3,0,0,128,120.00,144.00,24.00
articulation,articulated_accentuated,230,230,230,0,0,0,0,210,120.00,144.00,24.00
