mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,440,434,312,64,58,6,0,117,120.00,134.00,14.00
tempo,a_lot_faster_tempo,465,459,322,71,66,6,0,122,120.00,110.00,10.00
tempo,slower_tempo,450,447,304,81,62,3,0,100,120.00,85.00,35.00
tempo,a_lot_slower_tempo,462,447,285,93,69,15,0,60,120.00,117.00,3.00
progressive_tempo,accelerando,500,419,220,129,70,81,0,65,120.00,117.00,3.00
progressive_tempo,ritardando,423,520,183,72,168,0,97,74,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,559,604,213,105,241,0,45,62,120.00,117.00,3.00
duration,note_held_too_long,412,412,409,3,0,0,0,286,120.00,110.00,10.00
duration,note_cut_too_soon,413,413,408,3,2,0,0,283,120.00,110.00,10.00
note,note_missing,411,410,381,16,13,1,0,235,120.00,110.00,10.00
note,note_not_expected,411,412,403,2,6,0,1,319,120.00,110.00,10.00
articulation,articulated_legato,411,410,363,25,22,1,0,218,120.00,110.00,10.00
articulation,articulated_staccato,456,452,321,73,58,4,0,93,120.00,110.00,10.00
articulation,articulated_accentuated,411,411,409,2,0,0,0,287,120.00,110.00,10.00
