mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,1777,1806,1517,112,148,0,29,290,120.00,110.00,10.00
tempo,a_lot_faster_tempo,1798,1641,1301,208,132,157,0,192,120.00,134.00,14.00
tempo,slower_tempo,1750,1811,1509,111,130,0,61,245,120.00,144.00,24.00
tempo,a_lot_slower_tempo,1810,1794,1508,148,138,16,0,300,120.00,125.00,5.00
progressive_tempo,accelerando,1960,1763,1434,208,121,197,0,208,120.00,117.00,3.00
progressive_tempo,ritardando,1705,2006,1367,89,249,0,301,204,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,1928,963,435,404,124,965,0,89,120.00,117.00,3.00
duration,note_held_too_long,1624,1654,1479,58,87,0,30,278,120.00,125.00,5.00
duration,note_cut_too_soon,1626,1656,1478,59,89,0,30,278,120.00,125.00,5.00
note,note_missing,1624,1653,1490,58,76,0,29,301,120.00,144.00,24.00
note,note_not_expected,1624,1654,1479,58,87,0,30,278,120.00,125.00,5.00
articulation,articulated_legato,1624,1653,1492,58,74,0,29,283,120.00,125.00,5.00
articulation,articulated_staccato,1949,1979,1525,206,218,0,30,319,120.00,144.00,24.00
articulation,articulated_accentuated,1624,1654,1479,58,87,0,30,278,120.00,125.00,5.00
