onset_type,onset_time,pitch
no_change,10.816,43
no_change,11.216,50
no_change,11.218,55
no_change,11.611,55
articulation,11.998,59
no_change,12.002,62
no_change,12.386,55
no_change,12.773,50
no_change,13.161,43
no_change,13.541,53
no_change,13.907,62
no_change,13.909,59
no_change,14.334,62
no_change,14.336,65
no_change,14.795,62
no_change,14.798,59
no_change,15.159,53
no_change,15.161,59
no_change,15.539,43
no_change,15.916,52
no_change,16.266,55
no_change,16.27,60
no_change,16.666,60
no_change,17.034,60
no_change,17.036,55
no_change,17.398,52
no_change,17.75,43
no_change,18.134,51
no_change,18.15,54
no_change,18.557,54
no_change,18.559,60
no_change,19.052,60
no_change,19.514,60
no_change,19.518,54
no_change,19.966,54
no_change,20.098,51
no_change,20.443,43
no_change,20.839,50
no_change,21.211,55
no_change,21.593,59
no_change,21.955,55
no_change,22.311,50
no_change,22.652,43
no_change,23.007,47
no_change,23.009,50
no_change,23.355,50
no_change,23.357,55
no_change,23.709,55
no_change,23.727,59
no_change,24.07,50
no_change,24.436,47
no_change,24.439,50
no_change,24.82,43
no_change,25.261,47
no_change,25.67,50
no_change,25.673,55
no_change,26.043,55
no_change,26.439,50
no_change,26.795,55
no_change,27.189,59
no_change,27.577,55
no_change,27.952,50
no_change,28.359,55
no_change,28.37,59
no_change,28.766,55
no_change,28.768,50
no_change,29.23,47
no_change,29.232,50
no_change,29.918,43
no_change,30.33,67
no_change,30.48,67
no_change,30.627,67
no_change,30.741,50
no_change,30.895,67
no_change,30.998,67
no_change,31.114,67
no_change,31.22,55
no_change,31.309,67
no_change,31.402,67
no_change,31.493,67
no_change,31.589,59
no_change,31.7,67
no_change,31.78,67
no_change,31.889,67
no_change,31.986,55
no_change,32.07,67
no_change,32.152,67
no_change,32.18,67
no_change,32.327,50
no_change,32.425,67
no_change,32.523,67
no_change,32.618,67
no_change,32.732,40
no_change,32.832,67
no_change,32.855,67
no_change,33.002,67
no_change,33.095,52
no_change,33.198,67
no_change,33.225,67
no_change,33.361,67
no_change,33.461,55
no_change,33.568,67
no_change,33.65,67
no_change,33.757,67
no_change,33.861,61
no_change,33.975,66
no_change,34.057,66
no_change,34.145,66
no_change,34.232,55
no_change,34.316,66
