mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,1162,1160,1052,59,49,2,0,422,120.00,125.00,5.00
tempo,a_lot_faster_tempo,1151,1068,939,76,53,83,0,187,120.00,117.00,3.00
tempo,slower_tempo,1159,1142,1019,72,51,17,0,249,120.00,125.00,5.00
tempo,a_lot_slower_tempo,1156,1122,992,73,57,34,0,213,120.00,144.00,24.00
progressive_tempo,accelerando,1248,1063,907,114,42,185,0,139,120.00,117.00,3.00
progressive_tempo,ritardando,1128,1275,939,56,133,0,147,136,120.00,134.00,14.00
progressive_tempo,tempo_fluctuation,1120,679,360,250,69,441,0,74,120.00,94.00,26.00
duration,note_held_too_long,1026,1023,987,22,14,3,0,501,120.00,110.00,10.00
duration,note_cut_too_soon,1027,1024,987,22,15,3,0,498,120.00,110.00,10.00
note,note_missing,1026,1022,982,24,16,4,0,505,120.00,110.00,10.00
note,note_not_expected,1026,1024,1005,10,9,2,0,592,120.00,110.00,10.00
articulation,articulated_legato,1026,1020,989,20,11,6,0,605,120.00,156.00,36.00
articulation,articulated_staccato,1322,1326,1173,70,79,0,4,562,120.00,110.00,10.00
articulation,articulated_accentuated,1026,1023,987,22,14,3,0,501,120.00,110.00,10.00
