onset_type,onset_time,pitch
no_change,6.252,50
no_change,6.255,66
no_change,6.816,57
no_change,6.818,67
no_change,7.061,66
no_change,7.341,49
no_change,7.343,69
no_change,7.611,67
no_change,7.868,61
no_change,8.105,64
no_change,8.386,67
no_change,8.389,47
no_change,8.959,66
no_change,8.961,62
no_change,8.964,59
no_change,9.495,45
no_change,10.02,59
no_change,10.568,64
no_change,10.575,43
no_change,11.116,55
no_change,11.118,66
no_change,11.366,64
no_change,11.686,67
no_change,11.689,40
no_change,11.945,66
no_change,12.205,55
no_change,12.209,59
no_change,12.443,62
no_change,12.784,62
no_change,12.789,45
no_change,13.42,55
no_change,13.423,52
no_change,14.059,45
no_change,14.348,49
no_change,14.67,52
no_change,14.948,55
no_change,15.336,45
no_change,15.409,54
no_change,15.789,57
no_change,16.034,62
no_change,16.22,64
no_change,16.48,50
no_change,16.541,57
no_change,16.593,60
no_change,16.634,66
no_change,17.198,57
no_change,17.202,64
no_change,17.411,66
no_change,17.873,71
no_change,17.875,43
no_change,18.43,55
no_change,18.432,71
no_change,18.436,59
no_change,18.964,49
no_change,18.97,71
no_change,19.495,71
no_change,19.498,55
no_change,19.502,59
no_change,20.048,66
no_change,20.055,50
no_change,20.584,66
no_change,20.591,59
no_change,20.593,62
no_change,21.055,40
no_change,21.189,69
no_change,21.741,67
no_change,21.75,55
no_change,22.0,66
no_change,22.293,45
no_change,22.352,55
no_change,22.4,61
no_change,22.414,64
no_change,22.732,63
no_change,23.03,64
no_change,23.036,61
no_change,23.318,66
no_change,23.702,64
no_change,23.705,55
no_change,24.559,65
no_change,24.561,55
no_change,25.659,66
no_change,25.661,50
no_change,26.232,62
no_change,26.236,67
no_change,26.432,66
no_change,26.718,50
no_change,26.725,62
no_change,26.727,66
no_change,26.73,71
no_change,27.202,65
no_change,27.205,61
no_change,27.207,71
no_change,27.736,64
no_change,28.252,66
no_change,28.255,55
no_change,28.441,64
no_change,28.689,55
no_change,28.693,64
no_change,28.695,69
no_change,29.166,63
no_change,29.168,55
no_change,29.693,47
no_change,29.695,62
no_change,30.198,64
no_change,30.38,62
no_change,30.386,62
no_change,30.65,67
no_change,30.655,47
no_change,31.12,67
no_change,31.125,55
no_change,31.636,61
no_change,31.641,45
no_change,32.132,62
no_change,32.134,52
no_change,32.139,55
no_change,32.357,61
no_change,32.711,66
no_change,32.714,45
no_change,33.264,66
no_change,33.266,52
no_change,33.268,61
no_change,33.27,55
no_change,33.882,43
no_change,33.886,59
no_change,34.193,71
no_change,34.482,55
no_change,34.484,59
no_change,34.741,71
no_change,35.014,67
no_change,35.016,40
no_change,35.277,66
no_change,35.525,64
no_change,35.53,59
