mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,375,375,353,9,13,0,0,200,120.00,170.00,50.00
tempo,a_lot_faster_tempo,395,393,322,38,33,2,0,195,120.00,117.00,3.00
tempo,slower_tempo,376,375,328,25,22,1,0,181,120.00,125.00,5.00
tempo,a_lot_slower_tempo,388,382,170,110,102,6,0,49,120.00,82.00,38.00
progressive_tempo,accelerando,435,367,130,149,88,68,0,30,120.00,188.00,68.00
progressive_tempo,ritardando,378,464,122,72,184,0,86,44,120.00,117.00,3.00
progressive_tempo,tempo_fluctuation,483,514,75,170,238,0,31,28,120.00,156.00,36.00
duration,note_held_too_long,364,363,287,39,37,1,0,177,120.00,156.00,36.00
duration,note_cut_too_soon,364,363,287,39,37,1,0,176,120.00,156.00,36.00
note,note_missing,364,362,254,57,51,2,0,130,120.00,156.00,36.00
note,note_not_expected,364,363,287,39,37,1,0,177,120.00,156.00,36.00
articulation,articulated_legato,364,362,246,60,56,2,0,116,120.00,156.00,36.00
articulation,articulated_staccato,381,380,277,50,53,1,0,133,120.00,156.00,36.00
articulation,articulated_accentuated,364,363,287,39,37,1,0,177,120.00,156.00,36.00
