mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,958,958,956,1,1,0,0,611,120.00,170.00,50.00
tempo,a_lot_faster_tempo,1011,1010,907,70,33,1,0,549,120.00,110.00,10.00
tempo,slower_tempo,980,978,851,65,62,2,0,373,120.00,117.00,3.00
tempo,a_lot_slower_tempo,994,982,798,103,81,12,0,153,120.00,144.00,24.00
progressive_tempo,accelerando,1118,952,690,207,55,166,0,127,120.00,110.00,10.00
progressive_tempo,ritardando,962,1176,634,50,278,0,214,123,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,1132,1405,721,103,308,0,273,139,120.00,156.00,36.00
duration,note_held_too_long,952,951,921,15,15,1,0,743,120.00,144.00,24.00
duration,note_cut_too_soon,954,953,919,17,17,1,0,742,120.00,144.00,24.00
note,note_missing,952,951,921,15,15,1,0,741,120.00,144.00,24.00
note,note_not_expected,952,951,921,15,15,1,0,742,120.00,144.00,24.00
articulation,articulated_legato,952,951,921,15,15,1,0,742,120.00,144.00,24.00
articulation,articulated_staccato,1017,1016,896,51,69,1,0,384,120.00,144.00,24.00
articulation,articulated_accentuated,952,951,921,15,15,1,0,743,120.00,144.00,24.00
