onset_type,onset_time,pitch
no_change,0.641,45
no_change,0.825,52
no_change,1.23,57
no_change,1.627,60
no_change,2.048,52
no_change,2.45,57
no_change,2.85,60
no_change,3.225,52
no_change,3.245,52
no_change,3.657,57
no_change,4.064,60
no_change,4.486,52
no_change,4.966,57
no_change,5.405,60
no_change,5.805,43
no_change,5.984,52
no_change,6.509,57
no_change,6.907,60
no_change,7.309,52
no_change,7.739,57
no_change,8.123,60
no_change,8.495,52
no_change,8.927,57
no_change,9.339,60
no_change,9.757,52
no_change,10.216,57
no_change,10.636,60
no_change,11.173,41
no_change,11.348,53
no_change,11.755,57
no_change,12.148,60
no_change,12.548,53
no_change,12.952,57
no_change,13.339,60
no_change,13.695,50
no_change,13.82,53
no_change,14.189,58
no_change,14.575,62
no_change,14.991,53
no_change,15.391,58
no_change,15.784,62
no_change,16.123,40
no_change,16.243,52
no_change,16.616,56
no_change,17.014,62
no_change,17.398,52
no_change,17.845,57
no_change,18.205,60
no_change,18.489,40
no_change,18.639,52
no_change,19.045,57
no_change,19.477,59
no_change,19.927,50
no_change,20.434,56
no_change,20.882,59
no_change,21.452,45
no_change,21.591,48
no_change,22.032,52
no_change,22.45,57
no_change,22.873,52
no_change,23.28,57
no_change,23.691,60
no_change,24.118,52
no_change,24.464,57
no_change,24.85,60
no_change,25.289,52
no_change,25.295,64
no_change,25.752,57
no_change,26.191,60
no_change,26.432,64
no_change,26.727,44
no_change,26.861,64
no_change,27.259,59
no_change,27.661,62
no_change,28.05,52
no_change,28.436,59
no_change,28.834,62
no_change,29.209,52
no_change,29.609,59
no_change,29.991,62
no_change,30.405,52
no_change,30.407,64
no_change,30.855,59
no_change,31.302,62
no_change,31.536,64
no_change,31.784,45
no_change,31.932,64
no_change,32.345,57
no_change,32.73,60
no_change,33.111,52
no_change,33.509,57
no_change,33.88,60
no_change,34.286,65
no_change,34.664,57
no_change,35.057,62
no_change,35.443,53
no_change,35.827,57
no_change,36.189,62
no_change,36.632,43
no_change,37.009,55
no_change,37.407,60
no_change,37.818,52
no_change,38.209,55
no_change,38.593,60
no_change,38.914,43
no_change,39.039,62
no_change,39.432,55
no_change,39.814,59
no_change,40.123,53
no_change,40.282,67
no_change,40.736,55
no_change,41.2,59
no_change,41.614,48
no_change,41.809,60
no_change,42.355,55
no_change,42.755,60
no_change,43.173,52
no_change,43.568,55
no_change,43.966,60
no_change,44.348,52
no_change,44.789,55
no_change,45.189,60
no_change,45.586,52
no_change,46.084,55
no_change,46.498,60
no_change,46.959,48
no_change,47.125,51
no_change,47.659,55
no_change,48.066,60
no_change,48.477,51
no_change,48.895,55
no_change,49.286,60
no_change,49.709,51
no_change,50.12,55
no_change,50.477,60
no_change,50.73,51
no_change,50.895,63
no_change,51.339,55
no_change,51.723,60
no_change,51.916,63
no_change,52.127,46
no_change,52.205,63
no_change,52.611,55
no_change,52.977,61
no_change,53.364,51
no_change,53.761,55
no_change,54.161,61
no_change,54.536,51
no_change,54.939,55
no_change,55.345,61
no_change,55.582,51
no_change,55.736,63
no_change,56.223,55
no_change,56.648,61
no_change,56.866,63
no_change,57.114,44
no_change,57.248,63
no_change,57.661,56
no_change,58.032,60
no_change,58.348,43
no_change,58.805,56
no_change,59.225,60
no_change,59.566,42
no_change,59.655,51
no_change,60.002,57
no_change,60.375,60
no_change,60.657,50
no_change,60.786,62
no_change,61.182,57
no_change,61.55,60
no_change,61.959,43
no_change,61.961,62
no_change,62.357,55
no_change,62.741,58
no_change,63.152,50
no_change,63.555,55
no_change,63.92,58
no_change,64.341,63
no_change,64.343,48
no_change,64.734,55
no_change,65.145,57
no_change,65.543,51
no_change,65.545,60
