mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
tempo,faster_tempo,928,926,721,105,100,2,0,253,120.00,188.00,68.00
tempo,a_lot_faster_tempo,943,944,840,52,51,0,1,470,120.00,125.00,5.00
tempo,slower_tempo,914,914,886,15,13,0,0,537,120.00,125.00,5.00
tempo,a_lot_slower_tempo,927,924,698,125,101,3,0,225,120.00,82.00,38.00
progressive_tempo,accelerando,1068,893,531,268,94,175,0,87,120.00,208.00,88.00
progressive_tempo,ritardando,909,1135,492,74,343,0,226,95,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,1293,1286,229,457,600,7,0,166,120.00,170.00,50.00
duration,note_held_too_long,894,895,849,17,28,0,1,571,120.00,156.00,36.00
duration,note_cut_too_soon,896,897,848,18,30,0,1,571,120.00,156.00,36.00
note,note_missing,894,894,845,28,21,0,0,557,120.00,156.00,36.00
note,note_not_expected,894,895,849,17,28,0,1,572,120.00,156.00,36.00
articulation,articulated_legato,896,896,820,46,30,0,0,491,120.00,156.00,36.00
articulation,articulated_staccato,924,924,862,34,28,0,0,482,120.00,156.00,36.00
articulation,articulated_accentuated,894,895,849,17,28,0,1,572,120.00,156.00,36.00
