onset_type,onset_time,pitch
no_change,12.568,50
no_change,12.843,65
no_change,13.125,69
no_change,13.409,58
no_change,13.73,65
early,13.809,69
no_change,14.345,45
no_change,14.902,52
no_change,15.191,61
no_change,15.502,69
no_change,15.757,58
no_change,16.064,61
no_change,16.339,69
no_change,16.645,45
no_change,17.211,52
no_change,17.541,61
no_change,17.843,69
no_change,18.095,58
no_change,18.382,61
no_change,18.67,69
no_change,18.984,45
no_change,19.543,50
no_change,19.859,65
no_change,20.152,69
no_change,20.407,58
no_change,20.691,65
no_change,20.991,69
no_change,21.314,45
no_change,21.877,50
no_change,22.139,69
no_change,22.432,67
no_change,22.689,65
no_change,22.966,67
no_change,23.22,69
no_change,23.516,70
no_change,23.764,72
no_change,24.041,49
no_change,24.045,70
no_change,24.336,64
no_change,24.63,58
no_change,24.88,69
no_change,25.155,64
no_change,25.461,58
no_change,25.711,64
no_change,26.239,45
no_change,26.539,69
no_change,26.766,67
no_change,27.073,65
no_change,27.327,64
no_change,27.62,65
no_change,27.891,67
no_change,28.15,69
no_change,28.402,50
no_change,28.507,67
no_change,28.793,62
no_change,29.068,57
no_change,29.339,65
no_change,29.652,62
no_change,29.864,57
no_change,30.223,45
no_change,30.77,50
no_change,31.116,53
no_change,31.118,62
no_change,31.614,64
no_change,31.616,55
no_change,31.957,57
no_change,32.268,58
no_change,32.745,65
no_change,32.748,57
no_change,33.059,65
no_change,33.066,45
no_change,33.336,61
no_change,33.652,55
no_change,33.893,64
no_change,34.175,61
no_change,34.464,55
no_change,34.759,52
no_change,35.325,45
no_change,35.732,55
no_change,35.734,64
no_change,36.152,57
no_change,36.466,58
no_change,36.823,59
no_change,37.307,61
no_change,37.309,67
no_change,37.568,50
no_change,37.668,67
no_change,37.909,62
no_change,38.22,57
no_change,38.5,65
no_change,38.743,62
no_change,39.055,57
no_change,39.339,62
no_change,39.659,61
no_change,40.007,57
no_change,40.364,50
no_change,40.855,52
no_change,41.116,69
no_change,41.136,54
no_change,41.395,62
no_change,41.414,55
no_change,41.907,57
no_change,42.195,57
no_change,42.491,62
no_change,42.768,67
no_change,43.025,58
no_change,43.364,62
no_change,43.627,67
no_change,43.893,50
no_change,44.436,48
no_change,44.791,60
