onset_type,onset_time,pitch
no_change,0.152,56
no_change,0.286,57
no_change,1.205,45
no_change,2.511,56
no_change,2.632,57
no_change,3.759,45
no_change,5.318,56
no_change,5.443,57
no_change,8.891,56
no_change,9.191,57
no_change,9.445,53
no_change,9.527,50
no_change,9.65,45
no_change,9.789,50
no_change,9.898,53
no_change,10.018,57
no_change,10.141,53
no_change,10.227,50
no_change,10.355,58
no_change,10.484,55
no_change,10.577,50
no_change,10.686,57
no_change,10.823,53
no_change,10.918,50
no_change,11.018,45
no_change,11.143,50
no_change,11.241,53
no_change,11.359,57
no_change,11.484,53
no_change,11.593,50
no_change,11.695,55
no_change,11.82,52
no_change,11.9,49
no_change,12.036,53
no_change,12.161,50
no_change,12.236,45
no_change,12.373,50
no_change,12.486,53
no_change,12.625,55
no_change,12.73,57
no_change,12.814,58
no_change,12.936,60
no_change,13.068,58
no_change,13.107,57
no_change,13.236,55
no_change,13.395,57
no_change,13.543,52
no_change,13.691,49
no_change,13.834,45
no_change,13.945,49
no_change,13.991,52
no_change,14.141,57
no_change,14.257,61
no_change,14.37,64
no_change,14.593,69
no_change,14.698,69
no_change,14.893,69
no_change,14.916,69
no_change,15.043,66
no_change,15.148,62
no_change,15.257,60
no_change,15.355,57
no_change,15.477,54
no_change,15.618,57
no_change,15.714,60
no_change,15.805,62
no_change,15.943,66
no_change,16.064,69
no_change,16.143,70
no_change,16.302,67
no_change,16.414,62
no_change,16.543,58
no_change,16.68,55
no_change,16.875,53
no_change,16.98,52
no_change,17.082,50
no_change,17.186,52
no_change,17.295,53
no_change,17.407,55
no_change,17.527,57
no_change,17.6,58
no_change,17.73,57
no_change,17.955,61
no_change,18.061,64
no_change,18.2,67
no_change,18.307,69
no_change,18.411,70
no_change,18.505,69
no_change,18.611,67
no_change,18.718,65
no_change,18.841,67
no_change,18.941,65
no_change,19.02,64
no_change,19.15,65
no_change,19.248,64
no_change,19.339,62
no_change,19.459,64
no_change,19.575,62
no_change,19.67,60
no_change,19.78,62
no_change,19.88,60
no_change,19.998,58
no_change,20.107,60
no_change,20.25,58
no_change,20.339,55
no_change,20.434,57
no_change,20.618,53
no_change,20.702,50
no_change,20.836,45
no_change,20.955,50
no_change,21.073,53
no_change,21.189,57
no_change,21.311,53
no_change,21.402,50
