onset_type,onset_time,pitch
no_change,2.098,62
no_change,2.309,64
no_change,2.516,66
no_change,2.518,59
no_change,4.873,64
pitch,5.055,95
no_change,6.016,67
no_change,6.161,66
no_change,7.009,64
no_change,7.216,59
no_change,7.502,66
no_change,9.698,66
no_change,10.809,66
no_change,11.67,66
no_change,11.866,71
no_change,11.873,62
no_change,11.875,55
no_change,12.875,62
no_change,12.968,55
no_change,13.02,71
no_change,13.741,55
no_change,13.755,71
no_change,14.002,64
no_change,14.005,57
no_change,15.016,50
no_change,15.032,62
no_change,15.168,66
no_change,16.105,52
no_change,16.175,59
no_change,16.257,67
no_change,17.361,53
no_change,18.464,54
no_change,18.509,58
no_change,18.595,61
no_change,21.659,47
no_change,21.732,50
no_change,21.782,54
no_change,23.982,52
no_change,24.159,54
no_change,25.009,55
no_change,25.164,54
no_change,25.855,52
no_change,26.105,54
no_change,26.107,50
no_change,26.109,47
no_change,28.136,46
no_change,28.193,50
no_change,28.264,53
no_change,29.164,45
no_change,29.248,50
no_change,29.311,54
no_change,30.25,43
no_change,30.341,50
no_change,30.43,54
no_change,31.448,49
no_change,31.473,52
no_change,32.47,41
no_change,32.525,47
no_change,32.577,50
no_change,33.6,42
no_change,34.464,54
no_change,34.7,43
no_change,35.764,42
no_change,36.532,47
no_change,36.795,47
no_change,36.798,40
no_change,37.961,42
no_change,37.968,47
no_change,37.975,54
no_change,39.07,43
no_change,39.13,47
no_change,39.223,52
no_change,40.191,43
no_change,40.216,50
no_change,40.932,52
no_change,41.207,45
no_change,41.659,57
no_change,42.095,62
no_change,42.573,64
no_change,43.089,62
no_change,43.141,66
no_change,44.239,46
no_change,45.007,64
no_change,45.009,61
no_change,45.211,59
no_change,45.214,62
no_change,45.216,47
no_change,45.68,50
no_change,46.08,54
no_change,46.464,56
no_change,46.927,57
no_change,46.932,49
no_change,47.08,66
no_change,47.193,73
no_change,48.918,56
no_change,49.191,69
no_change,49.195,48
no_change,50.248,49
no_change,50.28,53
no_change,50.352,59
no_change,50.425,68
no_change,51.336,42
no_change,51.398,49
no_change,51.534,57
no_change,51.652,66
no_change,52.632,58
no_change,52.661,64
no_change,52.734,73
no_change,52.8,78
no_change,53.511,58
no_change,53.598,78
no_change,53.798,63
no_change,53.807,78
no_change,53.82,57
no_change,53.832,71
no_change,54.855,56
no_change,54.905,62
no_change,54.984,71
no_change,55.05,76
no_change,55.798,56
no_change,55.811,76
no_change,55.927,71
no_change,56.036,55
no_change,56.039,76
no_change,56.084,69
no_change,57.1,54
no_change,57.139,60
no_change,57.216,69
no_change,57.284,74
no_change,58.016,54
no_change,58.039,74
no_change,58.295,53
no_change,58.307,59
no_change,58.32,67
no_change,58.386,74
no_change,59.48,54
no_change,59.489,58
no_change,59.577,74
no_change,60.214,73
no_change,60.509,62
no_change,60.559,59
no_change,60.641,71
no_change,61.377,57
no_change,61.532,55
no_change,61.65,54
no_change,61.77,52
no_change,61.92,51
no_change,61.98,57
no_change,62.039,66
no_change,62.098,71
no_change,62.809,51
no_change,62.864,71
no_change,63.061,71
no_change,63.068,50
no_change,63.07,64
no_change,64.195,49
no_change,64.225,55
no_change,64.305,64
no_change,64.373,69
no_change,65.214,49
no_change,65.223,69
no_change,65.414,69
no_change,65.42,54
no_change,65.423,48
no_change,66.555,49
no_change,66.627,53
no_change,66.689,61
no_change,66.768,69
no_change,67.514,68
no_change,68.016,54
no_change,68.098,57
no_change,68.218,66
no_change,69.457,46
no_change,70.357,54
no_change,70.541,59
no_change,70.545,47
no_change,71.795,45
no_change,72.648,59
no_change,72.905,44
no_change,72.927,52
no_change,72.977,59
no_change,73.036,64
no_change,74.152,43
no_change,74.191,50
no_change,74.255,59
no_change,74.33,65
no_change,75.105,65
no_change,75.45,42
no_change,75.507,49
no_change,75.627,58
no_change,75.725,66
no_change,76.852,54
no_change,77.741,54
no_change,77.939,49
no_change,79.168,54
no_change,79.175,46
no_change,80.041,54
no_change,80.264,47
no_change,80.266,50
no_change,81.543,45
no_change,82.391,45
no_change,82.427,59
no_change,82.664,43
no_change,82.682,52
no_change,82.711,59
no_change,82.775,64
no_change,83.902,42
no_change,83.93,51
no_change,83.98,59
no_change,84.03,66
no_change,84.761,66
no_change,84.827,42
no_change,85.025,40
no_change,85.057,52
no_change,85.127,60
no_change,85.189,67
no_change,87.368,72
no_change,88.877,67
no_change,89.225,64
no_change,89.502,60
no_change,89.652,42
no_change,89.943,54
no_change,90.027,59
no_change,90.082,62
no_change,91.007,47
no_change,91.359,49
no_change,91.418,50
no_change,91.473,52
no_change,91.536,54
no_change,91.593,55
no_change,91.652,54
no_change,92.125,52
no_change,92.725,47
no_change,92.793,50
no_change,92.834,59
no_change,93.92,42
no_change,95.109,44
no_change,96.459,46
no_change,97.289,62
no_change,97.525,47
no_change,97.661,50
no_change,98.593,50
no_change,99.789,52
no_change,101.027,54
no_change,101.118,58
no_change,101.145,64
no_change,101.214,73
no_change,101.982,74
no_change,102.243,62
no_change,102.286,59
no_change,102.355,71
no_change,103.511,54
no_change,105.08,54
no_change,106.448,59
no_change,108.039,71
