onset_type,onset_time,pitch
no_change,9.15,40
no_change,10.068,52
no_change,10.484,40
no_change,11.436,52
no_change,12.105,40
no_change,12.384,59
no_change,12.586,55
no_change,12.766,59
no_change,13.161,52
no_change,13.514,59
no_change,13.714,40
no_change,13.991,59
no_change,14.318,55
no_change,14.72,59
no_change,14.873,52
no_change,15.145,59
no_change,15.345,40
no_change,15.65,59
no_change,15.864,55
no_change,16.048,59
no_change,16.252,52
no_change,16.259,64
no_change,16.468,59
no_change,16.7,40
no_change,16.705,67
no_change,16.925,59
no_change,17.132,55
no_change,17.341,59
no_change,17.561,52
no_change,17.564,67
no_change,17.864,59
no_change,18.266,40
no_change,18.275,67
no_change,18.402,66
no_change,18.491,64
no_change,18.732,59
no_change,18.941,55
no_change,19.125,59
no_change,19.302,52
no_change,19.491,59
no_change,19.684,40
no_change,19.884,59
no_change,20.093,55
no_change,20.314,59
no_change,20.58,52
no_change,20.916,59
no_change,21.416,40
no_change,21.418,66
no_change,21.709,59
no_change,21.891,57
no_change,22.075,59
no_change,22.27,66
no_change,22.275,51
no_change,22.491,59
no_change,22.686,40
no_change,22.705,67
no_change,22.802,66
no_change,22.957,59
no_change,23.152,57
no_change,23.184,64
no_change,23.405,59
no_change,23.618,51
no_change,23.634,66
no_change,23.9,59
no_change,24.241,40
no_change,24.248,67
no_change,24.552,59
no_change,24.78,55
no_change,24.952,59
no_change,25.152,52
no_change,25.37,59
no_change,25.623,40
no_change,25.625,64
no_change,25.861,59
no_change,26.082,55
no_change,26.32,59
no_change,26.641,52
no_change,26.923,59
no_change,27.386,40
no_change,27.718,60
no_change,27.932,57
no_change,28.12,60
no_change,28.327,52
no_change,28.33,69
no_change,28.53,60
no_change,28.725,69
no_change,28.73,40
no_change,28.952,64
no_change,29.141,60
no_change,29.336,64
no_change,29.58,57
no_change,29.586,72
no_change,29.836,64
no_change,30.13,40
no_change,30.132,71
no_change,30.468,64
no_change,30.675,55
no_change,30.868,64
no_change,31.055,59
no_change,31.255,64
no_change,31.489,40
no_change,31.493,64
no_change,31.727,64
no_change,31.914,55
no_change,32.132,59
no_change,32.395,55
no_change,32.625,59
no_change,33.127,47
no_change,33.134,66
no_change,33.416,63
no_change,33.598,57
no_change,33.793,63
no_change,33.998,54
no_change,34.0,69
no_change,34.209,63
no_change,34.441,47
no_change,34.448,67
no_change,34.68,59
no_change,34.857,52
no_change,35.07,59
no_change,35.286,55
no_change,35.291,64
no_change,35.509,59
no_change,35.802,47
no_change,35.805,63
no_change,36.093,59
no_change,36.325,54
no_change,36.55,59
no_change,36.845,66
no_change,37.152,63
no_change,37.516,47
no_change,37.852,59
no_change,38.241,60
no_change,38.5,61
no_change,38.759,62
no_change,39.02,63
no_change,39.436,64
no_change,39.441,40
no_change,39.784,59
no_change,40.016,55
no_change,40.216,59
no_change,40.4,52
no_change,40.425,64
no_change,40.643,59
no_change,40.852,40
no_change,40.857,67
no_change,41.089,59
no_change,41.295,55
no_change,41.505,59
no_change,41.716,52
no_change,41.964,59
no_change,42.232,67
no_change,42.323,66
no_change,42.332,40
no_change,42.398,64
no_change,42.627,59
no_change,42.82,55
no_change,43.009,59
no_change,43.184,52
no_change,43.373,59
no_change,43.543,40
no_change,43.734,59
no_change,43.918,55
no_change,44.13,59
no_change,44.348,52
no_change,44.58,59
no_change,44.873,40
no_change,45.139,59
no_change,45.332,57
no_change,45.505,59
no_change,45.698,66
no_change,45.7,51
no_change,45.914,59
no_change,46.111,67
no_change,46.116,40
no_change,46.168,66
no_change,46.375,59
no_change,46.557,57
no_change,46.584,64
no_change,46.8,59
no_change,46.989,51
no_change,47.014,66
no_change,47.259,59
no_change,47.532,40
no_change,47.539,67
no_change,47.839,59
no_change,48.073,55
no_change,48.259,59
no_change,48.505,52
no_change,48.509,67
no_change,48.698,66
no_change,48.864,59
no_change,49.064,64
no_change,49.284,40
no_change,49.291,64
no_change,49.523,59
no_change,49.73,55
no_change,49.948,59
no_change,50.232,52
no_change,50.552,59
no_change,51.057,40
no_change,51.059,71
no_change,51.339,64
no_change,51.545,62
no_change,51.727,64
no_change,51.918,56
no_change,51.92,71
no_change,52.114,64
no_change,52.309,40
no_change,52.523,64
no_change,52.727,62
no_change,52.898,64
no_change,53.095,56
no_change,53.302,64
no_change,53.514,45
no_change,53.745,64
no_change,53.948,57
no_change,54.125,64
no_change,54.277,60
no_change,54.305,69
no_change,54.532,64
no_change,54.732,69
no_change,54.739,60
no_change,54.918,64
no_change,55.159,59
no_change,55.164,67
no_change,55.38,62
no_change,55.607,57
no_change,55.611,66
no_change,55.85,60
no_change,56.141,47
no_change,56.148,64
no_change,56.411,59
no_change,56.6,55
no_change,56.782,59
no_change,56.975,64
no_change,56.977,52
no_change,57.175,59
no_change,57.377,67
no_change,57.38,47
no_change,57.439,66
no_change,57.625,59
no_change,57.841,57
no_change,57.843,64
no_change,58.075,59
no_change,58.277,66
no_change,58.282,51
no_change,58.527,59
no_change,58.789,40
no_change,59.073,59
no_change,59.27,57
no_change,59.461,59
no_change,59.668,51
no_change,59.87,59
no_change,60.1,52
no_change,60.107,67
no_change,60.355,59
no_change,60.57,55
no_change,60.793,59
no_change,61.043,52
no_change,61.339,59
no_change,61.636,40
no_change,61.841,71
no_change,62.102,64
no_change,62.291,62
no_change,62.452,64
no_change,62.639,56
no_change,62.645,71
no_change,62.855,64
no_change,63.061,40
no_change,63.291,64
no_change,63.484,62
no_change,63.673,64
no_change,63.864,56
no_change,63.868,71
no_change,64.061,64
no_change,64.282,45
no_change,64.516,64
no_change,64.732,60
no_change,64.92,64
no_change,65.127,60
no_change,65.152,69
no_change,65.389,64
no_change,65.623,45
no_change,65.757,74
no_change,65.977,72
no_change,66.186,71
no_change,66.407,69
no_change,66.634,67
no_change,66.873,66
no_change,67.316,47
no_change,67.325,64
no_change,67.591,59
no_change,67.786,55
no_change,67.993,59
no_change,68.182,52
no_change,68.189,64
no_change,68.386,59
no_change,68.618,67
no_change,68.675,47
no_change,68.852,59
no_change,69.061,57
no_change,69.314,59
no_change,69.586,51
no_change,69.589,66
no_change,69.941,59
no_change,70.307,52
no_change,70.311,64
no_change,70.618,55
no_change,70.832,47
no_change,71.041,52
no_change,71.311,43
no_change,71.632,47
no_change,72.25,40
no_change,75.073,67
no_change,75.075,40
no_change,75.416,59
no_change,75.657,55
no_change,75.859,59
